# id ra dec s L A b x y a flux
0.000000000000000000e+00 1.719951156677401229e+02 -5.963674524325218052e+00 4.745798124949817343e+00 1.096162564977066722e+02 9.017011771389546482e+01 1.423852722430630706e+02 2.465913389148907754e+03 3.390123544344761740e+03 3.550000000000000000e+01 1.221542250000000000e+06
1.000000000000000000e+00 1.719929752184181098e+02 -5.956461470853998463e+00 8.751127247834530110e+00 1.162226536055821242e+02 8.959530309192423658e+01 1.424749548676389566e+02 2.352292796180322966e+03 3.300735490081681291e+03 3.550000000000000000e+01 2.772097000000000000e+06
2.000000000000000000e+00 1.720154719874311411e+02 -5.986607919680551504e+00 5.128480525996455874e+00 1.107936263334701863e+02 9.000422471459197027e+01 1.406741323000528894e+02 3.040004914032390843e+03 3.523001958549220035e+03 3.550000000000000000e+01 1.223187250000000000e+06
3.000000000000000000e+00 1.720553351971384757e+02 -5.951296561596069346e+00 5.129013938078450074e+00 1.107667734294281701e+02 8.999368620472691305e+01 1.448778444713643978e+02 3.265994696565335289e+03 2.526034602967743922e+03 3.550000000000000000e+01 1.217496250000000000e+06
4.000000000000000000e+00 1.719768398790269259e+02 -5.959118745619356616e+00 3.568246984648717923e+00 1.101942231460588602e+02 9.147094591152118426e+01 1.422089362942158175e+02 2.129936166439608769e+03 3.521570639001390646e+03 3.550000000000000000e+01 4.655188000000000000e+06
5.000000000000000000e+00 1.720219557465382252e+02 -6.000272438300893185e+00 5.129235436979137752e+00 1.108051997463657443e+02 9.000029065524252303e+01 1.438921838622074461e+02 3.294004089248206583e+03 3.665007146253341944e+03 3.550000000000000000e+01 1.227072750000000000e+06
6.000000000000000000e+00 1.720459546477082711e+02 -5.927711661700730161e+00 4.756574553049885523e+00 1.080633840409199280e+02 9.016274689260164621e+01 1.423720254082344638e+02 2.856942849212029159e+03 2.261100886154310956e+03 3.550000000000000000e+01 1.626198000000000000e+06
7.000000000000000000e+00 1.720542754142569493e+02 -5.980909249368868252e+00 8.326513181660768481e+00 1.194878210249401604e+02 9.102675727394601779e+01 1.423958721841642614e+02 3.581030985761167813e+03 3.001834728713273307e+03 3.550000000000000000e+01 3.877990750000000000e+06
8.000000000000000000e+00 1.719884693066238981e+02 -5.994774650385878978e+00 5.129994526883963957e+00 1.108185582828281497e+02 8.999053448907538666e+01 1.434005291507778566e+02 2.709998547335864259e+03 3.950981929101876631e+03 3.550000000000000000e+01 1.219390500000000000e+06
9.000000000000000000e+00 1.720547347014095010e+02 -5.991894736070654481e+00 4.570808590315342812e+00 1.118566589671051474e+02 9.125285344737565651e+01 1.423002630258127397e+02 3.710418000983122965e+03 3.168901460224089078e+03 3.550000000000000000e+01 2.160229000000000000e+06
