# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 1.725424875171818258e+02 -6.246553102862530515e+00 3.590140765986971072e+00 1.100347831411817623e+02 9.142096542543546889e+01 1.309030792828710617e+02 1.478648200017662475e+03 5.252813933049711750e+02 3.550000000000000000e+01 2.259985309107562993e+06 1.610560573931299359e+03 2.873782389381959774e+02
1.000000000000000000e+00 1.725924061487621657e+02 -6.228650995924521538e+00 7.920516910446792735e+00 1.255167730327598719e+02 9.020974410641325392e+01 1.322730935532160288e+02 9.000504791215862497e+02 1.360316390801102671e+03 3.550000000000000000e+01 1.904685566432432737e+06 6.547306726812262241e+02 6.310775063389253319e+02
2.000000000000000000e+00 1.726103949925019947e+02 -6.191938678461399448e+00 6.112090515767867771e+00 1.177902739903933593e+02 9.117183805939167485e+01 1.310940352013168138e+02 1.029773010614474742e+03 2.136300807881311357e+03 3.550000000000000000e+01 1.688718998048042413e+06 3.096364203594387163e+02 1.337564892318476723e+03
3.000000000000000000e+00 1.725734062869824186e+02 -6.179189850111556304e+00 5.107162018027659123e+00 1.116132843634918004e+02 9.000273515242180622e+01 1.320756891104030899e+02 1.748934055827314296e+03 1.925992616269684959e+03 3.550000000000000000e+01 6.972358894577675965e+05 1.017448707446992898e+03 1.583791778989122122e+03
4.000000000000000000e+00 1.725916558120342756e+02 -6.174849210270250133e+00 3.875401413348475099e+00 1.119292948786346784e+02 9.138503545736838873e+01 1.309255805030191198e+02 1.512545831480364996e+03 2.196509223215326529e+03 3.550000000000000000e+01 1.763693979273940902e+06 6.680106406900273441e+02 1.666998252859610147e+03
5.000000000000000000e+00 1.725896403470721339e+02 -6.168044747262161565e+00 7.179751031163445596e+00 1.165444313139656316e+02 9.001478830911624129e+01 1.322904316724439013e+02 1.619904952031366520e+03 2.280926865356549115e+03 3.550000000000000000e+01 1.056373582634314196e+06 7.064566906052898503e+02 1.798052899611823022e+03
6.000000000000000000e+00 1.725376158168601251e+02 -6.163957970953860332e+00 4.137803774598138418e+00 1.125856787892160753e+02 9.143337496357320049e+01 1.309300528580704963e+02 2.476798726410228028e+03 1.766995513963870735e+03 3.550000000000000000e+01 1.683594044659955427e+06 1.702302343572365089e+03 1.877752317556114122e+03
7.000000000000000000e+00 1.725604671465243030e+02 -6.151532618803700281e+00 7.171476445555599710e+00 1.165944984186485698e+02 8.997875635936289029e+01 1.323249538255632558e+02 2.258906953858368979e+03 2.216043018319405746e+03 3.550000000000000000e+01 1.060685008576845750e+06 1.264615420541297681e+03 2.116556325816906792e+03
8.000000000000000000e+00 1.725234825079317034e+02 -6.145012933017835799e+00 3.332024951415802239e+00 1.101392742441313715e+02 9.153330043092051937e+01 1.308179386463505125e+02 2.908943212120981570e+03 1.908565025459713752e+03 3.550000000000000000e+01 3.435801854880637024e+06 1.972523806023239558e+03 2.242774736487856899e+03
9.000000000000000000e+00 1.725888122427218150e+02 -6.091946977671543806e+00 3.116385334602945090e+00 1.095958494126904696e+02 9.155838889971553840e+01 1.304581358934097466e+02 2.482088362043784400e+03 3.465234522532830397e+03 3.550000000000000000e+01 8.749085469117257744e+06 7.207860447925584140e+02 3.263254522611324319e+03
