# jd flux flux_err mag mag_err
2.457463935187223833e+06 1.249466796875000000e+03 9.345756530761718750e+01 -7.741811799364326063e+00 8.121113519052852725e-02
2.457463935207128059e+06 1.200434570312500000e+03 9.356392669677734375e+01 -7.698346234542340127e+00 8.462443542034439603e-02
2.457463935227032751e+06 1.279738281250000000e+03 9.368448638916015625e+01 -7.767802903356524347e+00 7.948265340067300899e-02
2.457463935246936977e+06 1.210434570312500000e+03 9.377317047119140625e+01 -7.707353296876798154e+00 8.411299925208351458e-02
2.457463935266841669e+06 1.119462890625000000e+03 9.325165557861328125e+01 -7.622524254024090062e+00 9.044252683659481651e-02
2.457463935286745895e+06 1.045552734375000000e+03 9.290003204345703125e+01 -7.548364855367490911e+00 9.647077328065835344e-02
2.457463935306650586e+06 1.239830078125000000e+03 9.352306365966796875e+01 -7.733405420185002654e+00 8.189971587994530899e-02
2.457463935326554812e+06 1.376008789062500000e+03 9.387953948974609375e+01 -7.846553019758095715e+00 7.407566871360091176e-02
2.457463935346459504e+06 1.328330078125000000e+03 9.390673065185546875e+01 -7.808265016827126814e+00 7.675674549345780362e-02
2.457463935366363730e+06 1.286916992187500000e+03 9.383441162109375000e+01 -7.773876338128236974e+00 7.916576958107546247e-02
2.457463935386268422e+06 1.282292968750000000e+03 9.385959625244140625e+01 -7.769968152222926250e+00 7.947257024614774734e-02
2.457463935406172648e+06 1.396751953125000000e+03 9.397817230224609375e+01 -7.862798218302836872e+00 7.305224135692268972e-02
2.457463935426077340e+06 1.235083984375000000e+03 9.379467773437500000e+01 -7.729241225386997094e+00 8.245320536226818930e-02
2.457463935445981566e+06 1.191958007812500000e+03 9.370034790039062500e+01 -7.690652389146972467e+00 8.535050317424716648e-02
2.457463935465886258e+06 1.335552734375000000e+03 9.368538665771484375e+01 -7.814152602095116862e+00 7.616170375881740895e-02
2.457463935485790484e+06 1.238838867187500000e+03 9.361136627197265625e+01 -7.732537056008497167e+00 8.204263484796574246e-02
2.457463935505695175e+06 1.252229492187500000e+03 9.371486663818359375e+01 -7.744209819904209979e+00 8.125505743040439821e-02
2.457463935525599401e+06 1.453995117187500000e+03 9.362052154541015625e+01 -7.906407370189794115e+00 6.990913783763803846e-02
2.457463935545503628e+06 1.209185546875000000e+03 9.325259399414062500e+01 -7.706232368779444286e+00 8.373245252960734297e-02
2.457463935565408319e+06 1.254205078125000000e+03 9.370751953125000000e+01 -7.745921387122089996e+00 8.112070667738061069e-02
2.457463935585312545e+06 1.313755859375000000e+03 9.358292388916015625e+01 -7.796286665004743099e+00 7.734064366552445557e-02
2.457463935605217237e+06 1.242148437500000000e+03 9.355394744873046875e+01 -7.735433743496663794e+00 8.177385233235026640e-02
2.457463935625121463e+06 1.434047851562500000e+03 9.410367584228515625e+01 -7.891409107971742998e+00 7.124736102611825550e-02
2.457463935645026155e+06 1.189103515625000000e+03 9.352048492431640625e+01 -7.688049157799612843e+00 8.539116230630082460e-02
2.457463935664930381e+06 1.137059570312500000e+03 9.307852935791015625e+01 -7.639458044701532557e+00 8.887756200608129542e-02
2.457463935684835073e+06 1.209102539062500000e+03 9.330120849609375000e+01 -7.706157832922555073e+00 8.378185541740265641e-02
2.457463935704739299e+06 1.059020507812500000e+03 9.301393127441406250e+01 -7.562260925631242969e+00 9.536070831195125885e-02
2.457463935724643990e+06 1.066083007812500000e+03 9.277119445800781250e+01 -7.569477553075874887e+00 9.448175792381893756e-02
2.457463935744548216e+06 1.243284179687500000e+03 9.368290710449218750e+01 -7.736426018635842894e+00 8.181177016601105800e-02
2.457463935764452908e+06 1.122029296875000000e+03 9.304936218261718750e+01 -7.625010491910515498e+00 9.003990785047190359e-02
2.457463935784357134e+06 1.112631835937500000e+03 9.287668609619140625e+01 -7.615878705824387751e+00 9.063189628859706637e-02
2.457463935804261826e+06 1.173054687500000000e+03 9.308558654785156250e+01 -7.673295648204105035e+00 8.615689090664355176e-02
2.457463935824166052e+06 1.068066406250000000e+03 9.299746704101562500e+01 -7.571495638686801755e+00 9.453632215586997567e-02
2.457463935844070278e+06 1.044033203125000000e+03 9.281432342529296875e+01 -7.546785776609742591e+00 9.652204854610579865e-02
2.457463935863974970e+06 1.168274414062500000e+03 9.300428771972656250e+01 -7.668862163694839751e+00 8.643386702074414008e-02
2.457463935883879196e+06 1.218853515625000000e+03 9.345333099365234375e+01 -7.714878785829326624e+00 8.324709925541680378e-02
2.457463935903783888e+06 1.184736328125000000e+03 9.342934417724609375e+01 -7.684054264088800323e+00 8.562240706127850765e-02
2.457463935923688114e+06 1.316236328125000000e+03 9.369082641601562500e+01 -7.798334682894669356e+00 7.728390084615892330e-02
2.457463935943592805e+06 1.077054687500000000e+03 9.297614288330078125e+01 -7.580594387949000534e+00 9.372589762218083709e-02
2.457463935963497031e+06 1.204850585937500000e+03 9.313687133789062500e+01 -7.702332982990503396e+00 8.392943313192441357e-02
2.457463935983401723e+06 1.213337890625000000e+03 9.317449188232421875e+01 -7.709954400351449522e+00 8.337601058861245085e-02
2.457463936003305949e+06 1.063483398437500000e+03 9.273556518554687500e+01 -7.566826786788077186e+00 9.467633692494629993e-02
2.457463936023210641e+06 1.251321289062500000e+03 9.329055023193359375e+01 -7.743422083490210994e+00 8.094586329998933183e-02
2.457463936043114867e+06 1.157050781250000000e+03 9.309161376953125000e+01 -7.658381049783637096e+00 8.735423749071588584e-02
2.457463936063019559e+06 1.145054687500000000e+03 9.297107696533203125e+01 -7.647065572393504596e+00 8.815510578339919023e-02
2.457463936082923785e+06 1.043126953125000000e+03 9.270833587646484375e+01 -7.545842917965712715e+00 9.649558789844728257e-02
2.457463936102828477e+06 1.210996093750000000e+03 9.305126953125000000e+01 -7.707856855657886364e+00 8.342676405173943266e-02
2.457463936122732703e+06 1.225724609375000000e+03 9.327979278564453125e+01 -7.720982264233557935e+00 8.262671846878182069e-02
2.457463936142637394e+06 1.178812500000000000e+03 9.295663452148437500e+01 -7.678611831034812596e+00 8.561729398471464025e-02
2.457463936162541620e+06 1.045000000000000000e+03 9.289585876464843750e+01 -7.547790726117682425e+00 9.651746382309031591e-02
