# jd flux flux_err
2.457463940206499770e+06 6.839119168526785870e+03 1.259925854269004475e+02
2.457463940219136886e+06 6.779977246093751091e+03 1.261089418595008169e+02
2.457463940231773537e+06 6.884054122488840221e+03 1.260672561715682747e+02
2.457463940244410653e+06 6.888400495256695649e+03 1.257008725223589209e+02
2.457463940257047769e+06 6.807714167131696740e+03 1.262487717835177108e+02
2.457463940269684885e+06 6.671366245814731883e+03 1.255612857897800438e+02
2.457463940282321535e+06 6.884948583984374636e+03 1.261234424563851775e+02
2.457463940294958651e+06 6.802909144810268117e+03 1.258485391094028927e+02
2.457463940307595767e+06 7.052152427455356701e+03 1.263994507712410922e+02
2.457463940320232883e+06 6.865084347098212675e+03 1.262284725478427845e+02
2.457463940332869533e+06 6.893418652343751091e+03 1.263279554570935801e+02
2.457463940345506649e+06 6.870370744977679351e+03 1.262498408883060108e+02
2.457463940358143765e+06 6.956562255859375000e+03 1.262750932860756166e+02
2.457463940370780881e+06 7.026158405412947104e+03 1.266012086214844174e+02
2.457463940383417532e+06 6.989577343750001091e+03 1.263477203660078203e+02
2.457463940396054648e+06 6.887876353236608338e+03 1.260455735081567497e+02
2.457463940408691764e+06 6.892598807198661234e+03 1.262608828320383623e+02
2.457463940421328880e+06 7.091618450055802896e+03 1.266122105799883713e+02
2.457463940433965530e+06 7.029400739397320649e+03 1.265310892622015757e+02
2.457463940446602646e+06 6.969306333705357247e+03 1.261992724796191112e+02
2.457463940459239762e+06 7.024824455915178987e+03 1.264120444479262204e+02
2.457463940471876878e+06 7.172646512276785870e+03 1.267837963479003207e+02
2.457463940484513529e+06 7.193471568080357429e+03 1.266429593755324277e+02
2.457463940497150645e+06 7.181602329799105974e+03 1.266881082258051521e+02
2.457463940509787761e+06 6.957242703683035870e+03 1.263791025635914309e+02
2.457463940522424877e+06 6.889569266183036234e+03 1.260725149009053609e+02
2.457463940535061527e+06 7.053816169084821922e+03 1.264347631018465563e+02
2.457463940547698643e+06 6.807764439174106883e+03 1.259350437587575300e+02
2.457463940560335759e+06 6.895654261997768117e+03 1.261411848973245355e+02
2.457463940572972875e+06 6.850993129185268117e+03 1.262177582970248579e+02
2.457463940585609525e+06 7.039118994140625546e+03 1.263667155311728010e+02
2.457463940598246641e+06 6.933466343470981883e+03 1.263353951093966288e+02
2.457463940610883757e+06 6.835403515625001091e+03 1.262278994501690050e+02
2.457463940623520873e+06 7.160251199776785143e+03 1.267491718569223167e+02
2.457463940636157524e+06 6.963119161551339857e+03 1.261536637141359023e+02
2.457463940648794640e+06 6.935887367466519208e+03 1.261079588720019871e+02
2.457463940661431756e+06 6.869647349330358338e+03 1.260826991688365126e+02
2.457463940674068872e+06 6.631838895089285870e+03 1.257511057130633958e+02
2.457463940686705522e+06 6.913967780412946013e+03 1.262158605735679799e+02
2.457463940699342638e+06 6.781386265345981883e+03 1.257623610138608399e+02
2.457463940711979754e+06 6.799192222377230792e+03 1.257713950989646321e+02
2.457463940724616870e+06 7.096879387555803078e+03 1.259078757760362635e+02
2.457463940737253521e+06 7.324108105468752001e+03 1.257222712996375407e+02
2.457463940749890637e+06 7.438838532366071377e+03 1.256963310698437795e+02
2.457463940762527753e+06 7.484815987723215585e+03 1.252619208507831559e+02
2.457463940775164869e+06 7.671859388950891116e+03 1.251918593216447135e+02
2.457463940787801519e+06 7.862672133091517935e+03 1.250847120787282165e+02
2.457463940800438635e+06 7.743011279296873909e+03 1.244875963946406188e+02
2.457463940813075751e+06 7.949782261439731883e+03 1.243796134613678674e+02
2.457463940825712867e+06 8.128873556082588948e+03 1.241498432340768261e+02
2.457463940838349517e+06 8.137113678850446377e+03 1.240462865161753570e+02
2.457463940850986633e+06 8.313792194475447104e+03 1.241630730417460597e+02
2.457463940863623749e+06 8.462206382533482611e+03 1.241911487960646951e+02
2.457463940876260865e+06 8.584518980189732247e+03 1.236888311450390887e+02
2.457463940888897516e+06 8.779218477957589130e+03 1.232828086231464368e+02
2.457463940901534632e+06 8.780368296595981519e+03 1.230728252672007415e+02
