# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 1.443274936160809432e+02 3.102697474871609984e+01 3.136355213950525744e+00 6.343133950044099834e+01 8.977296748753933286e+01 6.016413422805982947e+01 4.817045434529566592e+03 1.653832286430220847e+03 -6.959999999999999432e+01 1.548292599599090754e+05 1.710631338340466527e+03 1.420202885642026445e+02
1.000000000000000000e+00 1.443360194196678776e+02 3.102148645165753393e+01 1.628919292557761356e+00 5.945258858409928848e+01 8.993159312184232590e+01 5.953183679410209805e+01 4.767241281628782417e+03 1.822029648278057493e+03 -6.959999999999999432e+01 7.085960369757422246e+06 1.851222462514137987e+03 2.478022711914007914e+02
2.000000000000000000e+00 1.443361537883254471e+02 3.102300997752106682e+01 3.532388907496679220e+00 6.398791456076180140e+01 8.969592410133097360e+01 6.008048308240781665e+01 4.794515239627889969e+03 1.813725747172338060e+03 -6.959999999999999432e+01 1.630215053218716057e+05 1.853460608786079774e+03 2.184693225359973781e+02
3.000000000000000000e+00 1.442597791423169440e+02 3.098080834171626563e+01 1.809943631077549631e+00 5.989347290226285025e+01 8.999599585165979931e+01 5.981116859721146994e+01 3.593878191703606717e+03 9.145471565545806243e+02 -6.959999999999999432e+01 3.949997844240356353e+05 5.921685127503637887e+02 1.029681243458521521e+03
4.000000000000000000e+00 1.442488202437295968e+02 3.098044082714067571e+01 1.677568273348146066e+00 5.974105951954246052e+01 8.963635788872430510e+01 6.011937586343313455e+01 3.524212911805420390e+03 7.473112703078322738e+02 -6.959999999999999432e+01 6.760409806196938735e+05 4.112601493001948825e+02 1.036492735390009102e+03
5.000000000000000000e+00 1.442809516359389477e+02 3.098079049568389109e+01 1.965120018785080580e+00 6.049582133852759114e+01 8.998203778989689283e+01 5.975458921446684002e+01 3.715014415696457945e+03 1.242743187317347065e+03 -6.959999999999999432e+01 2.264962997775534459e+05 9.416607026731622909e+02 1.030485816424413770e+03
6.000000000000000000e+00 1.442355237288593628e+02 3.097838129927558271e+01 2.195177125500005655e+00 6.120286347235199287e+01 8.961471664854195751e+01 6.014604932220017730e+01 3.411600053187086360e+03 5.554260126884297506e+02 -6.959999999999999432e+01 1.768959144108548353e+05 1.917106029804544960e+02 1.075802205077258350e+03
7.000000000000000000e+00 1.442391036300400913e+02 3.096962084650127522e+01 1.891011761649691758e+00 6.044536959812966614e+01 9.008750818489569667e+01 5.972074410207554962e+01 3.273341662370032282e+03 6.696166041247473686e+02 -6.959999999999999432e+01 2.366619612360333267e+05 2.505390107008000768e+02 1.244572895693541568e+03
8.000000000000000000e+00 1.443230689621959471e+02 3.096034360094229854e+01 1.692856885140807455e+00 5.958840732927914274e+01 8.966749834721990453e+01 6.024125088577190468e+01 3.587523677675030740e+03 2.031193537250218014e+03 -6.959999999999999432e+01 4.791174194260198274e+05 1.636558514193629662e+03 1.424892004530830945e+03
9.000000000000000000e+00 1.442610013573335550e+02 3.095603673760193075e+01 2.180480234930336714e+00 6.098412782636355445e+01 9.002393290964286621e+01 5.979015312530312087e+01 3.153367327098141232e+03 1.098647087972817189e+03 -6.959999999999999432e+01 1.767709039434583974e+05 6.116830563065261686e+02 1.506665267388591019e+03
