# jd flux flux_err
2.457459876968900207e+06 -2.256000306051879306e+03 1.951969502699051020e+02
2.457459876985085662e+06 -1.152576744262110878e+03 1.346436797385451314e+02
2.457459877001271583e+06 -1.169945522764652196e+03 1.344906374551465262e+02
2.457459877017457038e+06 -1.202567298706639122e+03 1.342388304192476767e+02
2.457459877033642959e+06 -1.238436046837618051e+03 1.339397221519861887e+02
2.457459877049828414e+06 -1.155963343862140391e+03 1.339034695080915469e+02
2.457459877066014335e+06 -8.287308682528419013e+02 1.347715513743673057e+02
2.457459877082199790e+06 -2.434448468806069286e+03 1.947465234017407738e+02
2.457459877098385710e+06 -1.174134810014202230e+03 1.342997145898668521e+02
2.457459877114571165e+06 -1.162715967497757447e+03 1.344409762228492866e+02
2.457459877130757086e+06 -1.217809313322368325e+03 1.345540949669399708e+02
2.457459877146942541e+06 -1.263269278932413727e+03 1.343418518407617910e+02
2.457459877163128462e+06 -1.250854599656098799e+03 1.340324542682335789e+02
2.457459877179313917e+06 -1.188183089114836548e+03 1.341747423285477510e+02
2.457459877195499837e+06 -2.124154834218003089e+03 1.947347647117157408e+02
2.457459877211685292e+06 -1.160217175351373953e+03 1.342589612132161108e+02
2.457459877227870747e+06 -1.001249948601973301e+03 1.350485765095781119e+02
2.457459877244056668e+06 -1.090709830106161462e+03 1.347734284214577087e+02
2.457459877260242123e+06 -1.031928077807267982e+03 1.345813195403026725e+02
2.457459877276428044e+06 -9.248761844908804051e+02 1.345619385782079007e+02
2.457459877292613499e+06 -1.043671952097038229e+03 1.343177122654774109e+02
2.457459877308799420e+06 -1.152525346235794132e+03 1.343853775571163283e+02
2.457459877324984875e+06 -2.696515339974583185e+03 1.953429402953361489e+02
2.457459877341170795e+06 -1.160294711610345985e+03 1.345478038997158592e+02
2.457459877357356250e+06 -9.284214661520636582e+02 1.345582225495793693e+02
2.457459877373542171e+06 -1.019417214133520247e+03 1.344456606797407971e+02
2.457459877389727626e+06 -1.189041450171953329e+03 1.344511941236781638e+02
2.457459877405913547e+06 -1.164892928566088813e+03 1.346170393540771215e+02
2.457459877422099002e+06 -1.083057432621859334e+03 1.345943602016099874e+02
2.457459877438284457e+06 -2.268213752710078552e+03 1.954231193209215292e+02
2.457459877454470377e+06 -1.009332468133223301e+03 1.344300390295877889e+02
2.457459877470655832e+06 -9.375366678192276595e+02 1.346396222102156059e+02
2.457459877486841753e+06 -9.654825199985061772e+02 1.346307740182956536e+02
2.457459877503027208e+06 -1.081957288240131675e+03 1.346618542172325874e+02
2.457459877519213129e+06 -1.165717397297399657e+03 1.346929788457833297e+02
2.457459877535398584e+06 -1.099827795585379135e+03 1.344409668144593013e+02
2.457459877551584505e+06 -2.426180977123203775e+03 1.956263830654618232e+02
2.457459877567769960e+06 -1.025195303154907378e+03 1.341732800111184076e+02
2.457459877583955880e+06 -1.074497490841800754e+03 1.345491203235180251e+02
2.457459877600141335e+06 -1.099116108141452059e+03 1.344593992078821429e+02
2.457459877616327256e+06 -1.145467355244461942e+03 1.344082742421327055e+02
2.457459877632512711e+06 -1.213772281044413830e+03 1.342150322942027287e+02
2.457459877648698632e+06 -1.251003735702008271e+03 1.337795819731009033e+02
2.457459877664884087e+06 -1.180479625355108510e+03 1.345088461244687608e+02
