# jd flux flux_err mag mag_err
2.457459876856354065e+06 2.242840332031250000e+03 5.673611068725585938e+01 -8.376995893068018617e+00 2.746547042953875403e-02
2.457459876876822207e+06 2.301801513671875000e+03 5.693670272827148438e+01 -8.405169678302257807e+00 2.685655355295147456e-02
2.457459876897290815e+06 2.346120605468750000e+03 5.716457366943359375e+01 -8.425875834605697889e+00 2.645467759465425922e-02
2.457459876917758957e+06 2.292462402343750000e+03 5.671250534057617188e+01 -8.400755554324570440e+00 2.685977989672788321e-02
2.457459876938227564e+06 2.359503417968750000e+03 5.725826644897460938e+01 -8.432051526992390578e+00 2.634774323312001967e-02
2.457459876958695706e+06 2.446837890625000000e+03 5.777584075927734375e+01 -8.471512992914441043e+00 2.563698297558840780e-02
2.457459876979164314e+06 2.291696289062500000e+03 5.689481735229492188e+01 -8.400392653740127002e+00 2.695513331626989487e-02
2.457459876999632455e+06 2.295952636718750000e+03 5.683372116088867188e+01 -8.402407311858549832e+00 2.687627062786931975e-02
2.457459877020101063e+06 2.352936035156250000e+03 5.720543670654296875e+01 -8.429025302474403958e+00 2.639690578993467845e-02
2.457459877040569205e+06 2.380255859375000000e+03 5.740999603271484375e+01 -8.441559107286559893e+00 2.618723900922434109e-02
2.457459877061037812e+06 2.448799804687500000e+03 5.775225448608398438e+01 -8.472383204876551943e+00 2.560598570193152110e-02
2.457459877081505954e+06 2.467934814453125000e+03 5.789867019653320312e+01 -8.480834211238123643e+00 2.547186490138876602e-02
2.457459877101974562e+06 2.490914550781250000e+03 5.812952423095703125e+01 -8.490897073999136069e+00 2.533750088646130258e-02
2.457459877122442704e+06 2.352699218750000000e+03 5.712460708618164062e+01 -8.428916020673971943e+00 2.636226101639277050e-02
2.457459877142911311e+06 2.305640869140625000e+03 5.700725173950195312e+01 -8.406979154299508039e+00 2.684505394229796948e-02
2.457459877163379453e+06 2.379538574218750000e+03 5.733258438110351562e+01 -8.441231873629712723e+00 2.615981133500921638e-02
2.457459877183847595e+06 2.229005371093750000e+03 5.659229278564453125e+01 -8.370277787433845873e+00 2.756588959628011176e-02
2.457459877204316203e+06 2.328876464843750000e+03 5.699237060546875000e+01 -8.417866130031846694e+00 2.657027858510015161e-02
2.457459877224784344e+06 2.364270263671875000e+03 5.723584365844726562e+01 -8.434242799931343626e+00 2.628432368692476886e-02
2.457459877245252952e+06 2.355581054687500000e+03 5.725730133056640625e+01 -8.430245131866399788e+00 2.639117096944745486e-02
2.457459877265721094e+06 2.399912841796875000e+03 5.749993133544921875e+01 -8.450488674056090943e+00 2.601343447181512711e-02
2.457459877286189701e+06 2.301630615234375000e+03 5.692278671264648438e+01 -8.405089064266546117e+00 2.685198312722971575e-02
2.457459877306657843e+06 2.306459960937500000e+03 5.713511657714843750e+01 -8.407364799653327836e+00 2.689571140322696494e-02
2.457459877327126451e+06 2.419973144531250000e+03 5.780522155761718750e+01 -8.459526366142604559e+00 2.593476766293793118e-02
2.457459877347594593e+06 2.495167968750000000e+03 5.788567733764648438e+01 -8.492749466527643065e+00 2.518820219708958058e-02
2.457459877368063200e+06 2.379894042968750000e+03 5.734728240966796875e+01 -8.441394054848901263e+00 2.616260946046263663e-02
2.457459877388531342e+06 2.341475097656250000e+03 5.728046035766601562e+01 -8.423723858201517700e+00 2.656090047294733594e-02
2.457459877408999950e+06 2.442657958984375000e+03 5.779681396484375000e+01 -8.469656644382489219e+00 2.569017596728157340e-02
2.457459877429468092e+06 2.488167480468750000e+03 5.799534606933593750e+01 -8.489699024246506909e+00 2.530692468879071344e-02
2.457459877449936699e+06 2.506735595703125000e+03 5.798244857788085938e+01 -8.497771320153949759e+00 2.511388270340899828e-02
2.457459877470404841e+06 2.277269042968750000e+03 5.688212585449218750e+01 -8.393535856044136878e+00 2.711985196300929074e-02
2.457459877490872983e+06 2.214497802734375000e+03 5.632999801635742188e+01 -8.363188134264960993e+00 2.761787885757315680e-02
2.457459877511341590e+06 2.467287597656250000e+03 5.775631713867187500e+01 -8.480549439183675986e+00 2.541590361403758477e-02
2.457459877531809732e+06 2.443208496093750000e+03 5.791868209838867188e+01 -8.469901324862291858e+00 2.573854421431723966e-02
2.457459877552278340e+06 2.397682128906250000e+03 5.758327484130859375e+01 -8.449479015701394147e+00 2.607537674509103134e-02
2.457459877572746482e+06 2.439502685546875000e+03 5.781206130981445312e+01 -8.468253251363126566e+00 2.573018993518621025e-02
2.457459877593215089e+06 2.455726074218750000e+03 5.775177001953125000e+01 -8.475449803678943184e+00 2.553355092788756400e-02
2.457459877613683231e+06 2.387815429687500000e+03 5.750197601318359375e+01 -8.445001885533894637e+00 2.614615629848937930e-02
2.457459877634151839e+06 2.286482910156250000e+03 5.702333068847656250e+01 -8.397919899211307992e+00 2.707761811238539387e-02
2.457459877654619981e+06 2.242758544921875000e+03 5.673171234130859375e+01 -8.376956300037889491e+00 2.746434273850823296e-02
2.457459877675088588e+06 2.319859375000000000e+03 5.719168090820312500e+01 -8.413654149174956132e+00 2.676683608430897171e-02
2.457459877695556730e+06 2.395481933593750000e+03 5.758426284790039062e+01 -8.448482249538187716e+00 2.609977419060861142e-02
2.457459877716025338e+06 2.285548339843750000e+03 5.694888687133789062e+01 -8.397476027862744274e+00 2.705332604599974475e-02
2.457459877736493479e+06 2.388427978515625000e+03 5.739870071411132812e+01 -8.445280374876535490e+00 2.609250346835674181e-02
2.457459877756962087e+06 2.335559082031250000e+03 5.704377746582031250e+01 -8.420977144993569752e+00 2.651815208711172725e-02
2.457459877777430229e+06 2.298472656250000000e+03 5.721518325805664062e+01 -8.403598353846039259e+00 2.702699677617816446e-02
