# jd flux flux_err
2.457459880990273785e+06 1.434871295764399474e+04 9.781920326490418915e+01
2.457459881003458053e+06 1.370467805510876133e+04 9.569794208828358251e+01
2.457459881016642321e+06 1.437630755734911145e+04 9.795691507496886175e+01
2.457459881029826123e+06 1.503159444651884405e+04 1.000497544630343469e+02
2.457459881043010391e+06 1.447454083371629895e+04 9.828604761507830290e+01
2.457459881056194659e+06 1.465149432732077184e+04 9.885974086559676266e+01
2.457459881069378927e+06 1.520675964355468750e+04 1.006155610203552442e+02
2.457459881082562730e+06 1.551329981665517698e+04 1.015967273074120243e+02
2.457459881095746998e+06 1.549479597263710093e+04 1.015396175294098668e+02
2.457459881108931266e+06 1.545097739305683353e+04 1.014668318243340650e+02
2.457459881122115534e+06 1.536288534486060234e+04 1.011675103172700432e+02
2.457459881135299336e+06 1.387031002987132342e+04 9.632587729458219883e+01
2.457459881148483604e+06 1.193549159869025789e+04 8.967612530999397791e+01
2.457459881161667872e+06 1.162147091854319842e+04 8.853712353640065658e+01
2.457459881174852140e+06 1.214851922966452184e+04 9.043147453272067082e+01
2.457459881188035943e+06 1.263770463771446157e+04 9.213501960140644087e+01
2.457459881201220211e+06 1.405835554773667354e+04 9.690789590919781915e+01
2.457459881214404479e+06 1.545094778502221016e+04 1.014067073169717474e+02
2.457459881227588747e+06 1.386809060010723078e+04 9.631054067844777933e+01
2.457459881240772549e+06 1.291792384727328499e+04 9.307349634615457035e+01
2.457459881253956817e+06 1.392733688534007342e+04 9.648188168202132431e+01
2.457459881267141085e+06 1.520048727596507524e+04 1.006173470891335597e+02
2.457459881280325353e+06 1.640876229798560234e+04 1.044352597299229899e+02
2.457459881293509621e+06 1.555830418964460841e+04 1.018236090786457311e+02
2.457459881306693424e+06 1.485048661295573038e+04 9.959865608581527852e+01
2.457459881319877692e+06 1.482052456485523908e+04 9.951876865743115275e+01
2.457459881333061960e+06 1.414119021905637237e+04 9.723379151092484562e+01
2.457459881346246228e+06 1.433661234777113896e+04 9.781684418656830360e+01
2.457459881359430030e+06 1.544715991210937318e+04 1.013551987321459507e+02
2.457459881372614298e+06 1.530685451612285578e+04 1.009201649990600345e+02
2.457459881385798566e+06 1.474340569469975526e+04 9.914726201415078322e+01
2.457459881398982834e+06 1.462318334482230421e+04 9.879085269689757354e+01
2.457459881412166636e+06 1.604420848173253762e+04 1.032960817657875623e+02
2.457459881425350904e+06 1.766119721775428843e+04 1.082310992209962279e+02
2.457459881438535172e+06 1.740797122970281998e+04 1.075324352423674696e+02
2.457459881451719441e+06 1.603490596756280866e+04 1.033476342542301722e+02
2.457459881464903243e+06 1.432754732977175263e+04 9.790135430429059227e+01
2.457459881478087511e+06 1.384193873027726659e+04 9.625018585035621754e+01
2.457459881491271779e+06 1.480491477098652103e+04 9.941891964327122366e+01
2.457459881504456047e+06 1.455101056985294053e+04 9.864696737352649336e+01
2.457459881517639849e+06 1.398249059340533131e+04 9.678877346294211748e+01
2.457459881530824117e+06 1.463927551987592051e+04 9.894739817284005312e+01
2.457459881544008385e+06 1.580751771695006028e+04 1.026680761513473925e+02
2.457459881557192653e+06 1.532587203201593184e+04 1.011690172334304663e+02
2.457459881570376456e+06 1.558039779124540473e+04 1.019617263773021136e+02
2.457459881583560724e+06 1.458536355411305158e+04 9.876496125307438945e+01
2.457459881596744992e+06 1.285805276309742658e+04 9.304018657692739680e+01
2.457459881609929260e+06 1.273016581456801396e+04 9.255582824802807806e+01
2.457459881623113528e+06 1.254900880103017698e+04 9.189598825928779036e+01
2.457459881636297330e+06 1.199160092342601092e+04 8.990027757141383802e+01
2.457459881649481598e+06 1.247020658126531816e+04 9.155994140613206866e+01
2.457459881662665866e+06 1.423738610600490210e+04 9.756419215307906256e+01
2.457459881675850134e+06 1.533954396685432039e+04 1.010552210308598831e+02
2.457459881689033937e+06 1.568218173397288592e+04 1.021159728266432154e+02
2.457459881702218205e+06 1.626679451976102973e+04 1.038963441538322741e+02
2.457459881715402473e+06 1.645683130840226659e+04 1.044845894775514381e+02
2.457459881728586741e+06 1.564796884574142132e+04 1.019670357268671381e+02
2.457459881741770543e+06 1.461198522231158131e+04 9.865992665425804375e+01
2.457459881754954811e+06 1.472643848613664341e+04 9.909751063789116188e+01
2.457459881768139079e+06 1.551674375765931109e+04 1.016211107286677446e+02
2.457459881781323347e+06 1.623922440831801396e+04 1.038370700239099449e+02
2.457459881794507150e+06 1.526544819431678661e+04 1.007924162639898498e+02
2.457459881807691418e+06 1.375385378130744539e+04 9.590956096916860929e+01
2.457459881820875686e+06 1.379834276625689381e+04 9.602943069973021295e+01
2.457459881834059954e+06 1.365887235753676396e+04 9.556925752113443195e+01
2.457459881847243756e+06 1.298556803385416606e+04 9.326834146914805501e+01
2.457459881860428024e+06 1.265666613530177710e+04 9.209277783325202904e+01
2.457459881873612292e+06 1.272043997491574737e+04 9.233993131755835293e+01
