# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 1.552869604751349186e+02 6.270370356729004335e+00 2.293092517647707496e+00 1.405000149067205939e+02 8.957628983040980586e+01 8.551405663617879327e+01 2.187340780437209276e+02 1.684915785286834080e+03 8.109999999999999432e+01 5.164075598340448923e+05 4.312093798333301606e+02 1.531121364422891133e+02
1.000000000000000000e+00 1.553426933560148768e+02 6.254896630099636923e+00 2.067676638857296911e+00 1.396339967168289036e+02 9.005867330366154988e+01 8.661024127882045320e+01 6.784533349582595747e+02 6.759223873523711745e+02 8.109999999999999432e+01 1.421720024116739864e+06 1.497779408237996677e+03 4.512678216915580833e+02
2.000000000000000000e+00 1.552933205947568922e+02 6.238111515723205436e+00 2.531109388495095924e+00 1.416067095777360123e+02 8.954238908682408749e+01 8.538617834402826645e+01 8.505541219630986234e+02 1.660046993406646152e+03 8.109999999999999432e+01 3.697705150475674891e+05 5.527733089928312893e+02 7.742342659506779228e+02
3.000000000000000000e+00 1.552935342058642902e+02 6.238347394790602962e+00 2.461295318451909075e+00 1.414309105132579134e+02 9.005599315255257409e+01 8.676902694408362038e+01 8.469273138899175137e+02 1.655515261511231301e+03 8.109999999999999432e+01 3.591735744958638097e+05 5.568627994497863938e+02 7.696938853722427893e+02
4.000000000000000000e+00 1.552888753315368149e+02 6.233553886253413445e+00 2.296598421264341550e+00 1.406226798261972135e+02 9.001106032103911048e+01 8.668260716326139459e+01 9.243352532687108578e+02 1.758131441112447192e+03 8.109999999999999432e+01 4.377926881691922899e+05 4.676716383255193250e+02 8.619610346307471218e+02
5.000000000000000000e+00 1.553056809145803356e+02 6.217657786569213307e+00 2.090554529976266007e+00 1.398977722026288859e+02 8.960738458479399071e+01 8.544721831634838338e+01 1.276310282037871502e+03 1.488091258858662059e+03 8.109999999999999432e+01 1.028643166254445445e+06 7.892496464954700741e+02 1.168093632515729496e+03
6.000000000000000000e+00 1.553428733940116899e+02 6.121264280362682442e+00 2.026904880229665640e+00 1.396090894464653900e+02 9.000610184150338000e+01 8.638592354728841372e+01 3.220015531338432538e+03 1.071400150615923167e+03 8.109999999999999432e+01 3.296750847046099138e+06 1.500810784010222278e+03 3.024111630225988392e+03
7.000000000000000000e+00 1.553295117913696970e+02 6.116681940840823728e+00 2.917135298902521434e+00 1.421459206000786253e+02 8.959042019890549113e+01 8.549632608660465394e+01 3.267704009224106812e+03 1.338271113473349033e+03 8.109999999999999432e+01 3.539366800227679778e+05 1.245009467563513681e+03 3.112290717871410834e+03
8.000000000000000000e+00 1.552836539446247173e+02 6.051865538446147497e+00 4.589117596320815728e+00 1.602730929189096969e+02 9.004639801334319316e+01 8.662896112687687378e+01 4.364468881179796881e+03 2.399800214842580317e+03 8.109999999999999432e+01 3.457288250628190581e+05 3.667939182557167896e+02 4.360002402906527095e+03
9.000000000000000000e+00 1.552769898582039616e+02 6.085838446504672206e+00 8.939749758856514461e+00 1.695593887305737155e+02 8.951876324163792731e+01 8.542476083001754716e+01 3.698782830341027875e+03 2.424258051458839418e+03 8.109999999999999432e+01 4.376099395338210743e+05 2.393889943030977747e+02 3.705884759761528130e+03
1.000000000000000000e+01 1.553270013248505848e+02 6.047914057728764448e+00 7.911823000041898979e+00 1.785137000012700810e+02 9.035681444316038835e+01 8.684133430025532618e+01 4.568123828767833402e+03 1.590262286784871321e+03 8.109999999999999432e+01 5.648769775195845868e+05 1.196698690251787866e+03 4.436271598266977890e+03
1.100000000000000000e+01 1.552989484641275624e+02 6.050844879840952650e+00 1.990068453692363404e+00 1.396186323957168440e+02 8.924154775331838607e+01 8.408092024624788507e+01 4.429222956706358673e+03 2.112348666651347685e+03 8.109999999999999432e+01 7.307040069262225181e+06 6.596149297430719116e+02 4.379728225092320827e+03
