# jd flux flux_err mag mag_err
2.457459884419919457e+06 2.583517089843750000e+03 4.851099395751953125e+01 -8.530528346821764529e+00 2.038706335115543153e-02
2.457459884433287196e+06 2.462488037109375000e+03 4.783641815185546875e+01 -8.478435323375894228e+00 2.109164059337464980e-02
2.457459884446654469e+06 2.625488281250000000e+03 4.877672576904296875e+01 -8.548025210433316090e+00 2.017104498796959064e-02
2.457459884460022207e+06 2.590366455078125000e+03 4.864202880859375000e+01 -8.533403018466117373e+00 2.038807916737392714e-02
2.457459884473389946e+06 2.586859375000000000e+03 4.852897262573242188e+01 -8.531932051380184845e+00 2.036826866116860785e-02
2.457459884486757219e+06 2.641456542968750000e+03 4.894846343994140625e+01 -8.554608675259343542e+00 2.011969677742705964e-02
2.457459884500124957e+06 2.698141113281250000e+03 4.921279525756835938e+01 -8.577661649029799662e+00 1.980337501991229904e-02
2.457459884513492696e+06 2.692644287109375000e+03 4.919221115112304688e+01 -8.575447461370229618e+00 1.983550207166700705e-02
2.457459884526859969e+06 2.571068847656250000e+03 4.845206832885742188e+01 -8.525284265660891592e+00 2.046088680796270820e-02
2.457459884540227707e+06 2.427466796875000000e+03 4.753802871704101562e+01 -8.462883245747132577e+00 2.126246973416292402e-02
2.457459884553595446e+06 2.440979003906250000e+03 4.766486358642578125e+01 -8.468910109617455717e+00 2.120118563392343544e-02
2.457459884566962719e+06 2.434964843750000000e+03 4.749188995361328125e+01 -8.466231738028994869e+00 2.117642262088043070e-02
2.457459884580330458e+06 2.356604980468750000e+03 4.687505340576171875e+01 -8.430716977969627379e+00 2.159637313278037207e-02
2.457459884593698196e+06 2.414562988281250000e+03 4.746415328979492188e+01 -8.457096348120328955e+00 2.134288069641331401e-02
2.457459884607065469e+06 2.440170166015625000e+03 4.762594985961914062e+01 -8.468550282634465631e+00 2.119089870073092782e-02
2.457459884620433208e+06 2.421141601562500000e+03 4.746676254272460938e+01 -8.460050475234705658e+00 2.128605891116750262e-02
2.457459884633800946e+06 2.417209716796875000e+03 4.755928802490234375e+01 -8.458285828435899489e+00 2.136224301157592723e-02
2.457459884647168685e+06 2.297817138671875000e+03 4.670829391479492188e+01 -8.403288660939802313e+00 2.207010391799988508e-02
2.457459884660535958e+06 2.256197265625000000e+03 4.644118499755859375e+01 -8.383442671375616939e+00 2.234868952617107690e-02
2.457459884673903696e+06 2.318183593750000000e+03 4.686303710937500000e+01 -8.412869569788428592e+00 2.194868173871649883e-02
2.457459884687271435e+06 2.305532226562500000e+03 4.671796798706054688e+01 -8.406927992836676466e+00 2.200080570458947185e-02
2.457459884700638708e+06 2.226732177734375000e+03 4.625004959106445312e+01 -8.369169962514730443e+00 2.255122072834772964e-02
2.457459884714006446e+06 2.225538818359375000e+03 4.634547424316406250e+01 -8.368587934371838344e+00 2.260986633424226511e-02
2.457459884727374185e+06 2.260721679687500000e+03 4.652536010742187500e+01 -8.385617747729799731e+00 2.234438893425166883e-02
2.457459884740741458e+06 2.152290771484375000e+03 4.583565521240234375e+01 -8.332252358843474482e+00 2.312215661083365931e-02
2.457459884754109196e+06 2.355968261718750000e+03 4.708419036865234375e+01 -8.430423588957804526e+00 2.169858978217564793e-02
2.457459884767476935e+06 2.320423583984375000e+03 4.684478378295898438e+01 -8.413918177093002271e+00 2.191895302890197253e-02
2.457459884780844208e+06 2.351070800781250000e+03 4.705700302124023438e+01 -8.428164269458056523e+00 2.173123431387257581e-02
2.457459884794211946e+06 2.371739013671875000e+03 4.724816894531250000e+01 -8.437667243815122120e+00 2.162937264807363383e-02
2.457459884807579685e+06 2.304160644531250000e+03 4.676751327514648438e+01 -8.406281886315174035e+00 2.203724813366365887e-02
2.457459884820946958e+06 2.473181640625000000e+03 4.782523345947265625e+01 -8.483140034761126103e+00 2.099553389987386318e-02
2.457459884834314696e+06 2.674254882812500000e+03 4.905699157714843750e+01 -8.568006993593625609e+00 1.991700132148831529e-02
2.457459884847682435e+06 2.522421386718750000e+03 4.815731048583984375e+01 -8.504544099961897530e+00 2.072862153889027184e-02
2.457459884861049708e+06 2.413998291015625000e+03 4.746836853027343750e+01 -8.456842395759222697e+00 2.134976923549342098e-02
2.457459884874417447e+06 2.521758544921875000e+03 4.815512847900390625e+01 -8.504258752749549899e+00 2.073313057670772216e-02
2.457459884887785185e+06 2.555773925781250000e+03 4.836994934082031250e+01 -8.518806087792572868e+00 2.054844846312013293e-02
