# jd flux flux_err mag mag_err
2.457459885682416148e+06 9.066141835363052087e+04 2.361560717120305242e+02 -1.239355627275242355e+01 2.828150032911461945e-03
2.457459885695555713e+06 9.299679450827206892e+04 2.391293459379122908e+02 -1.242116994796114149e+01 2.791841347128739582e-03
2.457459885708695278e+06 8.849443397288603592e+04 2.333641661413635688e+02 -1.236728988943156082e+01 2.863149673616257121e-03
2.457459885721834842e+06 9.209151496438421600e+04 2.379531169089503351e+02 -1.241054904362719036e+01 2.805418254359707837e-03
2.457459885734974407e+06 8.556527451459098666e+04 2.294911168837827518e+02 -1.233074387003090777e+01 2.912018767647488269e-03
2.457459885748113971e+06 8.580932344037224539e+04 2.297646636093131463e+02 -1.233383619452629709e+01 2.907197911198138029e-03
2.457459885761253536e+06 1.006204953498391696e+05 2.484912402720934210e+02 -1.250671612751438033e+01 2.681331256370662885e-03
2.457459885774393100e+06 1.116447347713695053e+05 2.615981378323453441e+02 -1.261959561579451616e+01 2.544030067801526622e-03
2.457459885787532665e+06 9.910677194967831019e+04 2.466970777355516020e+02 -1.249025832692698756e+01 2.702629496565569275e-03
2.457459885800672229e+06 9.062668609547334199e+04 2.360851107389420918e+02 -1.239314024908964385e+01 2.828383770577947657e-03
2.457459885813811794e+06 9.090936573127309384e+04 2.364088458006025064e+02 -1.239652156932780080e+01 2.823455407205068164e-03
2.457459885826951358e+06 9.521840378848795081e+04 2.418441609113729669e+02 -1.244680224205694863e+01 2.757658906477703301e-03
2.457459885840090923e+06 9.932848259133718966e+04 2.469563477713107602e+02 -1.249268450236998618e+01 2.699430999387959600e-03
2.457459885853230488e+06 1.025354282657400181e+05 2.508898210127424306e+02 -1.252718487425635807e+01 2.656653596456395698e-03
2.457459885866370052e+06 1.038206489975874574e+05 2.524348407301344821e+02 -1.254070934846914653e+01 2.639923816896050553e-03
2.457459885879509617e+06 1.009383111184511654e+05 2.488972774813597084e+02 -1.251014008480451523e+01 2.677256306928766944e-03
2.457459885892649181e+06 9.960750436006422387e+04 2.472628668004368535e+02 -1.249573014775085866e+01 2.695210433437398787e-03
