# jd flux flux_err mag mag_err
2.457459889123415109e+06 3.489252953383183467e+03 6.694133641463169226e+01 -8.856831136916627045e+00 2.082992765782450476e-02
2.457459889136736281e+06 3.160426302595478774e+03 6.111987891896164626e+01 -8.749364168870110703e+00 2.099726144000746419e-02
2.457459889150056988e+06 2.835348499653252929e+03 5.702895968861194120e+01 -8.631516116779968328e+00 2.183809951400535881e-02
2.457459889163378160e+06 2.944296738684032789e+03 5.832021208664856715e+01 -8.672453944767163136e+00 2.150618388391763863e-02
2.457459889176699333e+06 3.016171065254253335e+03 5.868322646020444466e+01 -8.698639923389844597e+00 2.112437422097324796e-02
2.457459889190020040e+06 3.079314597835512359e+03 5.951034039612636661e+01 -8.721135152044002581e+00 2.098283722848822558e-02
2.457459889203341212e+06 3.056417943429573825e+03 6.023792824640064936e+01 -8.713031851619822632e+00 2.139848980890987976e-02
2.457459889216661919e+06 3.016985748711459564e+03 5.875764371559847632e+01 -8.698933146774402658e+00 2.114545092399612927e-02
2.457459889229983091e+06 3.015839722053398873e+03 5.861931809829243178e+01 -8.698520642664920643e+00 2.110368729698464466e-02
2.457459889243304264e+06 3.015745445535573708e+03 5.974198698892134729e+01 -8.698486701528111098e+00 2.150853449828623101e-02
2.457459889256624971e+06 3.129334629705342195e+03 6.144372632331862860e+01 -8.738630015299207798e+00 2.131824151530945649e-02
2.457459889269946143e+06 3.022451772344875735e+03 5.995056081910902890e+01 -8.700898449455184647e+00 2.153573549107147891e-02
2.457459889283267315e+06 2.926668682906623872e+03 5.774206460104294081e+01 -8.665933900951509727e+00 2.142123896227053279e-02
2.457459889296588022e+06 2.911208442221166479e+03 5.752931638275594395e+01 -8.660183254979344269e+00 2.145565362600997811e-02
2.457459889309909195e+06 2.944749171686503360e+03 5.867848982354875886e+01 -8.672620770735052886e+00 2.163497799866341900e-02
2.457459889323230367e+06 3.058905476493982405e+03 5.976961598791225327e+01 -8.713915142550510140e+00 2.121486373521274532e-02
2.457459889336551074e+06 3.059382671005759676e+03 6.033465269034232392e+01 -8.714084506054387447e+00 2.141207977440653595e-02
2.457459889349872246e+06 3.196909817523268430e+03 6.242747697162386800e+01 -8.761825963290712949e+00 2.120172689127711521e-02
2.457459889363192953e+06 3.152523946862906087e+03 6.130004881071642586e+01 -8.746645985496556364e+00 2.111194589401212823e-02
2.457459889376514126e+06 3.177861216847702963e+03 6.108690801533230541e+01 -8.755337317079820991e+00 2.087079799361340332e-02
2.457459889389835298e+06 3.240365207787132476e+03 6.189797506034901176e+01 -8.776484901124835147e+00 2.073997933335364890e-02
2.457459889403156005e+06 3.444274324369098849e+03 6.555038231108378000e+01 -8.842744335478419870e+00 2.066347375030085781e-02
2.457459889416477177e+06 3.427819140849102041e+03 6.592253285457958611e+01 -8.837544748848925380e+00 2.088054470802724882e-02
2.457459889429798350e+06 3.420601931533433799e+03 6.437064456776525390e+01 -8.835256341559302840e+00 2.043201314619918357e-02
2.457459889443119057e+06 3.311180323471029624e+03 6.128131088391685211e+01 -8.799957081566029515e+00 2.009421534897147185e-02
2.457459889456440229e+06 3.228646316168378235e+03 6.147451834617697841e+01 -8.772551181488891459e+00 2.067285698496351687e-02
2.457459889469761401e+06 3.208181024461036031e+03 6.150562261144460052e+01 -8.765647164387571522e+00 2.081525767560717111e-02
2.457459889483082108e+06 3.327785996945576699e+03 6.262522705796718725e+01 -8.805388474835490698e+00 2.043241785629440824e-02
2.457459889496403281e+06 3.409035874558261185e+03 6.351302433324148211e+01 -8.831578928740103862e+00 2.022819165800335967e-02
2.457459889509723987e+06 3.391404558500642452e+03 6.237200079581473489e+01 -8.825948998954649127e+00 1.996806189763074280e-02
2.457459889523045160e+06 3.325314255107183726e+03 6.159380181187871983e+01 -8.804581735233030670e+00 2.011083742732568819e-02
2.457459889536366332e+06 3.140695130592616351e+03 5.945517738596272039e+01 -8.742564452961122612e+00 2.055368687850154738e-02
2.457459889549687039e+06 3.228665543996554788e+03 6.067771840223787194e+01 -8.772557647445513140e+00 2.040478491200327371e-02
2.457459889563008212e+06 3.379510325784370707e+03 6.320181720343055787e+01 -8.822134444321411806e+00 2.030493603966902760e-02
2.457459889576329384e+06 3.323149532909367736e+03 6.391886933183916142e+01 -8.803874709543666910e+00 2.088358423269416272e-02
2.457459889589650091e+06 3.276132468005856936e+03 6.263874641433930890e+01 -8.788403634553112909e+00 2.075904841946188406e-02
2.457459889602971263e+06 3.121178883280185346e+03 6.027857109732806862e+01 -8.735796649951693027e+00 2.096863340124612354e-02
2.457459889616292436e+06 2.940359176989060870e+03 5.914762745206510175e+01 -8.671000961282658182e+00 2.184051034729899907e-02
2.457459889629613142e+06 2.936359574894253910e+03 5.944999875434940151e+01 -8.669523091181067898e+00 2.198206316400191929e-02
2.457459889642934315e+06 3.065298322003832254e+03 6.066792993502827613e+01 -8.716181868665749732e+00 2.148880511068744156e-02
2.457459889656255022e+06 3.137822594119740188e+03 6.178667216506326554e+01 -8.741570964624399309e+00 2.137923971935547229e-02
