# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 1.553584679967942179e+02 5.930476609017429013e+00 1.761940093242327920e+00 1.411091209762591063e+02 8.957822696033829857e+01 2.244693599862040116e+02 2.902091892147010185e+03 1.672376164813023252e+03 8.109999999999999432e+01 2.220961400000000000e+07 8.584186980741910702e+02 2.802061307238716381e+03
1.000000000000000000e+00 1.553538825566675143e+02 5.920140129790906869e+00 1.869936222697240469e+00 1.414218495733352654e+02 8.998908609406747416e+01 2.285539782896546797e+02 2.718231793094150817e+03 1.555012980524545128e+03 8.109999999999999432e+01 7.062788000000000000e+06 9.462274693192966879e+02 2.603051278112578075e+03
2.000000000000000000e+00 1.553702512522998234e+02 5.923662838739907066e+00 3.525813290014611301e+00 1.459583964123970645e+02 8.958181406386098899e+01 2.259861161872967159e+02 2.737464907603227857e+03 1.874917180416373640e+03 8.109999999999999432e+01 2.416435750000000000e+06 6.327642782265127153e+02 2.670882289137235148e+03
3.000000000000000000e+00 1.553705308274990387e+02 5.922714247334181614e+00 4.845042828770783849e+00 1.477406250201028683e+02 9.006944244144403910e+01 2.289740315905450814e+02 2.718729255321030450e+03 1.876644488313588454e+03 8.109999999999999432e+01 2.109676250000000000e+06 6.274095889873001397e+02 2.652619233168117262e+03
4.000000000000000000e+00 1.553158994858604558e+02 5.920496997242746140e+00 4.738625596637496606e+00 1.485792634896446600e+02 8.993404162882542607e+01 2.255583443009468567e+02 2.838107767125717146e+03 8.373854828045646173e+02 8.109999999999999432e+01 1.621336000000000000e+06 1.673615593199593604e+03 2.609938798867185596e+03
5.000000000000000000e+00 1.553752741476310177e+02 5.946388913760273454e+00 4.781323225964238866e+00 1.478636089503241351e+02 8.997281172075012989e+01 2.265028749295873922e+02 3.154901146913713092e+03 2.037719424751212728e+03 8.109999999999999432e+01 1.688239500000000000e+06 5.365968932876425015e+02 3.108432548158035388e+03
6.000000000000000000e+00 1.553795668870357929e+02 5.935542758842641042e+00 5.467567727745989536e+00 1.490301355276510833e+02 8.995033969657264095e+01 2.261346991964107929e+02 2.935951517156598584e+03 2.087030968991372902e+03 8.109999999999999432e+01 3.084817750000000000e+06 4.543812528802537827e+02 2.899615633215960770e+03
7.000000000000000000e+00 1.553613458916478294e+02 5.962068500726918963e+00 3.286821054785688201e+00 1.447842333731850601e+02 8.968333258805347441e+01 2.262900736837745512e+02 3.494056465745899004e+03 1.819891913664053845e+03 8.109999999999999432e+01 2.273191500000000000e+06 8.033223393970910138e+02 3.410301912834310315e+03
8.000000000000000000e+00 1.553531342898128855e+02 5.965705011916052847e+00 2.005071375070766493e+00 1.417980088489621835e+02 8.985929811597873140e+01 2.281379838171690153e+02 3.587376481820559093e+03 1.675668677483367674e+03 8.109999999999999432e+01 3.620994500000000000e+06 9.605658114779348580e+02 3.480312958738532870e+03
9.000000000000000000e+00 1.553184695130832438e+02 5.901179549739215879e+00 4.988732222586811815e+00 1.479735058494285340e+02 9.002803434563328722e+01 2.270041915523060254e+02 2.462692463989389580e+03 8.277852285636323586e+02 8.109999999999999432e+01 1.674585375000000000e+06 1.624418631338166961e+03 2.238016044071644956e+03
1.000000000000000000e+01 1.553042796491351396e+02 5.938015363527354928e+00 4.743339282941988699e+00 1.489417008642350879e+02 8.991529180371432517e+01 2.257985191513323571e+02 3.206095157881385148e+03 6.692009340864502747e+02 8.109999999999999432e+01 1.608056750000000000e+06 1.896112474386792655e+03 2.947235733414430797e+03
1.100000000000000000e+01 1.553012296573509730e+02 5.934770165916691376e+00 4.872193033835081621e+00 1.484623953071422306e+02 9.002266791727616635e+01 2.265850224254126886e+02 3.152731025467135169e+03 6.017031541228690230e+02 8.109999999999999432e+01 1.643231000000000000e+06 1.954524261571032412e+03 2.884760560316884494e+03
1.200000000000000000e+01 1.553888325850626870e+02 5.937019834545540498e+00 2.596885496322377751e+00 1.437753575621270272e+02 8.954125979278087755e+01 2.257365114278961755e+02 2.936513248298186227e+03 2.266462771895829064e+03 8.109999999999999432e+01 2.523016750000000000e+06 2.769471557494987906e+02 2.928065523060742635e+03
1.300000000000000000e+01 1.553895472663459429e+02 5.935434064334550897e+00 4.906216581159311474e+00 1.484489345125170416e+02 8.980547700414045664e+01 2.221609927391404824e+02 2.903634601123697848e+03 2.275458416966397181e+03 8.109999999999999432e+01 1.712078125000000000e+06 2.632588470552134368e+02 2.897535657861403706e+03
1.400000000000000000e+01 1.553146818752072420e+02 5.964828977816116762e+00 5.241666825305109967e+00 1.493162882227210844e+02 9.008612239573264446e+01 2.273696831475737667e+02 3.684686867470375091e+03 9.457494287679228364e+02 8.109999999999999432e+01 1.778727125000000000e+06 1.696881649711468526e+03 3.463465047847425467e+03
1.500000000000000000e+01 1.553332066350350544e+02 5.886299020237457214e+00 4.576678207124683873e+00 1.487719497998811562e+02 8.979576933208583966e+01 2.254113950114192448e+02 2.136566261219084026e+03 1.062905672842741751e+03 8.109999999999999432e+01 1.754776375000000000e+06 1.342195529044257455e+03 1.951508860836866916e+03
1.600000000000000000e+01 1.553831502772231090e+02 5.900463948453159801e+00 2.491691543629082517e+00 1.432867759196024338e+02 8.980407444596778532e+01 2.273445833993437475e+02 2.257996092295681137e+03 2.050256457442558713e+03 8.109999999999999432e+01 2.504917000000000000e+06 3.857161584623901831e+02 2.224245495166275759e+03
1.700000000000000000e+01 1.553104121066233745e+02 5.888630895175741564e+00 5.239890839020641344e+00 1.490173509006878305e+02 9.005630722990458992e+01 2.274521523364786049e+02 2.247691447762443659e+03 6.378060499213811454e+02 8.109999999999999432e+01 1.775506500000000000e+06 1.778742581746052338e+03 1.996424889561694272e+03
1.800000000000000000e+01 1.553109902493957861e+02 5.973998251417322436e+00 2.103641830551095548e+00 1.423123246628463505e+02 8.949212304991921485e+01 2.254767739181463924e+02 3.870402608181322194e+03 9.037984319466661418e+02 8.109999999999999432e+01 3.256453250000000000e+06 1.767559857076411845e+03 3.640005599125982826e+03
1.900000000000000000e+01 1.553429040658461986e+02 5.987208646445150606e+00 2.056726981674267041e+00 1.419974936105868153e+02 9.006925533550118246e+01 2.294784675102537221e+02 4.027060750814823223e+03 1.546595825472580145e+03 8.109999999999999432e+01 3.632823500000000000e+06 1.156457952265062886e+03 3.894322281096962342e+03
2.000000000000000000e+01 1.553069942788414721e+02 5.886926685752658095e+00 5.129382292510037189e+00 1.498612499730954539e+02 8.998894299773873229e+01 2.255648129178313468e+02 2.225995677677866297e+03 5.680275170108754992e+02 8.109999999999999432e+01 1.606853750000000000e+06 1.844201396318606839e+03 1.963618141834677544e+03
2.100000000000000000e+01 1.553126931543096418e+02 5.880661893269588880e+00 4.746365584779526969e+00 1.481913903536533326e+02 8.995043395485961923e+01 2.260901049420880327e+02 2.089954231628003072e+03 6.580850756414452007e+02 8.109999999999999432e+01 1.569993375000000000e+06 1.735067038036553186e+03 1.842994040162461715e+03
2.200000000000000000e+01 1.553875234548972060e+02 5.887257951241932297e+00 4.391368792641713981e+00 1.480876892014201474e+02 8.986133587517407761e+01 2.263629721965296255e+02 1.993910020089577074e+03 2.093862280074153205e+03 8.109999999999999432e+01 1.625458125000000000e+06 3.019467132409423584e+02 1.969994894768986569e+03
2.300000000000000000e+01 1.553121558917720506e+02 5.985979695976839210e+00 5.066926287764688119e+00 1.479462517783331919e+02 9.014918180640762557e+01 2.269397795461262319e+02 4.094180665426236374e+03 9.610151519700127665e+02 8.109999999999999432e+01 1.884750750000000000e+06 1.745224613634810339e+03 3.870682888656367140e+03
2.400000000000000000e+01 1.553201550279253240e+02 5.858713424413376281e+00 2.001645685507820627e+00 1.419158146069067925e+02 8.946807708697389216e+01 2.247214726013447432e+02 1.650052160837704832e+03 7.336081868551622165e+02 8.109999999999999432e+01 4.687398500000000000e+06 1.592180541248533700e+03 1.420409350551499301e+03
2.500000000000000000e+01 1.553100416916671520e+02 5.998654145160210227e+00 5.117885462648774642e+00 1.493211481401197318e+02 9.002899417970985496e+01 2.298895426378565787e+02 4.341964591886780909e+03 9.589903516124471707e+02 8.109999999999999432e+01 1.787869500000000000e+06 1.785690533694749774e+03 4.114706687988428712e+03
2.600000000000000000e+01 1.553142436462306364e+02 6.001456505949954057e+00 3.359567077074613550e+00 1.460641980830766897e+02 8.955109042026150235e+01 2.257140195836622922e+02 4.383005056432247329e+03 1.046101128169495496e+03 8.109999999999999432e+01 2.201016500000000000e+06 1.705230006271887760e+03 4.168655302055547509e+03
2.700000000000000000e+01 1.553367798319267479e+02 6.007184937686060877e+00 5.283480270837809023e+00 1.480781838137247917e+02 9.034736389633398801e+01 2.291997566149454428e+02 4.425431593732031615e+03 1.490449111007094189e+03 8.109999999999999432e+01 1.947825875000000000e+06 1.273716912693802897e+03 4.278927277078451880e+03
2.800000000000000000e+01 1.553300080983025566e+02 6.007851527023195359e+00 5.457388052450670379e+00 1.505281989263077946e+02 9.047127918277499248e+01 2.235373069339518963e+02 4.458077360992186186e+03 1.363918001390536574e+03 8.109999999999999432e+01 2.181153000000000000e+06 1.403376668907221529e+03 4.291764493922327347e+03
2.900000000000000000e+01 1.553787969402236513e+02 5.852454126644171417e+00 2.224891867313440574e+00 1.417191022994060177e+02 9.048803164201319760e+01 2.311779888355186188e+02 1.357376159617902431e+03 1.824372377119792645e+03 8.109999999999999432e+01 1.864239400000000000e+07 4.690343485874190037e+02 1.299901724960075853e+03
3.000000000000000000e+01 1.553209511243104259e+02 5.840076491260479230e+00 5.125536685573437445e+00 1.497114302938097978e+02 9.000914311651710875e+01 2.220920262739322197e+02 1.293015103503288174e+03 6.930494218118338949e+02 8.109999999999999432e+01 1.639319125000000000e+06 1.576950866829068900e+03 1.061588600734802185e+03
3.100000000000000000e+01 1.553440576304844285e+02 5.833788374228647378e+00 4.812623994538279604e+00 1.497193083044396928e+02 8.990090978438118441e+01 2.259180739714872175e+02 1.104898746364864564e+03 1.111011369059181561e+03 8.109999999999999432e+01 1.693816000000000000e+06 1.134389083079857073e+03 9.405103507720540392e+02
3.200000000000000000e+01 1.553810942632392482e+02 5.829432662118474440e+00 4.868613903310162527e+00 1.489014906545116332e+02 8.997881465806055701e+01 2.267103530586183524e+02 9.127412918450299912e+02 1.798945938151931159e+03 8.109999999999999432e+01 1.641149000000000000e+06 4.250072062334648990e+02 8.566676776537026399e+02
3.300000000000000000e+01 1.553778274495389553e+02 5.819683598839852756e+00 4.703209071957578757e+00 1.479805734890182407e+02 8.994843659108313716e+01 2.262172684855085834e+02 7.367918369538647312e+02 1.708939936700504632e+03 8.109999999999999432e+01 1.563676750000000000e+06 4.875678777681560518e+02 6.689632541022848500e+02
