# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 2.020198259158236169e+02 -9.900955928447139343e+00 1.668912276088432067e+00 7.337385188415183279e+01 9.070319408031824082e+01 1.486096641361837953e+02 2.529509869524918940e+03 6.565598693268134411e+02 -1.819999999999999929e+01 1.559375159026916837e+06 1.228538533401027507e+03 2.864385817379590549e+02
1.000000000000000000e+00 2.019894550636632573e+02 -9.972061760807571673e+00 1.038154561402198084e+01 8.000776482212179985e+01 8.999074664642374444e+01 1.465232948299744749e+02 1.530098048450733813e+03 1.779552387881890127e+03 -1.819999999999999929e+01 7.731516932865636190e+05 6.296903251616538455e+02 1.665668302542477704e+03
2.000000000000000000e+00 2.020352267982183037e+02 -9.978133391574811384e+00 1.768888700397399871e+00 7.351729830826688783e+01 9.076746053335359932e+01 1.486871763110363815e+02 2.332816560919407038e+03 2.168393503387388591e+03 -1.819999999999999929e+01 9.732195380831776420e+05 1.514832383286016920e+03 1.784526177090592000e+03
3.000000000000000000e+00 2.020560037022199253e+02 -9.980175725141572585e+00 8.602642688693350692e+00 8.000792791645912416e+01 9.004382711726997002e+01 1.463622728427108370e+02 2.703045530410990068e+03 2.332249790279356603e+03 -1.819999999999999929e+01 5.981225076443383005e+05 1.916724085377493111e+03 1.824668368238705625e+03
4.000000000000000000e+00 2.020303333891530144e+02 -9.981805181528509152e+00 4.701362696727455770e+00 8.001659075393600062e+01 9.058978453571332068e+01 1.485162605807498437e+02 2.221127798890218855e+03 2.206400845708365068e+03 -1.819999999999999929e+01 4.939362408153489232e+05 1.419538015193129013e+03 1.855665738971511018e+03
5.000000000000000000e+00 2.020085145345767899e+02 -9.983639279065798178e+00 7.161454858856512118e+00 8.000818316922067197e+01 9.007594300326334746e+01 1.468956125698882431e+02 1.808056036234903104e+03 2.108019245599271471e+03 -1.819999999999999929e+01 5.062743982288335683e+05 9.968860336871820209e+02 1.890757789180178406e+03
6.000000000000000000e+00 2.019695791843909660e+02 -9.984985216393326368e+00 1.884738887536682173e+00 7.378046168026342855e+01 9.061965851931535099e+01 1.484218855035508398e+02 1.082680207882074455e+03 1.896676946376685237e+03 -1.819999999999999929e+01 5.947682865920236800e+05 2.429799072771079409e+02 1.916051740802051654e+03
7.000000000000000000e+00 2.019752330861109613e+02 -9.991678240038341485e+00 8.271391433156537687e+00 8.000809186765805237e+01 8.989638301922302333e+01 1.468119713914177282e+02 1.145091358854228019e+03 2.053969514403491758e+03 -1.819999999999999929e+01 6.075026086514941417e+05 3.514171868774285485e+02 2.046051276098740345e+03
8.000000000000000000e+00 2.020394993335778224e+02 -1.000230726976731255e+01 5.114670692508497929e+00 8.000841861520170539e+01 9.095957159460277808e+01 1.490019468721522742e+02 2.261040150731961148e+03 2.639559215924269211e+03 -1.819999999999999929e+01 5.593494622952344362e+05 1.593804022684971414e+03 2.253752639876401190e+03
9.000000000000000000e+00 2.020252323114700914e+02 -1.001485850514666431e+01 8.632563985114920513e+00 8.000799607255865453e+01 8.987795324895999727e+01 1.458047814290594033e+02 1.921043368733075567e+03 2.783777559809922877e+03 -1.819999999999999929e+01 6.049416876662994036e+05 1.315707993103646913e+03 2.496984932270367153e+03
1.000000000000000000e+01 2.020275165967248938e+02 -1.001999417534348602e+01 1.700819071565132790e+00 7.330499021921160363e+01 9.096837861094284960e+01 1.490189241038952730e+02 1.932394167680641885e+03 2.892157267927967951e+03 -1.819999999999999929e+01 9.372055917927798582e+05 1.359132570086023406e+03 2.596702144638330083e+03
1.100000000000000000e+01 2.019774204217532372e+02 -1.002138504190053148e+01 9.931418307718644201e+00 8.000794189515561072e+01 8.986760359660517850e+01 1.457618724180598520e+02 1.001057225216109373e+03 2.613858969741600959e+03 -1.819999999999999929e+01 7.231540090250988724e+05 3.892758033837715743e+02 2.622586916152838512e+03
1.200000000000000000e+01 2.020152081990648583e+02 -1.002534189305976398e+01 5.832991108088667609e+00 8.002492799705305515e+01 9.088204624223688199e+01 1.490884937901709861e+02 1.671987812241922938e+03 2.915478339538222372e+03 -1.819999999999999929e+01 5.684985652753092581e+05 1.120074402016748309e+03 2.700195228485858934e+03
1.300000000000000000e+01 2.019784842338101782e+02 -1.002732103319772428e+01 7.834211585171006575e+00 8.000806851126573349e+01 9.031087450641531689e+01 1.460429930327005366e+02 9.842210910210845896e+02 2.729224917712723254e+03 -1.819999999999999929e+01 5.751020057364341337e+05 4.089703858304451956e+02 2.737802749518824385e+03
1.400000000000000000e+01 2.020606641550435540e+02 -1.003940189899029534e+01 1.884407849419883929e+00 7.383026916932367101e+01 9.058367654310184491e+01 1.477213075162292171e+02 2.420548840363247109e+03 3.450105771409418594e+03 -1.819999999999999929e+01 6.335514055589330383e+05 1.997709491617559706e+03 2.974145478502306560e+03
1.500000000000000000e+01 2.020311060308823414e+02 -1.004314390355148134e+01 1.822444704265883120e+00 7.378158300393715763e+01 9.033006444382306199e+01 1.468682035987617098e+02 1.854157175121283672e+03 3.339518670929950531e+03 -1.819999999999999929e+01 7.160175487971020630e+05 1.425041290750163398e+03 3.046034179992601821e+03
1.600000000000000000e+01 2.020237508711327052e+02 -1.007353940728325448e+01 3.000000000000000000e+00 8.000000000000000000e+01 9.000000000000000000e+01 1.507040080839574898e+02 1.530000000000000000e+03 3.853000000000000000e+03 -1.819999999999999929e+01 0.000000000000000000e+00 1.278015053115030923e+03 3.635718826658850048e+03
1.700000000000000000e+01 2.020438775415912289e+02 -1.007623468236075226e+01 1.650914390103596308e+00 7.306254113720473242e+01 9.106471462300613950e+01 1.486320111272581812e+02 1.882384368214988172e+03 4.025248258917372368e+03 -1.819999999999999929e+01 1.171621884087066166e+06 1.667102207443875159e+03 3.688508349134431228e+03
1.800000000000000000e+01 2.019968013221814829e+02 -1.012043075339591702e+01 1.553865679323356730e+00 7.313758505986740488e+01 8.989784448818772944e+01 1.453725338908660092e+02 7.427456923762605356e+02 4.552382551645847343e+03 -1.819999999999999929e+01 2.348942100353416521e+06 7.493434723635181172e+02 4.545080295249432311e+03
