# jd flux flux_err mag mag_err
2.457481059113421477e+06 1.265013121603260879e+04 1.009821428987209799e+02 -1.025523757585535201e+01 8.667131586105651653e-03
2.457481059147561900e+06 1.362080294384058107e+04 1.038859247318508778e+02 -1.033550677477905211e+01 8.280943816852263592e-03
2.457481059181702323e+06 1.362884543421648596e+04 1.039302999928506779e+02 -1.033614766548780217e+01 8.279592314616697826e-03
2.457481059215843212e+06 1.333040208616394739e+04 1.030459361897893302e+02 -1.031210812319118020e+01 8.392927237718271830e-03
2.457481059249983635e+06 1.297462609261775287e+04 1.019807039760838308e+02 -1.028273712762056924e+01 8.533928357133376344e-03
2.457481059284124058e+06 1.584538970504982899e+04 1.101288203738616431e+02 -1.049975731198264128e+01 7.546123361965019656e-03
2.457481059318264481e+06 1.560084364526720674e+04 1.094228679080829068e+02 -1.048287021072227887e+01 7.615279487693826267e-03
2.457481059352405369e+06 1.535413109148550393e+04 1.088004745062458340e+02 -1.046556311058487232e+01 7.693631537112428573e-03
2.457481059386545792e+06 1.409267571331521503e+04 1.051036314468755677e+02 -1.037248364622346131e+01 8.097484049768555875e-03
2.457481059420686215e+06 1.395140013303894739e+04 1.048102806784043963e+02 -1.036154448668343342e+01 8.156651881432573636e-03
2.457481059454826638e+06 1.432570012454709831e+04 1.058830858345855290e+02 -1.039028963991398413e+01 8.024843506046609384e-03
2.457481059488967527e+06 1.395116861129983590e+04 1.047918897564472474e+02 -1.036152646887749995e+01 8.155355981577832453e-03
2.457481059523107950e+06 1.505285337126356899e+04 1.079144139915968736e+02 -1.044404707805346533e+01 7.783706713765798681e-03
2.457481059557248373e+06 1.404022117583787622e+04 1.050273454494142698e+02 -1.036843487323968915e+01 8.121837157700042067e-03
2.457481059591388796e+06 1.489379952728712124e+04 1.074642389298156360e+02 -1.043251375969913397e+01 7.834013245706063916e-03
2.457481059625529684e+06 1.392230088315218927e+04 1.046674495279896462e+02 -1.035927753830848985e+01 8.162561461952079489e-03
2.457481059659670107e+06 1.538540965240037985e+04 1.086722689762770102e+02 -1.046777266068983536e+01 7.668942978056786375e-03
2.457481059693810530e+06 1.593591638360504840e+04 1.100909555309593628e+02 -1.050594260581241990e+01 7.500676533491167433e-03
2.457481059727950953e+06 1.423776572407157255e+04 1.055400480476419460e+02 -1.038360460635636251e+01 8.048246753597918662e-03
2.457481059762091842e+06 1.472075214277625128e+04 1.068481358285574032e+02 -1.041982500107574694e+01 7.880663560484295685e-03
2.457481059796232264e+06 1.561290360903534383e+04 1.093851606392047415e+02 -1.048370919617545205e+01 7.606774965527893055e-03
2.457481059830372687e+06 1.540879869791664896e+04 1.088006688007384355e+02 -1.046942195383652141e+01 7.666349626573123500e-03
2.457481059864513110e+06 1.549143081125451135e+04 1.089843155970139748e+02 -1.047522882921647636e+01 7.638328070402398973e-03
2.457481059898653999e+06 1.469096993036689491e+04 1.067682811634997364e+02 -1.041762617455059470e+01 7.890737925400077846e-03
2.457481059932794422e+06 1.513369715240034566e+04 1.079578246444778671e+02 -1.044986259711352972e+01 7.745240792723550455e-03
2.457481059966934845e+06 1.552858132076537731e+04 1.090388939997277760e+02 -1.047782945182837366e+01 7.623870225218313222e-03
2.457481060001075268e+06 1.504336914062504729e+04 1.077352819100033798e+02 -1.044336278135042662e+01 7.775685345982734711e-03
2.457481060035216156e+06 1.434039010699726532e+04 1.057419182195071130e+02 -1.039140241441938173e+01 8.005934945356053128e-03
2.457481060069356579e+06 1.527940827105976496e+04 1.084658218089953579e+02 -1.046026633887312762e+01 7.707476577738602182e-03
2.457481060103497002e+06 1.448817442255432616e+04 1.062953728629476871e+02 -1.040253416447857404e+01 7.965747427264179351e-03
