# jd flux flux_err mag mag_err
2.457481061619327869e+06 1.579386496860939815e+02 5.588823735830932549e+01 -5.496221051610853614e+00 3.842004154778680403e-01
2.457481061671352945e+06 2.417934640466538951e+02 5.860287664362658688e+01 -5.958611393019531910e+00 2.631480860656111309e-01
2.457481061723377556e+06 2.958267927836860167e+02 5.531693514753354179e+01 -6.177593762819900469e+00 2.030235618685150845e-01
2.457481061775402632e+06 2.643493176876228858e+02 6.091595404450553985e+01 -6.055445484461273509e+00 2.501950393624114977e-01
2.457481061827427242e+06 2.802439474829326400e+02 5.995910470519388724e+01 -6.118840604432924657e+00 2.322976068790278403e-01
2.457481061879452318e+06 2.291367759159552122e+02 5.919106636202016603e+01 -5.900236995077349000e+00 2.804705099607051610e-01
2.457481061931477394e+06 1.644984391881255874e+02 5.749637997511658938e+01 -5.540404453964220544e+00 3.794936894373241443e-01
2.457481061983502004e+06 1.891862660526139166e+02 5.766653538797594791e+01 -5.692224014175295110e+00 3.309482524208629539e-01
2.457481062035527080e+06 1.961116914717786699e+02 5.916565969618505250e+01 -5.731258713775827296e+00 3.275609061165032920e-01
2.457481062087551691e+06 1.477696985769892990e+02 5.857653923692615194e+01 -5.423963468604847904e+00 4.303919702317360874e-01
2.457481062139576767e+06 1.744435151381099729e+02 5.989567145257340286e+01 -5.604137073438796079e+00 3.727918820681340173e-01
2.457481062191601843e+06 2.696472614867294624e+02 6.613124938729674795e+01 -6.076990034977463040e+00 2.662787758862413812e-01
2.457481062243626453e+06 3.053686197836798328e+02 6.506114375796464344e+01 -6.212061015371761030e+00 2.313252955520211929e-01
2.457481062295651529e+06 2.004914146017573557e+02 6.042759622641610662e+01 -5.755239450234479470e+00 3.272392409280449055e-01
2.457481062347676139e+06 3.278033497140801273e+02 5.840538243551056041e+01 -6.289033467922290122e+00 1.934484805626360826e-01
2.457481062399701215e+06 3.381608119732825344e+02 5.634343949627188408e+01 -6.322808194066044329e+00 1.809030610073041334e-01
2.457481062451726291e+06 1.934006116669262383e+02 5.853852195648701695e+01 -5.716144608224110968e+00 3.286319225220181162e-01
2.457481062503750902e+06 2.185500627535644469e+02 5.675255901922170665e+01 -5.848877338818042837e+00 2.819423735375926054e-01
2.457481062555775978e+06 2.292460536313078023e+02 5.976299188231707404e+01 -5.900754670550911740e+00 2.830455302435156417e-01
2.457481062607800588e+06 2.226634751626136790e+02 5.993654291392491729e+01 -5.869122457310376184e+00 2.922594379515520147e-01
2.457481062659825664e+06 2.544259683868904744e+02 5.737278742990775982e+01 -6.013903590471220362e+00 2.448332244506755961e-01
