# jd flux flux_err
2.457481061792099848e+06 1.217627123235887120e+04 1.381876526888647732e+02
2.457481061815265100e+06 1.231109384450604921e+04 1.385974806643736770e+02
2.457481061838429887e+06 1.214638949092742041e+04 1.386131633795572213e+02
2.457481061861595139e+06 1.210162040070564581e+04 1.383086236307000547e+02
2.457481061884760391e+06 1.250471953755040340e+04 1.393878693119452805e+02
2.457481061907925643e+06 1.241181376008064581e+04 1.388466255265705342e+02
2.457481061931090429e+06 1.225069691910282381e+04 1.385427971977235302e+02
2.457481061954255681e+06 1.240158987525201701e+04 1.388347611103781105e+02
2.457481061977420934e+06 1.240929211819556258e+04 1.385928454018944365e+02
2.457481062000586186e+06 1.248836614793346780e+04 1.391917772620503797e+02
2.457481062023750972e+06 1.228238337953628979e+04 1.386866615460949959e+02
2.457481062046916224e+06 1.225605849924395079e+04 1.387288813360747213e+02
2.457481062070081476e+06 1.235740039062500000e+04 1.388712586327340262e+02
2.457481062093246728e+06 1.206045520413306440e+04 1.383174909681776228e+02
2.457481062116411515e+06 1.205442178049395079e+04 1.381940275175332999e+02
2.457481062139576767e+06 1.242016428301411179e+04 1.390625106182972672e+02
2.457481062162742019e+06 1.239839374369959660e+04 1.386610684022546423e+02
2.457481062185906805e+06 1.239416321194556440e+04 1.387137861361199782e+02
2.457481062209072057e+06 1.243586334425403220e+04 1.389519513291860164e+02
2.457481062232237309e+06 1.239847930317540340e+04 1.388466122903743951e+02
2.457481062255402561e+06 1.252024858240927279e+04 1.389084542491649756e+02
2.457481062278567348e+06 1.230251238029233900e+04 1.386983833506566555e+02
2.457481062301732600e+06 1.234253912550403220e+04 1.383976016690388633e+02
2.457481062324897852e+06 1.227613353704637120e+04 1.388352039718558046e+02
2.457481062348063104e+06 1.247299599924395079e+04 1.387929831392033577e+02
2.457481062371227890e+06 1.254130497101814581e+04 1.387562664718194299e+02
2.457481062394393142e+06 1.243016122731854921e+04 1.384882955209970135e+02
2.457481062417558394e+06 1.246329057459677279e+04 1.386046986956163209e+02
2.457481062440723646e+06 1.236936016255040340e+04 1.385224489048232215e+02
2.457481062463888433e+06 1.230004665448588639e+04 1.385446452750805690e+02
2.457481062487053685e+06 1.197975544984878979e+04 1.375737961551375861e+02
