# jd flux flux_err mag mag_err
2.457482915255352855e+06 6.091666097414410615e+03 6.786354095977542045e+01 -9.461840225816031236e+00 1.209556790923598489e-02
2.457482915267084260e+06 6.387341307366141336e+03 6.916526977860914371e+01 -9.513300308222346402e+00 1.175692614434489455e-02
2.457482915278816130e+06 6.802241361472981225e+03 7.098760942270752139e+01 -9.581630094460795277e+00 1.133068983572799344e-02
2.457482915290547535e+06 6.833686686249067861e+03 7.115101657940270741e+01 -9.586637658006292639e+00 1.130451369629928947e-02
2.457482915302279405e+06 6.129735257573731360e+03 6.805963908230766890e+01 -9.468604294510669206e+00 1.205518173821977339e-02
2.457482915314010810e+06 6.512705161525642325e+03 6.978498583547707312e+01 -9.534403543884138799e+00 1.163392916489123900e-02
2.457482915325742681e+06 6.809842264286912723e+03 7.106430591481633030e+01 -9.582842631271258682e+00 1.133027117362051667e-02
2.457482915337474085e+06 6.665621216587563140e+03 7.045145208299541650e+01 -9.559601576559161984e+00 1.147559351171040243e-02
2.457482915349205956e+06 6.661502468797258189e+03 7.042533150796690222e+01 -9.558930482954547614e+00 1.147843144840349737e-02
2.457482915360937361e+06 6.355806719268669440e+03 6.909874525831325798e+01 -9.507926704491522329e+00 1.180389445281834759e-02
2.457482915372669231e+06 6.690866442648584780e+03 7.051998266647612468e+01 -9.563705902377684254e+00 1.144341568264676395e-02
2.457482915384400636e+06 6.978128411753977161e+03 7.178583763464094147e+01 -9.609347392718261105e+00 1.116929221625550042e-02
2.457482915396132506e+06 6.774237332922499263e+03 7.090483613259091555e+01 -9.577151019807933707e+00 1.136426331100909466e-02
2.457482915407863911e+06 6.425368953491446518e+03 6.936067725772547021e+01 -9.519745176259258201e+00 1.172036380648333424e-02
2.457482915419595782e+06 6.513507451583120201e+03 6.978319271941273882e+01 -9.534537285807303419e+00 1.163219728024722163e-02
2.457482915431327187e+06 6.761336034020707302e+03 7.090742141168384194e+01 -9.575081301567243131e+00 1.138636259699998474e-02
2.457482915443058591e+06 6.458424681466301081e+03 6.978781344894341032e+01 -9.525316497937495797e+00 1.173218304945113956e-02
2.457482915454790462e+06 6.310200447125673236e+03 6.891186561341318395e+01 -9.500107887689548392e+00 1.185705107120460337e-02
2.457482915466521867e+06 6.325510092782658830e+03 6.895011342537951293e+01 -9.502738882543889432e+00 1.183491845754671909e-02
2.457482915478253737e+06 6.374154461834878020e+03 6.916917401554344735e+01 -9.511056458288967619e+00 1.178191389074336425e-02
2.457482915489985142e+06 6.508709863802978361e+03 6.977035138044381313e+01 -9.533737281498066096e+00 1.163862929719555912e-02
2.457482915501717012e+06 6.592556639781016202e+03 7.013883118007599649e+01 -9.547634674278462796e+00 1.155129014833693700e-02
2.457482915513448417e+06 6.389169544078501531e+03 6.924045434331951299e+01 -9.513611031991317191e+00 1.176633839187912409e-02
2.457482915525180288e+06 6.972036866078349703e+03 7.181629423448350735e+01 -9.608399187163472632e+00 1.118379388977715563e-02
2.457482915536911692e+06 6.967504305222754738e+03 7.182284511724229503e+01 -9.607693114340250418e+00 1.119209008584911777e-02
2.457482915548643563e+06 6.370739361238506717e+03 6.924049847877287789e+01 -9.510474594132139359e+00 1.180038525445624258e-02
2.457482915560374968e+06 6.314777030633122195e+03 6.892594384927019746e+01 -9.500895051489965937e+00 1.185087833060093944e-02
2.457482915572106838e+06 6.559377776236462523e+03 7.001265270840603705e+01 -9.542156610190842159e+00 1.158883359745133818e-02
2.457482915583838243e+06 6.607429006177320844e+03 7.020779335940765975e+01 -9.550081263829810041e+00 1.153662180717762546e-02
2.457482915595570114e+06 6.423509364734120027e+03 6.939500180576855826e+01 -9.519430904024144269e+00 1.172955856097110394e-02
2.457482915607301518e+06 6.667937663271915881e+03 7.049605938330012123e+01 -9.559978827686119729e+00 1.147887028644871410e-02
2.457482915619032923e+06 6.677614825121037939e+03 7.051609140031490597e+01 -9.561553411702712779e+00 1.146549225764757068e-02
2.457482915630764794e+06 7.015145985275445128e+03 7.196338668749311296e+01 -9.615091782830004874e+00 1.113783342870959710e-02
