# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 1.849589963175077685e+02 2.831912806964325569e+01 9.920811081236908802e-01 2.247372520391902526e+02 8.995253073620465045e+01 2.287374634362934103e+02 2.576338500532956914e+03 7.506795355587960330e+02 -2.850000000000000000e+01 1.168523620438224170e+05 6.742408271615319109e+02 4.876765094615741418e+02
1.000000000000000000e+00 1.849377018995571120e+02 2.830484767264978885e+01 1.640320359338154566e+00 2.203577519391543831e+02 9.001837656871013849e+01 2.288277924898939659e+02 3.027096659692721914e+03 6.833357029566574283e+02 -2.850000000000000000e+01 1.709591099901780952e+06 1.037604055569492175e+03 2.135124360394519272e+02
2.000000000000000000e+00 1.849797134698785328e+02 2.833081984169854195e+01 1.615814353224313660e+00 2.200583393227589397e+02 8.994042331168022031e+01 2.286093956465147983e+02 2.158518660431182070e+03 7.791461216581183180e+02 -2.850000000000000000e+01 1.586017091383062303e+06 3.211548314767175611e+02 7.119783989522143202e+02
3.000000000000000000e+00 1.849148701911453543e+02 2.838757428958659546e+01 1.788739731626254770e+00 2.205959671278160954e+02 9.003737518496667747e+01 2.287147589391162512e+02 2.592850321123172762e+03 2.265756111504171713e+03 -2.850000000000000000e+01 4.131234741221950855e+06 1.411464424607576348e+03 1.811824830118194768e+03
4.000000000000000000e+00 1.849709338085559125e+02 2.838858766069797568e+01 3.466030677276101812e+00 2.247799473959060492e+02 8.976576081897741233e+01 2.286087524307304761e+02 1.749331814791673196e+03 1.826697583973872270e+03 -2.850000000000000000e+01 4.202317837341688573e+05 4.612068822836790787e+02 1.827500159643508823e+03
5.000000000000000000e+00 1.849377616517593879e+02 2.842731233080508702e+01 1.910602075343889705e+00 2.208506974383890054e+02 9.020752776008599483e+01 2.261543759015304715e+02 1.879997386452775118e+03 2.750903471571375121e+03 -2.850000000000000000e+01 6.750622136010192335e+07 1.017249630677619962e+03 2.577151121446832803e+03
6.000000000000000000e+00 1.849634760012493757e+02 2.842510661066778610e+01 3.863653142748279201e+00 2.210773051155394455e+02 8.971684899727114271e+01 2.281439610500139565e+02 1.519083524218327511e+03 2.504246667447436266e+03 -2.850000000000000000e+01 5.607224149353182875e+05 5.819753959114915460e+02 2.532826039139793011e+03
7.000000000000000000e+00 1.849639574545046798e+02 2.842569938948335562e+01 3.787142337383334390e+00 2.249331380570899910e+02 9.021463977342949647e+01 2.294702238988183183e+02 1.505784141265096196e+03 2.509957836341688562e+03 -2.850000000000000000e+01 5.434484557918249629e+05 5.737280557143362785e+02 2.544235021568174943e+03
8.000000000000000000e+00 1.849372686155846850e+02 2.842698122400699390e+01 1.930801558038101495e+00 2.209278719400552689e+02 8.975948994715371043e+01 2.249224551616655958e+02 1.890385035699238642e+03 2.748733995075717758e+03 -2.850000000000000000e+01 6.851146089619696140e+07 1.025654224126964891e+03 2.570795126692300528e+03
9.000000000000000000e+00 1.849595955997478995e+02 2.846708837245732227e+01 7.561641216354138884e+00 2.249933769670715549e+02 8.978571472763950112e+01 2.190303092099783555e+02 1.184129851720744227e+03 3.244625125510423459e+03 -2.850000000000000000e+01 6.737157650205720663e+08 6.412296417055856637e+02 3.343352616159414083e+03
1.000000000000000000e+01 1.849526040480783138e+02 2.847245589506949770e+01 3.382637872033584792e+00 2.249999585158901709e+02 9.010015032371410371e+01 2.292586997754589788e+02 1.236909641375369574e+03 3.391911934265953278e+03 -2.850000000000000000e+01 2.171693495485616103e+07 7.587903042257285051e+02 3.447419740465156792e+03
1.100000000000000000e+01 1.849616017929629948e+02 2.846095068581945497e+01 7.777095481303784474e+00 2.249705835659623858e+02 8.983851223978820144e+01 2.227372076902374545e+02 1.211478577057064058e+03 3.124312721635912112e+03 -2.850000000000000000e+01 4.894411153187856674e+08 6.082024171563971322e+02 3.224758445069674508e+03
1.200000000000000000e+01 1.849544910022689521e+02 2.845802835326946933e+01 6.177991766664397311e+00 2.249999605349840124e+02 8.978224068597339169e+01 2.292044419258322705e+02 1.344436056396642698e+03 3.133070016102790305e+03 -2.850000000000000000e+01 4.003113683334807865e+05 7.290778549880676564e+02 3.168833640017112884e+03
1.300000000000000000e+01 1.849535743298202135e+02 2.846078008016259631e+01 8.321513242943909816e+00 2.250999342520067614e+02 8.964866272760222898e+01 2.293656878794540717e+02 1.333043952042427463e+03 3.187527581630991790e+03 -2.850000000000000000e+01 1.106166233479393646e+06 7.441746111385824634e+02 3.222005326428433364e+03
1.400000000000000000e+01 1.849584708127024442e+02 2.846596238451877525e+01 8.130565755500770209e+00 2.249999289056022178e+02 8.943805446777253110e+01 2.211373792772354534e+02 1.211497819959956814e+03 3.234404588462224183e+03 -2.850000000000000000e+01 6.736941416597141027e+08 6.604509660274626413e+02 3.321695923852073520e+03
1.500000000000000000e+01 1.849003659113458582e+02 2.849001438193395330e+01 1.538439285891466390e-01 2.250002539317556511e+02 9.023297922582118247e+01 2.303243259338093480e+02 1.849028361874765096e+03 4.113809866224075449e+03 -2.850000000000000000e+01 0.000000000000000000e+00 1.640473325377684205e+03 3.790048182355717017e+03
1.600000000000000000e+01 1.849092435713716327e+02 2.849791671409986193e+01 3.885260779829236899e+00 2.244607626696713965e+02 8.965697762197318355e+01 2.272760502264918614e+02 1.643669376899501231e+03 4.174911699053819575e+03 -2.850000000000000000e+01 5.429505116546384525e+05 1.488886322993666681e+03 3.941903746598468388e+03
