# jd flux flux_err mag mag_err
2.457482919505123515e+06 5.314291015625000000e+03 5.958607101440429688e+01 -9.313613332759743457e+00 1.217377455486801270e-02
2.457482919515853282e+06 5.348116210937500000e+03 5.978140640258789062e+01 -9.320502089042438598e+00 1.213643489174814731e-02
2.457482919526583049e+06 4.781721191406250000e+03 5.683555221557617188e+01 -9.198960625097775790e+00 1.290510884939150178e-02
2.457482919537312817e+06 4.625072265625000000e+03 5.594546127319335938e+01 -9.162796307183292299e+00 1.313324887358244958e-02
2.457482919548043050e+06 4.581639648437500000e+03 5.571162796020507812e+01 -9.152552321010910319e+00 1.320233531725737222e-02
2.457482919558772817e+06 4.348458984375000000e+03 5.447766113281250000e+01 -9.095838445171450459e+00 1.360219241135172258e-02
2.457482919569502585e+06 4.141977050781250000e+03 5.330057525634765625e+01 -9.043019220732865904e+00 1.397172554780608776e-02
2.457482919580232352e+06 4.858320800781250000e+03 5.721191787719726562e+01 -9.216215471010771765e+00 1.278574846395472489e-02
2.457482919590962119e+06 4.850459960937500000e+03 5.719694519042968750e+01 -9.214457309920797812e+00 1.280311800760730416e-02
2.457482919601691887e+06 4.252149414062500000e+03 5.392953872680664062e+01 -9.071521291417180777e+00 1.377031982545060852e-02
2.457482919612422120e+06 4.267347167968750000e+03 5.400671005249023438e+01 -9.075394940286267698e+00 1.374091281171809995e-02
2.457482919623151887e+06 4.296468750000000000e+03 5.416216278076171875e+01 -9.082779143340024675e+00 1.368706024396994063e-02
2.457482919633881655e+06 4.101339355468750000e+03 5.308555603027343750e+01 -9.032314263568627766e+00 1.405324129724974148e-02
2.457482919644611422e+06 4.018374511718750000e+03 5.256637954711914062e+01 -9.010126026148313372e+00 1.420311142305089210e-02
2.457482919655341189e+06 4.588652832031250000e+03 5.577279281616210938e+01 -9.154213002791578901e+00 1.319662966209064585e-02
2.457482919666070957e+06 4.698382324218750000e+03 5.634761810302734375e+01 -9.179870884947426646e+00 1.302126107614151249e-02
2.457482919676800724e+06 4.304405273437500000e+03 5.424170684814453125e+01 -9.084782886973115978e+00 1.368188798502073880e-02
2.457482919687530957e+06 3.807186523437500000e+03 5.135694503784179688e+01 -8.951510386227718996e+00 1.464606190480011172e-02
2.457482919698260725e+06 3.761068115234375000e+03 5.109521865844726562e+01 -8.938277997078030168e+00 1.475009784627776682e-02
2.457482919708990492e+06 3.969816894531250000e+03 5.229708099365234375e+01 -8.996926189118996220e+00 1.430318682865918713e-02
2.457482919719720259e+06 4.476589355468750000e+03 5.515057373046875000e+01 -9.127368144249082604e+00 1.337607253365081204e-02
2.457482919730450027e+06 5.109604980468750000e+03 5.851089859008789062e+01 -9.270968316171479984e+00 1.243298127311870220e-02
2.457482919741179794e+06 4.900462402343750000e+03 5.744711685180664062e+01 -9.225592653801635734e+00 1.272790759926032723e-02
2.457482919751910027e+06 5.032443847656250000e+03 5.813079071044921875e+01 -9.254447344252405117e+00 1.254160535449541473e-02
2.457482919762639794e+06 5.443217773437500000e+03 6.022321701049804688e+01 -9.339639275031267118e+00 1.201251876345287538e-02
2.457482919773369562e+06 5.045731445312500000e+03 5.818374252319335938e+01 -9.257310329622224998e+00 1.251997203811140713e-02
2.457482919784099329e+06 5.265833496093750000e+03 5.934994506835937500e+01 -9.303667806849674093e+00 1.223711486630212238e-02
2.457482919794829097e+06 5.290388183593750000e+03 5.943624877929687500e+01 -9.308718849184163702e+00 1.219802980616010654e-02
2.457482919805558864e+06 4.879034179687500000e+03 5.733760070800781250e+01 -9.220834651346294208e+00 1.275943645811879190e-02
2.457482919816289097e+06 4.657766601562500000e+03 5.619027328491210938e+01 -9.170444306142268687e+00 1.309812889634586787e-02
2.457482919827018864e+06 4.570727539062500000e+03 5.568956756591796875e+01 -9.149963334448226959e+00 1.322861416968677990e-02
2.457482919837748632e+06 4.482948730468750000e+03 5.518399810791015625e+01 -9.128909430143604453e+00 1.336519280233156720e-02
2.457482919848478399e+06 4.039105468750000000e+03 5.266522216796875000e+01 -9.015712983938904301e+00 1.415678267355231085e-02
2.457482919859208167e+06 3.913411621093750000e+03 5.199995803833007812e+01 -8.981388825839029977e+00 1.442690928197250602e-02
2.457482919869937934e+06 4.158603515625000000e+03 5.340539932250976562e+01 -9.047368790943368211e+00 1.394323311721320201e-02
2.457482919880667701e+06 3.979520996093750000e+03 5.234803390502929688e+01 -8.999577000992815101e+00 1.428220994130609788e-02
2.457482919891397934e+06 3.580912841796875000e+03 4.999530029296875000e+01 -8.884984376400657524e+00 1.515867594053186759e-02
2.457482919902127702e+06 3.666458007812500000e+03 5.051964187622070312e+01 -8.910616788391292786e+00 1.496026842631519721e-02
2.457482919912857469e+06 3.945948730468750000e+03 5.217652511596679688e+01 -8.990378595461262279e+00 1.435653229399160534e-02
2.457482919923587237e+06 4.240235351562500000e+03 5.380155181884765625e+01 -9.068474906250843404e+00 1.377623929536606409e-02
2.457482919934317004e+06 4.222490722656250000e+03 5.374967193603515625e+01 -9.063921760111094628e+00 1.382079266502670399e-02
2.457482919945046771e+06 4.105147949218750000e+03 5.305121612548828125e+01 -9.033322034193730588e+00 1.403112095071980432e-02
2.457482919955777004e+06 4.351695312500000000e+03 5.443142700195312500e+01 -9.096646200679677108e+00 1.358054121651022274e-02
2.457482919966506772e+06 4.376590820312500000e+03 5.459920501708984375e+01 -9.102839862770405688e+00 1.354491276180630997e-02
2.457482919977236539e+06 4.269063964843750000e+03 5.401350021362304688e+01 -9.075831655088199668e+00 1.373711385092481543e-02
2.457482919987966307e+06 4.213869140625000000e+03 5.371640777587890625e+01 -9.061702611766527582e+00 1.384049922583320893e-02
2.457482919998696074e+06 4.630297363281250000e+03 5.602218246459960938e+01 -9.164022207072534343e+00 1.313641859623687451e-02
2.457482920009425841e+06 5.032400390625000000e+03 5.814299774169921875e+01 -9.254437968474487519e+00 1.254434732293474922e-02
2.457482920020155609e+06 5.305279785156250000e+03 5.956903839111328125e+01 -9.311770730699619136e+00 1.219096642626219147e-02
2.457482920030885842e+06 5.680661621093750000e+03 6.142199707031250000e+01 -9.385997301274231930e+00 1.173953379857907778e-02
2.457482920041615609e+06 5.892319824218750000e+03 6.246242523193359375e+01 -9.425715778778382514e+00 1.150955066840951904e-02
2.457482920052345376e+06 5.794785156250000000e+03 6.195766448974609375e+01 -9.407593347433790498e+00 1.160869865391688481e-02
2.457482920063075144e+06 5.408177246093750000e+03 6.005263137817382812e+01 -9.332627291532833880e+00 1.205610338300812899e-02
2.457482920073804911e+06 4.747363769531250000e+03 5.665501403808593750e+01 -9.191131277656536369e+00 1.295721539952374678e-02
2.457482920084534679e+06 4.440770019531250000e+03 5.498956298828125000e+01 -9.118645705826121883e+00 1.344459808913919807e-02
2.457482920095264912e+06 4.387981933593750000e+03 5.471115875244140625e+01 -9.105662077021555945e+00 1.353745170396030047e-02
2.457482920105994679e+06 4.389875976562500000e+03 5.470590209960937500e+01 -9.106130626655762228e+00 1.353031075655588764e-02
2.457482920116724446e+06 4.241490234375000000e+03 5.389717864990234375e+01 -9.068796178543468756e+00 1.379664210307155608e-02
2.457482920127454214e+06 4.048021728515625000e+03 5.276187133789062500e+01 -9.018107087487649665e+00 1.415152339298522861e-02
2.457482920138183981e+06 4.098793945312500000e+03 5.304795074462890625e+01 -9.031640215001369043e+00 1.405200720259240470e-02
2.457482920148913749e+06 4.101901367187500000e+03 5.308107376098632812e+01 -9.032463033181061363e+00 1.405012940737024145e-02
2.457482920159643982e+06 4.069420898437500000e+03 5.289173126220703125e+01 -9.023831527665516106e+00 1.411175440777784167e-02
2.457482920170373749e+06 4.062973632812500000e+03 5.283264541625976562e+01 -9.022110009814802822e+00 1.411835803486177071e-02
2.457482920181103516e+06 3.719630615234375000e+03 5.085907745361328125e+01 -8.926249534025552990e+00 1.484548883115552852e-02
2.457482920191833284e+06 3.859319824218750000e+03 5.165273284912109375e+01 -8.966276925787099117e+00 1.453143059346148104e-02
2.457482920202563051e+06 4.536062988281250000e+03 5.551396179199218750e+01 -9.141697691471957654e+00 1.328767458294836945e-02
2.457482920213292819e+06 4.692792968750000000e+03 5.634063339233398438e+01 -9.178578487324994484e+00 1.303515405574915721e-02
2.457482920224022586e+06 4.719556152343750000e+03 5.651734924316406250e+01 -9.184752894015487001e+00 1.300188932741053703e-02
2.457482920234752819e+06 4.325296386718750000e+03 5.430701828002929688e+01 -9.090039681066352628e+00 1.363219921955213278e-02
2.457482920245482586e+06 4.173583496093750000e+03 5.345693588256835938e+01 -9.051272765888258576e+00 1.390659456542858198e-02
2.457482920256212354e+06 4.229467773437500000e+03 5.381953811645507812e+01 -9.065714300469601028e+00 1.381592872785212742e-02
2.457482920266942121e+06 4.568096679687500000e+03 5.566455841064453125e+01 -9.149338216974992832e+00 1.323028864899322872e-02
2.457482920277671888e+06 4.998354980468750000e+03 5.796103668212890625e+01 -9.247067740612651576e+00 1.259026543996139870e-02
2.457482920288401656e+06 4.977991699218750000e+03 5.784705734252929688e+01 -9.242635420222166331e+00 1.261690814971320844e-02
2.457482920299131889e+06 4.720975097656250000e+03 5.653002166748046875e+01 -9.185079274018722373e+00 1.300089588604716115e-02
2.457482920309861656e+06 4.744928222656250000e+03 5.660148620605468750e+01 -9.190574117914552588e+00 1.295161796967269491e-02
2.457482920320591424e+06 5.020751953125000000e+03 5.805603408813476562e+01 -9.251921914693548743e+00 1.255464500922380197e-02
2.457482920331321191e+06 5.110680175781250000e+03 5.853595352172851562e+01 -9.271196759598336001e+00 1.243568839972775987e-02
