# jd flux flux_err
2.457482922108499799e+06 1.876830016769255235e+04 1.140909445015383312e+02
2.457482922116316855e+06 1.915498523319128799e+04 1.151365362670621835e+02
2.457482922124133911e+06 1.881264708214962229e+04 1.142450903648005323e+02
2.457482922131950967e+06 2.012101785827020285e+04 1.176173005717981965e+02
2.457482922139768023e+06 2.030540562065971608e+04 1.181280089266385431e+02
2.457482922147585079e+06 1.781083151436238040e+04 1.115324127888548844e+02
2.457482922155402135e+06 1.864556544547033991e+04 1.138192535806791170e+02
2.457482922163219191e+06 1.834830633877839864e+04 1.129979444816232501e+02
2.457482922171036247e+06 1.863089324100378144e+04 1.137401390670449643e+02
2.457482922178853303e+06 2.007556801609848117e+04 1.174820850955371725e+02
2.457482922186670359e+06 1.963896531131631491e+04 1.163788054593506445e+02
2.457482922194487415e+06 1.859244956991792060e+04 1.136529219587512216e+02
2.457482922202304471e+06 1.834799593000315144e+04 1.129860131893513397e+02
2.457482922210121527e+06 1.924199640546088631e+04 1.152902285735957406e+02
2.457482922217938583e+06 1.937648443418556781e+04 1.157025904594561609e+02
2.457482922225755639e+06 1.882900313683714194e+04 1.143017219767754824e+02
2.457482922233572695e+06 1.836994101957073144e+04 1.130660206329861523e+02
2.457482922241389751e+06 1.851483802083329647e+04 1.134408642770575710e+02
2.457482922249206807e+06 1.916986768465911518e+04 1.151767064073794984e+02
2.457482922257023863e+06 1.966745710621839316e+04 1.165173145728194299e+02
2.457482922264840920e+06 1.922874224668562965e+04 1.154011934981196532e+02
2.457482922272657976e+06 1.875682596077970084e+04 1.140890142993148544e+02
2.457482922280475032e+06 1.989410429490211391e+04 1.170153445800393399e+02
2.457482922288292088e+06 1.944156444523360915e+04 1.158971468531353395e+02
2.457482922296109144e+06 1.924057862018626474e+04 1.153289670618143248e+02
2.457482922303926200e+06 1.973332473169188233e+04 1.166170565953354412e+02
2.457482922311743256e+06 1.911514908656883563e+04 1.150594485942562812e+02
2.457482922319560312e+06 1.853769918126580524e+04 1.135170734502657695e+02
2.457482922327377368e+06 1.834846250986423547e+04 1.130675017711662917e+02
2.457482922335194424e+06 1.829886462870892865e+04 1.128625599080118320e+02
2.457482922343011480e+06 1.851229288983588776e+04 1.134440856465975571e+02
2.457482922350828536e+06 1.970284483901517888e+04 1.165830933085546945e+02
2.457482922358645592e+06 1.921696876578285082e+04 1.152588508251680111e+02
2.457482922366462648e+06 1.800081908933083105e+04 1.120203985385046792e+02
2.457482922374279704e+06 1.902422235045761045e+04 1.147687078878799269e+02
2.457482922382096760e+06 1.960217473169194272e+04 1.162591854884880007e+02
2.457482922389913816e+06 1.921296976601959250e+04 1.152492486859326419e+02
2.457482922397730872e+06 1.872112582859850954e+04 1.140020820742139591e+02
2.457482922405547928e+06 1.943341017992427442e+04 1.158646240051415504e+02
2.457482922413364984e+06 1.865983325441908892e+04 1.138157744560763405e+02
2.457482922421182040e+06 1.770266165364585686e+04 1.112550981122659550e+02
2.457482922428999096e+06 1.841475295336176714e+04 1.131992204972117975e+02
2.457482922436816152e+06 1.869451280776517888e+04 1.138843861851206896e+02
2.457482922444633208e+06 1.915960765861744949e+04 1.151790331107943075e+02
2.457482922452450264e+06 1.884985241477275486e+04 1.143638861957172139e+02
2.457482922460266855e+06 1.902330403448538345e+04 1.148200281386687180e+02
2.457482922468083911e+06 1.868684032315343211e+04 1.139071756749352602e+02
2.457482922475900967e+06 1.868925708846277848e+04 1.139054618009238879e+02
2.457482922483718023e+06 1.883322403330179077e+04 1.142981689491454205e+02
2.457482922491535079e+06 1.927182500197288391e+04 1.154584231567630184e+02
2.457482922499352135e+06 1.953699508562174015e+04 1.161686544565574195e+02
2.457482922507169191e+06 1.829576158854168898e+04 1.128171882794010088e+02
2.457482922514986247e+06 1.827522745817553005e+04 1.127888114858234019e+02
2.457482922522803303e+06 1.990527471985483135e+04 1.170430192750079073e+02
2.457482922530620359e+06 1.998533828125001310e+04 1.172969154018908426e+02
2.457482922538437415e+06 1.868370241674560748e+04 1.138636932397618011e+02
2.457482922546254471e+06 1.903892705176758318e+04 1.148213621627245402e+02
2.457482922554071527e+06 1.933706918600064819e+04 1.156008070740730318e+02
2.457482922561888583e+06 1.882596966934977172e+04 1.142876103160030254e+02
2.457482922569705639e+06 1.896477554845318446e+04 1.146574199459294761e+02
2.457482922577522695e+06 1.881148612097552177e+04 1.142585819289318039e+02
2.457482922585339751e+06 1.824100715751252937e+04 1.127362558225127600e+02
2.457482922593156807e+06 1.819725455137325116e+04 1.126571880277558790e+02
2.457482922600973863e+06 1.879732704387616832e+04 1.142260637871302151e+02
2.457482922608790919e+06 1.860440024857944809e+04 1.137009992163824990e+02
2.457482922616607975e+06 1.855831956281580278e+04 1.135656129292626986e+02
2.457482922624425031e+06 1.962421276830798888e+04 1.163216362416090419e+02
2.457482922632242087e+06 1.890116563486440282e+04 1.145051376501320846e+02
2.457482922640059143e+06 1.814906347458955861e+04 1.124571505670500642e+02
2.457482922647876199e+06 1.911433632417919944e+04 1.150314076246055777e+02
2.457482922655693255e+06 2.025470201033789635e+04 1.179415419882612781e+02
2.457482922663510311e+06 1.966586118607944809e+04 1.164471887996284636e+02
2.457482922671327367e+06 1.948596098682148295e+04 1.160192640038157634e+02
2.457482922679144423e+06 1.924559514875305831e+04 1.153558897198510067e+02
2.457482922686961479e+06 1.841855669586479780e+04 1.131472792275220058e+02
2.457482922694778536e+06 1.916775305003171161e+04 1.151482726230977818e+02
2.457482922702595592e+06 1.880195207938752719e+04 1.142029856631246361e+02
2.457482922710412648e+06 1.844013244949509317e+04 1.132353691248973178e+02
2.457482922718229704e+06 1.883837754892667363e+04 1.143288894513094505e+02
2.457482922726046760e+06 1.861110611190015698e+04 1.136863279302040866e+02
2.457482922733863816e+06 1.883804983822616850e+04 1.143247847694862855e+02
2.457482922741680872e+06 1.990302357757249410e+04 1.170448021368053588e+02
2.457482922749497928e+06 1.879305045572930612e+04 1.141479451958965257e+02
2.457482922757314984e+06 1.824593191682440374e+04 1.127032766960060002e+02
2.457482922765132040e+06 1.965129607007592494e+04 1.164201648902518968e+02
2.457482922772949096e+06 1.997289689867413472e+04 1.172980880547861062e+02
2.457482922780766152e+06 1.878842109769560557e+04 1.141760411370747761e+02
2.457482922788583208e+06 1.994860498145534439e+04 1.171864128235820317e+02
2.457482922796400264e+06 2.006482047821957894e+04 1.174653731714796692e+02
2.457482922804217320e+06 1.888069774305545798e+04 1.143471263690864390e+02
