# jd flux flux_err mag mag_err
2.457482924216947518e+06 3.737617957072098761e+03 5.370033574023462819e+01 -8.931487269081809899e+00 1.559940132893514013e-02
2.457482924227363896e+06 3.542903994007977872e+03 5.152141099251048928e+01 -8.873398459835563301e+00 1.578898464807860363e-02
2.457482924237780739e+06 3.707578341310433643e+03 5.309750562813758279e+01 -8.922725841152173487e+00 1.554925626745295650e-02
2.457482924248197116e+06 3.714105443505418407e+03 5.442910470765755804e+01 -8.924635573012977829e+00 1.591119504930283216e-02
2.457482924258613959e+06 3.948664400317607488e+03 5.709853733984088819e+01 -8.991125560801430439e+00 1.570003414986910484e-02
2.457482924269030336e+06 4.267605238908025967e+03 5.899157140044385983e+01 -9.075460598991529793e+00 1.500830211481945717e-02
2.457482924279447179e+06 4.312185755764452551e+03 5.828770149781691856e+01 -9.086743651646782993e+00 1.467591903703153317e-02
2.457482924289863557e+06 4.325832234335710382e+03 5.831696227186663606e+01 -9.090174181241808427e+00 1.463696583387720344e-02
2.457482924300280400e+06 4.662095498794700688e+03 5.873339769897932428e+01 -9.171452913509860139e+00 1.367822671890272720e-02
2.457482924310696777e+06 4.795759609853790607e+03 5.752904535785312135e+01 -9.202143514293405602e+00 1.302433624456412684e-02
2.457482924321113154e+06 4.662578937255062556e+03 5.628580463970009617e+01 -9.171565493663356605e+00 1.310685574483495472e-02
2.457482924331529997e+06 4.613764158606981255e+03 5.655647446232518405e+01 -9.160138477395193490e+00 1.330922528152478010e-02
2.457482924341946375e+06 4.495559687475405553e+03 5.670631086941363463e+01 -9.131959420401559058e+00 1.369536036522571269e-02
2.457482924352363218e+06 4.130721432386344532e+03 5.514927958846426037e+01 -9.040064770026376095e+00 1.449571940410113863e-02
2.457482924362779595e+06 4.335360835213038627e+03 5.710328809995356636e+01 -9.092563124899793792e+00 1.430084516104573530e-02
2.457482924373196438e+06 4.103968034159915078e+03 5.495146707867384350e+01 -9.033009923484287995e+00 1.453788269532961704e-02
2.457482924383612815e+06 3.962795216536083899e+03 5.445991935347911550e+01 -8.995004075217076789e+00 1.492111239866992026e-02
2.457482924394029658e+06 4.306612045550086805e+03 5.812200840492490528e+01 -9.085339376953795565e+00 1.465314004096755600e-02
2.457482924404446036e+06 4.254173738268078523e+03 5.823328394712944345e+01 -9.072038055730573092e+00 1.486215881218250559e-02
2.457482924414862879e+06 3.710174557776930214e+03 5.328134992936472258e+01 -8.923485857390652143e+00 1.559217550857524767e-02
2.457482924425279256e+06 3.684175259954323337e+03 5.230805951670272691e+01 -8.915850704613204059e+00 1.541537753564116257e-02
2.457482924435695633e+06 3.877582329686881621e+03 5.631993532017008874e+01 -8.971402569050420439e+00 1.576982804629690343e-02
2.457482924446112476e+06 4.057230899509772371e+03 5.807089641803339219e+01 -9.020574310935366213e+00 1.554012986653871900e-02
2.457482924456528854e+06 3.962969853029731439e+03 5.563084192758152824e+01 -8.995051921491143077e+00 1.524125404796492639e-02
2.457482924466945697e+06 3.837654479688648735e+03 5.494668571379713740e+01 -8.960164676962961039e+00 1.554538452136477317e-02
2.457482924477362074e+06 3.910953569173771029e+03 5.409646109527364644e+01 -8.980706650100655608e+00 1.501799769051993805e-02
2.457482924487778917e+06 4.021296120710147079e+03 5.452673385209399726e+01 -9.010915137280539611e+00 1.472208318797415226e-02
2.457482924498195294e+06 4.117791243692796343e+03 5.537492961086145016e+01 -9.036660814416576315e+00 1.460073435431835306e-02
2.457482924508612137e+06 4.045571115980039849e+03 5.465994466327753543e+01 -9.017449599796794502e+00 1.466949575655407921e-02
2.457482924519028515e+06 4.264165979556735692e+03 5.673565628574743158e+01 -9.074585252360238385e+00 1.444600696853990882e-02
2.457482924529445358e+06 4.164465861642205709e+03 5.511345425579319368e+01 -9.048898265727190804e+00 1.436892120424014541e-02
2.457482924539861735e+06 4.163359974317262640e+03 5.541870153551455758e+01 -9.048609906691403637e+00 1.445234170870289027e-02
2.457482924550278112e+06 4.157404212797848231e+03 5.573946398021639226e+01 -9.047055629495842410e+00 1.455681538869475940e-02
2.457482924560694955e+06 4.011107023732987273e+03 5.470392737598047717e+01 -9.008160624784943948e+00 1.480744386967791128e-02
2.457482924571111333e+06 4.230453918053258349e+03 5.595946576460617905e+01 -9.065967421705554585e+00 1.436191754742537248e-02
2.457482924581528176e+06 4.535393410917425172e+03 5.652653022712770081e+01 -9.141537411941280666e+00 1.353203776789608029e-02
2.457482924591944553e+06 5.354685199783417374e+03 6.492980466584830879e+01 -9.321834859714442700e+00 1.316545856341836025e-02
2.457482924602361396e+06 4.797802956932521738e+03 6.284309136055408374e+01 -9.202606019420226602e+00 1.422135477973686564e-02
2.457482924612777773e+06 4.237560491634571918e+03 5.815005606387327930e+01 -9.067789777140284002e+00 1.489910102650502007e-02
2.457482924623194616e+06 4.145095768545957981e+03 5.519510179854709264e+01 -9.043836422421145826e+00 1.445745362061351402e-02
2.457482924633610994e+06 4.109336823290613211e+03 5.517821136278785588e+01 -9.034429349565822776e+00 1.457879793778016353e-02
2.457482924644027371e+06 4.165101868002155243e+03 5.653985989369520127e+01 -9.049064069081028450e+00 1.473855608492619269e-02
2.457482924654444214e+06 3.649057835114239424e+03 5.209318018504153969e+01 -8.905451866737138289e+00 1.549979529231997229e-02
2.457482924664860591e+06 3.482015873588911745e+03 4.979738628178331084e+01 -8.854576866548599767e+00 1.552750364858519923e-02
2.457482924675277434e+06 3.762846974325154406e+03 5.230329990959923236e+01 -8.938791392492790422e+00 1.509170721831780936e-02
2.457482924685693812e+06 3.947292864694037235e+03 5.530749487181567048e+01 -8.990748373882194500e+00 1.521284625704601851e-02
2.457482924696110655e+06 4.006991688206670005e+03 5.569852863849499869e+01 -9.007046103916961144e+00 1.509215021881534294e-02
2.457482924706527032e+06 3.530347087639695474e+03 5.020787370385347970e+01 -8.869543513353738362e+00 1.544117205531418159e-02
2.457482924716943875e+06 3.594771633899090375e+03 5.076856271485267769e+01 -8.889178265109025645e+00 1.533378609150654742e-02
2.457482924727360252e+06 3.962278604315919438e+03 5.524563312053895459e+01 -8.994862523326274228e+00 1.513835842814233862e-02
2.457482924737776630e+06 4.047767451802588312e+03 5.693698682339570638e+01 -9.018038884764651542e+00 1.527231117145920990e-02
2.457482924748193473e+06 3.868649234405305378e+03 5.523246480495075872e+01 -8.968898386419908775e+00 1.550104253546926228e-02
2.457482924758609850e+06 3.804009721309595079e+03 5.487482219326327026e+01 -8.950604045312310575e+00 1.566236519174885392e-02
2.457482924769026693e+06 4.023476594847999877e+03 5.738301454023498138e+01 -9.011503698289454078e+00 1.548487551454699740e-02
2.457482924779443070e+06 4.329968598237070182e+03 5.823667713524860545e+01 -9.091211866944721720e+00 1.460285182173575586e-02
2.457482924789859913e+06 4.129881755936161426e+03 5.595975436356098953e+01 -9.039844043499607906e+00 1.471173929262295337e-02
2.457482924800276291e+06 4.116412171378931816e+03 5.553361035624044462e+01 -9.036297134123859820e+00 1.464747930914474423e-02
2.457482924810693134e+06 4.077822441007185716e+03 5.506706316921383859e+01 -9.026070778856887245e+00 1.466187261223051222e-02
2.457482924821109511e+06 4.182785584613778155e+03 5.610255339800825425e+01 -9.053664006535399267e+00 1.456273220181758879e-02
2.457482924831526354e+06 4.595766425762379185e+03 5.739995520353712521e+01 -9.155894870221073845e+00 1.356061679143105367e-02
2.457482924841942731e+06 5.283337573618693568e+03 6.156067701619750920e+01 -9.307270900972554273e+00 1.265088375145913789e-02
2.457482924852359109e+06 5.533004955953663739e+03 6.424218189837529280e+01 -9.357402648037805193e+00 1.260622521208638533e-02
2.457482924862775952e+06 4.370337594206477661e+03 5.661241757861447610e+01 -9.101287465216715944e+00 1.406444352108806098e-02
2.457482924873192329e+06 4.447889952280013858e+03 5.736056001250447878e+01 -9.120385083963796546e+00 1.400184246825895810e-02
2.457482924883609172e+06 4.529900394250909812e+03 5.818112157717254718e+01 -9.140221631575796479e+00 1.394502427059334838e-02
2.457482924894025549e+06 4.501759725499196065e+03 5.744204014215598875e+01 -9.133455778707816108e+00 1.385394256176757793e-02
2.457482924904442392e+06 4.130055945947641703e+03 5.537225427276410983e+01 -9.039889836678399959e+00 1.455667238917181076e-02
2.457482924914858770e+06 3.907320111137662934e+03 5.432719807110985499e+01 -8.979697481738533327e+00 1.509607873324526721e-02
2.457482924925275613e+06 3.644174249968612457e+03 5.187801130619955359e+01 -8.903997837595536424e+00 1.545645957958191423e-02
2.457482924935691990e+06 3.437518452662658092e+03 5.045548466767547069e+01 -8.840612595363477766e+00 1.593636184866116870e-02
2.457482924946108833e+06 3.337273812824063498e+03 5.057118846909123988e+01 -8.808479601533679926e+00 1.645269919340770423e-02
2.457482924956525210e+06 3.773494057301187240e+03 5.502942541548996758e+01 -8.941859175944861349e+00 1.583350800169160480e-02
2.457482924966941588e+06 3.842138187572346396e+03 5.525786895480847960e+01 -8.961432451952449085e+00 1.561517980614382864e-02
2.457482924977358431e+06 3.595818373565905404e+03 5.280509021634093614e+01 -8.889494368004633884e+00 1.594424208768763229e-02
2.457482924987774808e+06 3.611621799582635504e+03 5.252586839806469499e+01 -8.894255664351478075e+00 1.579053387071292086e-02
2.457482924998191651e+06 3.842504391934263367e+03 5.392168925758909381e+01 -8.961535931413012079e+00 1.523614000739347690e-02
2.457482925008608028e+06 3.893837401302183480e+03 5.563521421818133916e+01 -8.975944530780017416e+00 1.551307136375220351e-02
2.457482925019024871e+06 3.741816320826492756e+03 5.386791325669777564e+01 -8.932706162339849598e+00 1.563052355450962605e-02
2.457482925029441249e+06 3.928777606417111656e+03 5.486591395442273011e+01 -8.985643614254351874e+00 1.516250686207725948e-02
2.457482925039858092e+06 3.873550717492467356e+03 5.290518603079296156e+01 -8.970273116700393956e+00 1.482910148089079498e-02
2.457482925050274469e+06 3.983258983191751668e+03 5.276713488524662665e+01 -9.000596360621964109e+00 1.438304395271847690e-02
