# jd flux flux_err mag mag_err
2.457482994482265320e+06 -6.982780761718750000e+02 5.296860885620117188e+01 nan -8.235993559301758860e-02
2.457482994597090874e+06 -6.079807128906250000e+02 5.323964309692382812e+01 nan -9.507605894473993013e-02
2.457482994711916428e+06 -6.296425781250000000e+02 5.260803985595703125e+01 nan -9.071599535612612231e-02
2.457482994826741982e+06 -7.627128906250000000e+02 5.264979553222656250e+01 nan -7.494824029303741308e-02
2.457482994941567536e+06 -7.468652343750000000e+02 5.210014724731445312e+01 nan -7.573951935202391517e-02
2.457482995056392625e+06 -6.895935058593750000e+02 5.250787734985351562e+01 nan -8.267175121201862653e-02
2.457482995171218179e+06 -5.391601562500000000e+02 5.284757995605468750e+01 nan -1.064224253152735028e-01
2.457482995286043733e+06 -7.100236816406250000e+02 5.238906478881835938e+01 nan -8.011127610895890649e-02
2.457482995400869288e+06 -6.667841796875000000e+02 5.212432098388671875e+01 nan -8.487522948065244488e-02
2.457482995515694842e+06 -6.652551269531250000e+02 5.267482376098632812e+01 nan -8.596876721896061502e-02
2.457482995630520396e+06 -7.700673828125000000e+02 5.189331436157226562e+01 nan -7.316586625076167139e-02
