# jd flux flux_err mag mag_err
2.457482998750704806e+06 4.154842834700658614e+02 1.666066315499435177e+03 -6.546386500918137230e+00 4.353750342329573364e+00
2.457482998851964716e+06 4.084315087115513165e+01 2.059466373126316086e+01 -4.027798096586351129e+00 5.474712337968371534e-01
2.457482998953224625e+06 -1.376278241487015066e+02 1.333170628195214476e+03 nan -1.051732588820651415e+01
2.457482999054485001e+06 -2.147249952233801196e+01 1.495816109364302271e+01 nan -7.563476161178475099e-01
2.457482999155744910e+06 1.917219091610521176e+01 1.459849162459800809e+01 -3.206679362581945636e+00 8.267269174320827085e-01
2.457482999257004820e+06 2.308422074059227214e+01 1.555951947688676285e+01 -3.408288046386962034e+00 7.318242563470477302e-01
2.457482999358264729e+06 1.044620764205097032e+02 4.463148507341484788e+02 -5.047396635434587608e+00 4.638830689957003983e+00
2.457482999459524639e+06 4.073159941723576139e+03 8.035801047302123625e+05 -9.024828659909427842e+00 2.142020140118993936e+02
2.457482999560784549e+06 3.530894355714045929e+01 9.270523766562450874e+01 -3.869711809188964402e+00 2.850659765002233392e+00
2.457482999662044924e+06 1.057634583804212411e+02 3.343267859837681044e+02 -5.060839108639100914e+00 3.432111337626349901e+00
2.457482999763304833e+06 3.258143077775115870e+01 3.463514630212723944e+01 -3.782425379891200201e+00 1.154177789262426979e+00
2.457482999864564743e+06 6.988122442708975868e+00 6.143083152211610276e+00 -2.110901264720776105e+00 9.544467997467800391e-01
