# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 1.955908778700026573e+02 1.139229590478138299e+01 2.624850819824120052e+00 8.746540335051199122e+01 8.985307227520550555e+01 1.142724542912568495e+02 5.524587805227529316e+02 1.222737773660100402e+03 5.470000000000000284e+01 3.325470476769015659e+05 7.283484004292915870e+02 1.610094859875812290e+02
1.000000000000000000e+00 1.955821177099649333e+02 1.138740442043630985e+01 1.582891840661811989e+00 8.426820726659464356e+01 9.000745769091442128e+01 1.143723111088071391e+02 5.331342502054081933e+02 1.410981703134368900e+03 5.470000000000000284e+01 5.507832184021150460e+05 5.630935804985324467e+02 2.543338289937308332e+02
2.000000000000000000e+00 1.956305853212008401e+02 1.135092987846228318e+01 1.358638564443693797e+00 8.365240936846940656e+01 8.986840915663005092e+01 1.141636310540013426e+02 1.636516934636924361e+03 1.079004704894666247e+03 5.470000000000000284e+01 2.641813167427442968e+06 1.471839022876717536e+03 9.630381653349879798e+02
3.000000000000000000e+00 1.956579981836297293e+02 1.135096731368535217e+01 1.925016889196554448e+00 8.554112570888125333e+01 8.997731630384048174e+01 1.143819061985219889e+02 1.936784846370344667e+03 6.586856996394277530e+02 5.470000000000000284e+01 3.393599743088908726e+05 1.987672055045366506e+03 9.653152981231961576e+02
4.000000000000000000e+00 1.955610307626620852e+02 1.134416870523589971e+01 1.936490532044437884e+00 8.533270729615161088e+01 8.986437864287952948e+01 1.142970693555742514e+02 9.798437893321057572e+02 2.219518724762148395e+03 5.470000000000000284e+01 3.599900766701343819e+05 1.624157614972423858e+02 1.085574869143154501e+03
5.000000000000000000e+00 1.956437709134488330e+02 1.134197935762105125e+01 4.906228800650150212e+00 9.716485475995933996e+01 9.027454613966162356e+01 1.143796669673454289e+02 1.922374481278601479e+03 9.775850586821378556e+02 5.470000000000000284e+01 4.440853820501557784e+05 1.719186434592210617e+03 1.137065999014410863e+03
6.000000000000000000e+00 1.956119257849465498e+02 1.130889701853297247e+01 4.005142217247854575e+00 9.656864887244344686e+01 8.956538314455816874e+01 1.140472232991309198e+02 2.092150670064947008e+03 1.837295559265195152e+03 5.470000000000000284e+01 4.257315722280369955e+05 1.117034744786472402e+03 1.771421579281767890e+03
7.000000000000000000e+00 1.956210000609433450e+02 1.130383108232979517e+01 1.489493590898051556e+00 8.405419867512476628e+01 9.029219740856883902e+01 1.145893450392060942e+02 2.270832963005251258e+03 1.754668426617618934e+03 5.470000000000000284e+01 7.147427194480078761e+05 1.287368938372066168e+03 1.870109292120290092e+03
8.000000000000000000e+00 1.955638781167729690e+02 1.129383701532025341e+01 1.422287241112889955e+00 8.365606499752844627e+01 8.957119978326139176e+01 1.139887535110941741e+02 1.801176948229529671e+03 2.741111838302075284e+03 5.470000000000000284e+01 1.714128427134947153e+06 2.114236141063477135e+02 2.056364061697765010e+03
9.000000000000000000e+00 1.956244131001443520e+02 1.126683930493364016e+01 1.380507200907715504e+00 8.375085263649401668e+01 9.026723702724744669e+01 1.143890654361276660e+02 2.888866890068044995e+03 2.117239058115558237e+03 5.470000000000000284e+01 5.255556522604119964e+06 1.348387632038035463e+03 2.583738743881630398e+03
1.000000000000000000e+01 1.956265498771657008e+02 1.124234804682086342e+01 1.395197930324425517e+00 8.373890485608369261e+01 8.958284006853109815e+01 1.138865069255149081e+02 3.295671533342627299e+03 2.358856066510049459e+03 5.470000000000000284e+01 4.630433610348779708e+06 1.386481926939052983e+03 3.056198706960131858e+03
1.100000000000000000e+01 1.956114481019277207e+02 1.123115603952777697e+01 2.982116408657118356e+00 8.508817293806441739e+01 9.047773403648683654e+01 1.121748562547679882e+02 3.305590183121552855e+03 2.715763758198853338e+03 5.470000000000000284e+01 5.153120982669790089e+07 1.101222967057193728e+03 3.270316142908840902e+03
1.200000000000000000e+01 1.956584996549908624e+02 1.123521733985435134e+01 1.829828416074174235e+00 8.513009710243456141e+01 8.936386114238115397e+01 1.139035669379527462e+02 3.758367532163831129e+03 1.949945844363504875e+03 5.470000000000000284e+01 4.640619444229820510e+05 1.987304069630815775e+03 3.197191283154604662e+03
1.300000000000000000e+01 1.955617859037875519e+02 1.122681204889630280e+01 6.171058723462878426e+00 1.115080866630250824e+02 8.995828128579550764e+01 1.148032644818123202e+02 2.829041371491808150e+03 3.524713142077971497e+03 5.470000000000000284e+01 5.827668910284814192e+05 1.659494562791835506e+02 3.348449286437827595e+03
1.400000000000000000e+01 1.955815378845634882e+02 1.122849471566481228e+01 5.937019554321699921e+00 1.110287408030081764e+02 8.933347640452059579e+01 1.143237997165461479e+02 3.019713926991809331e+03 3.203357486510185936e+03 5.470000000000000284e+01 1.034014532653432922e+06 5.379316128848445260e+02 3.318261383673206183e+03
1.500000000000000000e+01 1.955690823363090658e+02 1.122277067464153255e+01 4.407859344387251355e+00 1.039645040308112272e+02 8.997119765586045048e+01 1.148300708607941232e+02 2.973017240147945813e+03 3.457715529288506332e+03 5.470000000000000284e+01 4.077696157169585931e+05 3.029390855048511639e+02 3.427208203406525172e+03
