# jd flux flux_err
2.457483001938899979e+06 1.480248620738637401e+05 6.872998650993816909e+02
2.457483001988549251e+06 1.470018806818182347e+05 6.869245907669520648e+02
2.457483002038198989e+06 1.418422096590909059e+05 6.825574492432048146e+02
2.457483002087848261e+06 1.483213906250000582e+05 6.812926426303894232e+02
2.457483002137497999e+06 1.495368409090908826e+05 6.821987628258542600e+02
2.457483002187147271e+06 1.429908201704546809e+05 6.812348646801231098e+02
2.457483002236797009e+06 1.399534565340910922e+05 6.787777929691731060e+02
2.457483002286446281e+06 1.401624360795454122e+05 6.766535346035987004e+02
2.457483002336095553e+06 1.451362821022726130e+05 6.766591975073074536e+02
2.457483002385745291e+06 1.443993403409090824e+05 6.750298787977419579e+02
2.457483002435394563e+06 1.465022200284092687e+05 6.748479635001865518e+02
2.457483002485044301e+06 1.468592593749999069e+05 6.755804009306730222e+02
2.457483002534693573e+06 1.444756693181818118e+05 6.715483000638060957e+02
2.457483002584343310e+06 1.429766389204547158e+05 6.684664238122663846e+02
2.457483002633992583e+06 1.389433039772724733e+05 6.668701039571437832e+02
