# id ra dec s L A b x y a flux
0.000000000000000000e+00 1.955216458122709184e+02 1.114818246875996799e+01 4.339065872019431502e+00 1.017124281486937889e+02 9.006529619918194385e+01 1.220721427044801203e+03 3.982813250762525058e+03 3.440932888146924142e+03 5.470000000000000284e+01 1.195397125000000000e+06
1.000000000000000000e+00 1.954984764997084881e+02 1.114295897729157403e+01 4.798049829079317874e+00 1.030532643016595387e+02 8.981375284817215743e+01 1.220383784984349631e+03 4.153484295653383015e+03 3.026012112229954710e+03 5.470000000000000284e+01 1.246814625000000000e+06
2.000000000000000000e+00 1.955048747727244347e+02 1.113223510307587283e+01 4.882100100146876009e+00 1.034756507174074898e+02 9.010914108871811834e+01 1.222205870441390516e+03 3.915296929020819334e+03 3.004326881416456217e+03 5.470000000000000284e+01 1.609184000000000000e+06
3.000000000000000000e+00 1.955383369416977644e+02 1.116726922724378923e+01 4.949244058946940861e+00 1.074450909324372532e+02 9.014931990786858762e+01 1.219852605718628183e+03 4.100679622313565233e+03 3.910492669842637952e+03 5.470000000000000284e+01 5.830496250000000000e+05
4.000000000000000000e+00 1.955288122338870096e+02 1.111754455073448256e+01 5.167301197686643199e+00 1.044452413670245363e+02 8.977932802823099223e+01 1.219521285449409561e+03 3.422560846313738693e+03 3.210119111157192037e+03 5.470000000000000284e+01 1.350216000000000000e+06
5.000000000000000000e+00 1.955303199827099263e+02 1.111520049663534770e+01 5.579881150672539647e+00 1.007368092536119235e+02 8.929510685616099863e+01 1.222745291902921736e+03 3.369713029796796491e+03 3.207972394800099210e+03 5.470000000000000284e+01 2.057571750000000000e+06
6.000000000000000000e+00 1.954745382417725637e+02 1.114239924091392275e+01 5.012513227309045583e+00 1.058755991888226760e+02 8.995881864819021700e+01 1.226967467307968263e+03 4.406023224478737575e+03 2.649957044304864212e+03 5.470000000000000284e+01 1.283820000000000000e+06
7.000000000000000000e+00 1.954818935406218259e+02 1.112277979559222274e+01 4.645132636923609226e+00 1.041332598263347649e+02 9.005395050411863167e+01 1.221283268271316274e+03 4.016943801251465629e+03 2.544969043046341994e+03 5.470000000000000284e+01 1.189110000000000000e+06
8.000000000000000000e+00 1.955552763240543470e+02 1.116710397356392548e+01 4.963927879508455376e+00 1.054047859085188463e+02 8.998248829296687745e+01 1.220160227479823106e+03 3.912711970938476952e+03 4.169303484285721424e+03 5.470000000000000284e+01 6.474290000000000000e+05
9.000000000000000000e+00 1.954845545006828615e+02 1.110984868292528738e+01 3.968803931017185427e+00 9.958819827649024603e+01 9.012286431915846663e+01 1.220995303438221299e+03 3.784812105375006013e+03 2.441926385089607265e+03 5.470000000000000284e+01 1.228051625000000000e+06
1.000000000000000000e+01 1.955603451325895605e+02 1.112312946542293979e+01 4.894798127395506349e+00 1.122477395791422481e+02 8.873562144145833486e+01 1.561615345241228169e+03 3.166062593249124347e+03 3.758411932666168923e+03 5.470000000000000284e+01 5.787745625000000000e+05
1.100000000000000000e+01 1.954634913962428016e+02 1.113720348881588151e+01 4.979953485233077792e+00 1.059077278648645404e+02 8.994349383200170678e+01 1.232095074692855405e+03 4.445022627398804616e+03 2.422901419033605634e+03 5.470000000000000284e+01 1.326903750000000000e+06
1.200000000000000000e+01 1.954644381140013252e+02 1.112284519709338149e+01 1.836336009403374492e+00 8.248788269712152044e+01 9.044244770469612149e+01 1.220912071884868737e+03 4.208819112162183046e+03 2.276901835382924219e+03 5.470000000000000284e+01 3.547070250000000000e+06
1.300000000000000000e+01 1.954937772684043864e+02 1.108935053314833219e+01 5.225605479246238971e+00 1.046307841926034143e+02 8.961004274081386711e+01 1.217154284812973174e+03 3.362585627558888973e+03 2.357497121718929975e+03 5.470000000000000284e+01 1.380389000000000000e+06
1.400000000000000000e+01 1.954614309298742967e+02 1.110814492769670636e+01 4.901774871404596112e+00 1.060233548431628918e+02 8.987589957537767305e+01 1.223990284363467936e+03 4.011083646648922240e+03 2.067246068506475240e+03 5.470000000000000284e+01 1.318340000000000000e+06
1.500000000000000000e+01 1.954840524548247913e+02 1.107523750992087841e+01 4.701421453247347948e+00 1.044046587040789404e+02 9.003828053848907587e+01 1.221628657876025272e+03 3.247081253804003609e+03 2.049719912401390047e+03 5.470000000000000284e+01 1.189894375000000000e+06
1.600000000000000000e+01 1.955003402841841762e+02 1.106278175318905355e+01 2.603369482170574400e+00 8.517145364186551149e+01 9.034063701206987673e+01 1.220379722309890894e+03 2.873457738763724592e+03 2.161656684981242506e+03 5.470000000000000284e+01 1.599279750000000000e+06
1.700000000000000000e+01 1.955602477971181372e+02 1.107183910326033960e+01 5.142280221822053576e+00 1.049525847170240951e+02 8.995785808838718367e+01 1.218046228014386998e+03 2.361819792105222859e+03 3.187006384643397269e+03 5.470000000000000284e+01 1.517965625000000000e+06
1.800000000000000000e+01 1.954853490113282533e+02 1.106358662893448219e+01 3.000000000000000000e+00 9.900000000000000000e+01 9.000000000000000000e+01 1.590377325894033902e+03 3.049000000000000000e+03 1.940000000000000000e+03 5.470000000000000284e+01 0.000000000000000000e+00
1.900000000000000000e+01 1.955253249928956620e+02 1.105632402337709763e+01 3.291322609834608226e+00 9.112669622196422381e+01 9.033065507204113942e+01 1.220690627432647034e+03 2.498881172264011184e+03 2.475330759808046878e+03 5.470000000000000284e+01 1.569974000000000000e+06
2.000000000000000000e+01 1.955194418115220003e+02 1.104842562603845124e+01 4.998261536366809921e+00 1.047742418492604628e+02 8.994990775505422675e+01 1.218045940925083187e+03 2.438829243560801842e+03 2.296880882892094633e+03 5.470000000000000284e+01 1.308704250000000000e+06
2.100000000000000000e+01 1.954692991783084892e+02 1.105007712180189294e+01 4.961924693112296225e+00 1.057264669530490835e+02 8.999413717314267558e+01 1.221286391990967104e+03 3.013001547293400108e+03 1.541003986307575133e+03 5.470000000000000284e+01 1.222437000000000000e+06
2.200000000000000000e+01 1.954757249910858832e+02 1.104434486027347084e+01 4.331040243202174622e+00 1.019811068336161952e+02 9.008837392784131737e+01 1.220725739348383968e+03 2.851919650864279902e+03 1.576974714126349909e+03 5.470000000000000284e+01 1.163594750000000000e+06
2.300000000000000000e+01 1.954782004705525367e+02 1.102004468840014439e+01 1.835292451090665411e+00 8.283236998022422881e+01 9.031675950706272715e+01 1.219991124550047516e+03 2.442947237571568621e+03 1.344475354978504129e+03 5.470000000000000284e+01 3.335158500000000000e+06
2.400000000000000000e+01 1.955243944829284430e+02 1.100929649250305964e+01 4.681926215256858370e+00 1.033267651660949014e+02 8.988172757671455315e+01 1.218313792488200534e+03 1.769659100015213880e+03 1.937949818228518552e+03 5.470000000000000284e+01 1.532425375000000000e+06
2.500000000000000000e+01 1.954640537969355023e+02 1.101645623403144114e+01 4.923285613123008275e+00 1.046296843947657749e+02 8.999302392361309444e+01 1.221627591288920485e+03 2.541899285608314131e+03 1.086980075396585562e+03 5.470000000000000284e+01 1.300780625000000000e+06
2.600000000000000000e+01 1.955285630147836002e+02 1.100540514171450290e+01 5.077276056945263072e+00 1.051076411093571039e+02 8.972518581414166761e+01 1.220687436236659096e+03 1.662913666403553862e+03 1.958913093720811730e+03 5.470000000000000284e+01 2.853788000000000000e+06
2.700000000000000000e+01 1.955257683922986018e+02 1.100443373479901688e+01 5.040111934464331256e+00 1.052214939001455178e+02 8.972340904619058222e+01 1.223042501218420966e+03 1.678891311948609655e+03 1.905155701683205052e+03 5.470000000000000284e+01 2.912471000000000000e+06
2.800000000000000000e+01 1.955144361059973619e+02 1.099801215470855631e+01 5.058536838760246290e+00 1.067080617662097097e+02 9.000073747547287439e+01 1.223042175729908877e+03 1.701180940024764368e+03 1.657819580288847646e+03 5.470000000000000284e+01 3.018256000000000000e+06
2.900000000000000000e+01 1.955329049788629447e+02 1.099826363096335413e+01 4.755631465369827282e+00 1.046600699865611546e+02 9.006653350157986893e+01 1.220668349386920227e+03 1.503978226740081027e+03 1.945987418548467303e+03 5.470000000000000284e+01 3.140126000000000000e+06
3.000000000000000000e+01 1.955572058883713567e+02 1.099282711365922971e+01 5.067043082458672743e+00 1.045838835090110734e+02 9.005012236996869035e+01 1.220315939378663188e+03 1.152959014748680602e+03 2.260896915381119015e+03 5.470000000000000284e+01 3.802410250000000000e+06
3.100000000000000000e+01 1.955298447415720773e+02 1.098593298309078037e+01 5.098958691508472363e+00 1.063613881369266778e+02 8.986503099267797268e+01 1.220335493994579338e+03 1.343911647711873229e+03 1.762176736605277711e+03 5.470000000000000284e+01 4.411954000000000000e+06
3.200000000000000000e+01 1.955270644646990945e+02 1.098439085380935509e+01 5.066873292857549060e+00 1.066946154239933406e+02 8.989021949854598859e+01 1.221818648037577987e+03 1.349840417366109250e+03 1.700728277837834867e+03 5.470000000000000284e+01 4.485705000000000000e+06
3.300000000000000000e+01 1.955230080160118007e+02 1.098141712061900321e+01 5.083180526034333901e+00 1.066139158934974063e+02 9.018881106033899187e+01 1.221786735821229740e+03 1.346866622784047877e+03 1.605456420270934814e+03 5.470000000000000284e+01 4.439802000000000000e+06
3.400000000000000000e+01 1.955492332993808304e+02 1.098355351578180006e+01 5.113409242686056899e+00 1.059048814847548812e+02 8.996191728471835347e+01 1.219127611997614622e+03 1.094013731217953364e+03 2.035217401949596024e+03 5.470000000000000284e+01 4.620711000000000000e+06
3.500000000000000000e+01 1.955515081316814303e+02 1.098308814983400161e+01 5.070079970095696886e+00 1.056182393581736534e+02 8.993929018303100520e+01 1.220922830227117856e+03 1.062013677940455182e+03 2.065419067245039059e+03 5.470000000000000284e+01 4.530464000000000000e+06
3.600000000000000000e+01 1.955527552459234641e+02 1.098307107953111128e+01 5.126522637988408349e+00 1.055059913728829031e+02 8.996067995242057691e+01 1.220953407679807469e+03 1.048009993267768095e+03 2.084357718633382319e+03 5.470000000000000284e+01 4.541492000000000000e+06
3.700000000000000000e+01 1.955553289652207809e+02 1.098237509725795036e+01 5.071150760407512337e+00 1.053006913559542284e+02 8.995782658193050452e+01 1.221200457408731381e+03 1.009024630594526911e+03 2.116133353205279036e+03 5.470000000000000284e+01 4.528064000000000000e+06
3.800000000000000000e+01 1.955288426121609859e+02 1.097677893658466708e+01 4.959765998988006963e+00 1.061814901951140513e+02 8.999004040071123711e+01 1.221205444053448218e+03 1.210221921018711328e+03 1.644760261641096122e+03 5.470000000000000284e+01 4.666041000000000000e+06
3.900000000000000000e+01 1.955477300278737118e+02 1.097406786525547950e+01 4.990797142654914254e+00 1.062786221228747934e+02 9.004621854977020234e+01 1.220643295746770718e+03 9.619762409900420153e+02 1.906857392237699059e+03 5.470000000000000284e+01 4.840683500000000000e+06
4.000000000000000000e+01 1.955352203732535941e+02 1.097109047550334360e+01 4.919313828605369032e+00 1.053063224335995898e+02 9.003476794538809713e+01 1.220312903378723149e+03 1.051870438969377119e+03 1.679779352890230939e+03 5.470000000000000284e+01 5.614353000000000000e+06
4.100000000000000000e+01 1.955149954881784709e+02 1.096964377449145900e+01 5.095736704352288982e+00 1.055509971232971083e+02 8.998025818279361943e+01 1.220344134387210261e+03 1.250003234403243823e+03 1.350444934531443096e+03 5.470000000000000284e+01 4.163207000000000000e+06
4.200000000000000000e+01 1.955351322027309493e+02 1.096975947182441402e+01 4.851298156247239923e+00 1.054487029783637553e+02 8.998069834886052831e+01 1.220851596194125250e+03 1.031786107935840846e+03 1.662410375694031472e+03 5.470000000000000284e+01 7.204126000000000000e+06
4.300000000000000000e+01 1.955649409910842849e+02 1.097527328419584691e+01 5.106962945631233097e+00 1.052923588459832303e+02 9.001847461604764078e+01 1.220932525139598738e+03 7.930027144256107476e+02 2.185188921869421392e+03 5.470000000000000284e+01 3.996810500000000000e+06
4.400000000000000000e+01 1.954967102491318940e+02 1.096856927548584792e+01 5.117054549104322447e+00 1.057520624976203294e+02 9.000274056398605182e+01 1.220663670711290024e+03 1.432018311074319172e+03 1.057095585575316363e+03 5.470000000000000284e+01 2.460187500000000000e+06
