# jd flux flux_err mag mag_err
2.457483002974024974e+06 2.276237711588541424e+04 1.588248122419948345e+02 -1.089304403560854695e+01 7.575766395825121215e-03
2.457483003078956157e+06 2.580258430989582848e+04 1.643478598640530208e+02 -1.102915801445456090e+01 6.915549358378099767e-03
2.457483003183887806e+06 1.983208984375000000e+04 1.530108040839052705e+02 -1.074342120303551518e+01 8.376825222905818005e-03
2.457483003288818989e+06 2.808685791015624636e+04 1.681139140356342523e+02 -1.112125789298376688e+01 6.498697775625772270e-03
2.457483003393750638e+06 2.423073583984374636e+04 1.613449431603383459e+02 -1.096091650751992042e+01 7.229605396417685195e-03
2.457483003498681821e+06 3.086618164062500728e+04 1.732039491409010168e+02 -1.122370726896168946e+01 6.092572703995593683e-03
2.457483003603613470e+06 2.300119938151040697e+04 1.591615962008418990e+02 -1.090437620647777095e+01 7.513004369590155565e-03
2.457483003708544653e+06 1.783307421875000364e+04 1.491807940493171998e+02 -1.062806554262055947e+01 9.082649090351786747e-03
2.457483003813476302e+06 2.565173665364584303e+04 1.641778547595213240e+02 -1.102279193176422822e+01 6.949021285904541032e-03
2.457483003918407485e+06 2.110133154296872817e+04 1.567556867227052351e+02 -1.081077465287905426e+01 8.065648319668326446e-03
2.457483004023339134e+06 2.521215966796875364e+04 1.634329375848750487e+02 -1.100402512209560868e+01 7.038099075615537187e-03
2.457483004128270317e+06 2.707141113281251091e+04 1.665864695881947455e+02 -1.108127723632511064e+01 6.681203007975432089e-03
