# jd flux flux_err mag mag_err
2.457507989723746199e+06 1.918430664062500000e+03 6.265703582763671875e+01 -8.207365268857722995e+00 3.546088547992578416e-02
2.457507989763555117e+06 2.105689697265625000e+03 6.353280258178710938e+01 -8.308485930544422970e+00 3.275891275182886420e-02
2.457507989803364500e+06 1.870768066406250000e+03 6.278244018554687500e+01 -8.180049869974425292e+00 3.643712324959746257e-02
2.457507989843173418e+06 1.845264404296875000e+03 6.265213775634765625e+01 -8.165146510383900491e+00 3.686405692819774704e-02
2.457507989882982336e+06 1.904290771484375000e+03 6.272451019287109375e+01 -8.199333156877454343e+00 3.576266330573174557e-02
2.457507989922791719e+06 1.797741210937500000e+03 6.234949111938476562e+01 -8.136817935468995344e+00 3.765577385449073167e-02
2.457507989962600637e+06 1.734242919921875000e+03 6.186305618286132812e+01 -8.097774825400255949e+00 3.872998058599866344e-02
2.457507990002409555e+06 1.693487548828125000e+03 6.171054077148437500e+01 -8.071955019730751246e+00 3.956427231106353359e-02
2.457507990042218938e+06 1.726783203125000000e+03 6.181989669799804688e+01 -8.093094538769927127e+00 3.887015724928013366e-02
2.457507990082027856e+06 1.717623046875000000e+03 6.188122177124023438e+01 -8.087319646955853258e+00 3.911621810626292328e-02
2.457507990121836774e+06 1.804603515625000000e+03 6.221173477172851562e+01 -8.140954497750124474e+00 3.742970038915331699e-02
2.457507990161646158e+06 1.808544433593750000e+03 6.240960693359375000e+01 -8.143322958203759399e+00 3.746692941208709660e-02
2.457507990201455075e+06 2.050438232421875000e+03 6.375997924804687500e+01 -8.279616727740323867e+00 3.376193380232050262e-02
2.457507990241263993e+06 2.038778076171875000e+03 6.399062347412109375e+01 -8.273424886981725734e+00 3.407785297615447545e-02
2.457507990281072911e+06 1.815645996093750000e+03 6.281214904785156250e+01 -8.147577940680273301e+00 3.756110103728226707e-02
2.457507990320882294e+06 1.703820068359375000e+03 6.236157226562500000e+01 -8.078559323135602099e+00 3.973920411494907823e-02
2.457507990360691212e+06 1.686215576171875000e+03 6.221297454833984375e+01 -8.067282741790782197e+00 4.005841005185297593e-02
2.457507990400500130e+06 1.757936523437500000e+03 6.254772949218750000e+01 -8.112507973177532250e+00 3.863084412516450128e-02
2.457507990440309513e+06 1.749468505859375000e+03 6.259086990356445312e+01 -8.107265321670634961e+00 3.884460386768379819e-02
2.457507990480118431e+06 1.810655761718750000e+03 6.267255783081054688e+01 -8.144589727391299050e+00 3.758091647118613071e-02
2.457507990519927349e+06 1.825655029296875000e+03 6.283059310913085938e+01 -8.153546794678923959e+00 3.736614369505546901e-02
2.457507990559736732e+06 1.709787597656250000e+03 6.225396347045898438e+01 -8.082355406250439245e+00 3.953217252895603606e-02
2.457507990599545650e+06 1.638971191406250000e+03 6.174288177490234375e+01 -8.036428299845628231e+00 4.090170517320956822e-02
2.457507990639354568e+06 1.794852539062500000e+03 6.273519515991210938e+01 -8.135071934372014368e+00 3.794969743224745062e-02
2.457507990679163951e+06 1.843731201171875000e+03 6.269728088378906250e+01 -8.164244013110419473e+00 3.692129617565618332e-02
2.457507990718972869e+06 1.901328613281250000e+03 6.305080413818359375e+01 -8.197642959971414456e+00 3.600470723829848896e-02
