# jd flux flux_err mag mag_err
2.457512844783612527e+06 4.518164550781250000e+03 6.772246551513671875e+01 -9.137405109508076606e+00 1.627408406267328439e-02
2.457512844807025045e+06 3.984323730468750000e+03 6.532837677001953125e+01 -9.000886545165000641e+00 1.780217587538657220e-02
2.457512844830437563e+06 3.978567382812500000e+03 6.514720153808593750e+01 -8.999316794666761155e+00 1.777849054499597639e-02
2.457512844853850082e+06 3.895262695312500000e+03 6.490884399414062500e+01 -8.976341879204740692e+00 1.809226586001650913e-02
2.457512844877262600e+06 3.725576904296875000e+03 6.400427246093750000e+01 -8.927983831605549980e+00 1.865268133415526330e-02
2.457512844900675118e+06 3.681873535156250000e+03 6.371899795532226562e+01 -8.915172168237052830e+00 1.878996227855926626e-02
2.457512844924087636e+06 3.664136962890625000e+03 6.369565200805664062e+01 -8.909929247312067702e+00 1.887399895572401329e-02
2.457512844947500620e+06 3.945102294921875000e+03 6.501503753662109375e+01 -8.990145671933380100e+00 1.789292686931679907e-02
2.457512844970913138e+06 4.249988281250000000e+03 6.664465332031250000e+01 -9.070969331363734511e+00 1.702563892122404415e-02
2.457512844994325656e+06 4.221309570312500000e+03 6.645937347412109375e+01 -9.063618005918240073e+00 1.709365279989415176e-02
2.457512845017738175e+06 4.187177246093750000e+03 6.619709777832031250e+01 -9.054803363161433083e+00 1.716498555414252419e-02
2.457512845041150693e+06 4.083354492187500000e+03 6.584716796875000000e+01 -9.027542710962304540e+00 1.750837559834072729e-02
2.457512845064563211e+06 3.816640136718750000e+03 6.453904724121093750e+01 -8.954203032827273034e+00 1.835976739790703624e-02
2.457512845087975729e+06 3.815183593750000000e+03 6.455484771728515625e+01 -8.953788604635530390e+00 1.837127326595387050e-02
2.457512845111388247e+06 3.818984375000000000e+03 6.458535766601562500e+01 -8.954869703759190003e+00 1.836166355938541675e-02
2.457512845134800766e+06 3.912623535156250000e+03 6.498511505126953125e+01 -8.981170157402045717e+00 1.803315299358278223e-02
2.457512845158213284e+06 3.814856445312500000e+03 6.431658172607421875e+01 -8.953695499775967903e+00 1.830503622988819898e-02
2.457512845181625802e+06 3.576548095703125000e+03 6.343591690063476562e+01 -8.883660174008948474e+00 1.925737067493701882e-02
2.457512845205038320e+06 3.504877441406250000e+03 6.295500183105468750e+01 -8.861682090384668697e+00 1.950218369422480197e-02
2.457512845228450838e+06 3.630192871093750000e+03 6.363210678100585938e+01 -8.899824248972199925e+00 1.903147465429119722e-02
2.457512845251863822e+06 3.777701660156250000e+03 6.446543884277343750e+01 -8.943069142524649351e+00 1.852785419965054942e-02
2.457512845275276341e+06 3.921348144531250000e+03 6.510192871093750000e+01 -8.983588503695456140e+00 1.802537430327107171e-02
2.457512845298688859e+06 4.171725097656250000e+03 6.624909210205078125e+01 -9.050789205459750519e+00 1.724209711212557755e-02
2.457512845322101377e+06 4.270975585937500000e+03 6.665426635742187500e+01 -9.076317722220228035e+00 1.694441976985027257e-02
2.457512845345513895e+06 4.211196289062500000e+03 6.648818969726562500e+01 -9.061013712236206885e+00 1.714213304884439765e-02
2.457512845368926413e+06 3.990467529296875000e+03 6.547210693359375000e+01 -9.002559453188514027e+00 1.781387390329309400e-02
2.457512845392338932e+06 3.813384277343750000e+03 6.467778015136718750e+01 -8.953276429077726917e+00 1.841494271604331850e-02
2.457512845415751450e+06 3.606412597656250000e+03 6.354660034179687500e+01 -8.892688528535815706e+00 1.913122361538481184e-02
2.457512845439163968e+06 3.451743164062500000e+03 6.294464111328125000e+01 -8.845096183584095328e+00 1.979913087215330603e-02
2.457512845462576486e+06 3.600089843750000000e+03 6.362237548828125000e+01 -8.890783347861258790e+00 1.918767613051920035e-02
2.457512845485989004e+06 3.587388916015625000e+03 6.358503341674804688e+01 -8.886946154906786077e+00 1.924430715434571545e-02
2.457512845509401523e+06 3.531436523437500000e+03 6.316798019409179688e+01 -8.869878510845296660e+00 1.942099266424688817e-02
2.457512845532814041e+06 3.526279541015625000e+03 6.314167022705078125e+01 -8.868291843581252110e+00 1.944129392889057395e-02
2.457512845556226559e+06 3.607318359375000000e+03 6.369168472290039062e+01 -8.892961180316692804e+00 1.917008782751937826e-02
2.457512845579639543e+06 3.770287109375000000e+03 6.441375732421875000e+01 -8.940936058053964075e+00 1.854940773695895953e-02
2.457512845603052061e+06 3.774470703125000000e+03 6.433092498779296875e+01 -8.942140146980024795e+00 1.850502070089407244e-02
2.457512845626464579e+06 3.977352050781250000e+03 6.530048370361328125e+01 -8.998985084420469960e+00 1.782576605519109111e-02
2.457512845649877097e+06 4.094435791015625000e+03 6.582952117919921875e+01 -9.030485162231071783e+00 1.745631094812569520e-02
2.457512845673289616e+06 4.283825195312500000e+03 6.694257354736328125e+01 -9.079579352026476258e+00 1.696666565266142027e-02
2.457512845696702134e+06 4.631628417968750000e+03 6.833898162841796875e+01 -9.164334274845224115e+00 1.601993061994792106e-02
2.457512845720114652e+06 4.591913085937500000e+03 6.822408294677734375e+01 -9.154984148248875186e+00 1.613131921975629463e-02
