# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 2.161599007757487527e+02 7.710620299796984156e+00 3.000000000000000000e+00 -1.000000000000000000e+00 9.000000000000000000e+01 1.526148381769077389e+02 1.027000000000000000e+03 4.050000000000000000e+02 -9.570000000000000284e+00 0.000000000000000000e+00 3.177220341600765892e+02 3.571482844515193165e+02
1.000000000000000000e+00 2.161891349353113583e+02 7.712822516093524428e+00 3.000000000000000000e+00 -1.000000000000000000e+00 9.000000000000000000e+01 1.526148381769077389e+02 1.585000000000000000e+03 4.550000000000000000e+02 -9.570000000000000284e+00 0.000000000000000000e+00 8.762690948136631732e+02 3.136835742231203312e+02
2.000000000000000000e+00 2.162483979735989976e+02 7.721298036721734981e+00 3.000000000000000000e+00 -1.000000000000000000e+00 9.000000000000000000e+01 1.526148381769077389e+02 2.729000000000000000e+03 4.800000000000000000e+02 -9.570000000000000284e+00 0.000000000000000000e+00 2.008504612014670784e+03 1.481428433181039281e+02
3.000000000000000000e+00 2.162474722965591241e+02 7.724564979482255289e+00 3.000000000000000000e+00 -1.000000000000000000e+00 9.000000000000000000e+01 1.526148381769077389e+02 2.722000000000000000e+03 4.150000000000000000e+02 -9.570000000000000284e+00 0.000000000000000000e+00 1.990795619720424838e+03 8.521120110274182480e+01
4.000000000000000000e+00 2.162496824949746497e+02 7.714039194175343006e+00 3.000000000000000000e+00 -1.000000000000000000e+00 9.000000000000000000e+01 1.526148381769077389e+02 2.730000000000000000e+03 6.220000000000000000e+02 -9.570000000000000284e+00 0.000000000000000000e+00 2.033098544210243062e+03 2.880004083589681727e+02
5.000000000000000000e+00 2.161833541501301568e+02 7.696556347175363300e+00 3.000000000000000000e+00 -1.000000000000000000e+00 9.000000000000000000e+01 1.526148381769077389e+02 1.424000000000000000e+03 7.460000000000000000e+02 -9.570000000000000284e+00 0.000000000000000000e+00 7.658891612510958566e+02 6.274004374401351924e+02
6.000000000000000000e+00 2.161720789611241287e+02 7.708898210115144423e+00 3.000000000000000000e+00 -1.000000000000000000e+00 9.000000000000000000e+01 1.526148381769077389e+02 1.251000000000000000e+03 4.760000000000000000e+02 -9.570000000000000284e+00 0.000000000000000000e+00 5.504086003346106963e+02 3.899196427069252877e+02
7.000000000000000000e+00 2.161645245071792090e+02 7.678711256541711272e+00 3.000000000000000000e+00 -1.000000000000000000e+00 9.000000000000000000e+01 1.526148381769077389e+02 1.012000000000000000e+03 1.026000000000000000e+03 -9.570000000000000284e+00 0.000000000000000000e+00 4.061735619785553126e+02 9.719997520651022569e+02
8.000000000000000000e+00 2.162492727068338638e+02 7.672354958451980345e+00 3.000000000000000000e+00 -1.000000000000000000e+00 9.000000000000000000e+01 1.526148381769077389e+02 2.589000000000000000e+03 1.413000000000000000e+03 -9.570000000000000284e+00 0.000000000000000000e+00 2.025566503864892866e+03 1.091433833334700694e+03
9.000000000000000000e+00 2.161934935954626553e+02 7.657772196579645474e+00 3.000000000000000000e+00 -1.000000000000000000e+00 9.000000000000000000e+01 1.526148381769077389e+02 1.491000000000000000e+03 1.515000000000000000e+03 -9.570000000000000284e+00 0.000000000000000000e+00 9.598048769779287568e+02 1.374559520363009142e+03
1.000000000000000000e+01 2.161799729269026500e+02 7.670847827523588514e+00 3.000000000000000000e+00 -1.000000000000000000e+00 9.000000000000000000e+01 1.526148381769077389e+02 1.278000000000000000e+03 1.224000000000000000e+03 -9.570000000000000284e+00 0.000000000000000000e+00 7.013896855798532215e+02 1.123021076274046891e+03
1.100000000000000000e+01 2.161697852701767886e+02 7.646170897713922443e+00 3.000000000000000000e+00 -1.000000000000000000e+00 9.000000000000000000e+01 1.526148381769077389e+02 1.007000000000000000e+03 1.661000000000000000e+03 -9.570000000000000284e+00 0.000000000000000000e+00 5.068134564210959638e+02 1.598993860208547403e+03
1.200000000000000000e+01 2.161540857446114217e+02 7.640522909817065056e+00 3.000000000000000000e+00 -1.000000000000000000e+00 9.000000000000000000e+01 1.526148381769077389e+02 6.920000000000000000e+02 1.720000000000000000e+03 -9.570000000000000284e+00 0.000000000000000000e+00 2.068259673082221468e+02 1.708389958748456138e+03
1.300000000000000000e+01 2.161995527871041247e+02 7.640516668622053587e+00 3.000000000000000000e+00 -1.000000000000000000e+00 9.000000000000000000e+01 1.526148381769077389e+02 1.550000000000000000e+03 1.862000000000000000e+03 -9.570000000000000284e+00 0.000000000000000000e+00 1.075673389839191259e+03 1.706921503338378216e+03
1.400000000000000000e+01 2.161943180900685491e+02 7.611660654164573714e+00 3.000000000000000000e+00 -1.000000000000000000e+00 9.000000000000000000e+01 1.526148381769077389e+02 1.359000000000000000e+03 2.394000000000000000e+03 -9.570000000000000284e+00 0.000000000000000000e+00 9.757778018943818097e+02 2.263271996740837949e+03
1.500000000000000000e+01 2.162114821605447901e+02 7.599608019661599378e+00 3.000000000000000000e+00 -1.000000000000000000e+00 9.000000000000000000e+01 1.526148381769077389e+02 1.644000000000000000e+03 2.677000000000000000e+03 -9.570000000000000284e+00 0.000000000000000000e+00 1.303860965602997112e+03 2.494951598110803388e+03
1.600000000000000000e+01 2.162270434734297453e+02 7.594182410764196867e+00 3.000000000000000000e+00 -1.000000000000000000e+00 9.000000000000000000e+01 1.526148381769077389e+02 1.920000000000000000e+03 2.829000000000000000e+03 -9.570000000000000284e+00 0.000000000000000000e+00 1.601290308374658707e+03 2.598950569540416382e+03
1.700000000000000000e+01 2.162459598041157847e+02 7.548956234843935853e+00 3.000000000000000000e+00 -1.000000000000000000e+00 9.000000000000000000e+01 1.526148381769077389e+02 2.132000000000000000e+03 3.748000000000000000e+03 -9.570000000000000284e+00 0.000000000000000000e+00 1.963125959899623012e+03 3.469915529389837502e+03
