# jd flux flux_err mag mag_err
2.457545817533942871e+06 1.404538768069930939e+03 4.607482015980397705e+01 -7.868834327741248913e+00 3.561687037592318333e-02
2.457545817570283543e+06 1.195345717347984873e+03 4.460446170472080496e+01 -7.693733824763255846e+00 4.051451186751951761e-02
2.457545817606624216e+06 1.064654483196697356e+03 4.307820942187350965e+01 -7.568021718057536873e+00 4.393137476608338643e-02
2.457545817642964423e+06 1.058894810193455896e+03 4.232375618333283995e+01 -7.562132049415231982e+00 4.339675159055358250e-02
2.457545817679305095e+06 1.155233867436567380e+03 nan -7.656674781037454025e+00 nan
2.457545817715645768e+06 1.207745583421380161e+03 4.444234187881182407e+01 -7.704938644998482467e+00 3.995280871556358693e-02
2.457545817751986440e+06 1.200328912629546267e+03 4.460599186086287204e+01 -7.698250667967304395e+00 4.034769894604730428e-02
2.457545817788326647e+06 1.104359544923622479e+03 4.135548632894202825e+01 -7.607776222783342313e+00 4.065823121933617029e-02
2.457545817824667320e+06 1.049228601718316668e+03 3.961845218506233124e+01 -7.552175302105958998e+00 4.099710797529114437e-02
2.457545817861007992e+06 9.371421058138023454e+02 3.867667552332319048e+01 -7.429513627943389764e+00 4.480944076909967877e-02
2.457545817897348665e+06 9.642260843827251620e+02 3.872411464679063187e+01 -7.460447189756738595e+00 4.360421369799619834e-02
2.457545817933689337e+06 1.023868155143986087e+03 3.881778891834089507e+01 -7.525610088914065798e+00 4.116352865205819694e-02
2.457545817970029544e+06 9.992624410112990745e+02 3.712576445383164270e+01 -7.499198910040943744e+00 4.033867965387420707e-02
2.457545818006370217e+06 8.458260882275759514e+02 3.067560876541239878e+01 -7.318202690436251601e+00 3.937657625428750419e-02
2.457545818042710889e+06 7.760500262879826323e+02 2.962768491942912874e+01 -7.224724294899798060e+00 4.145088787418434173e-02
2.457545818079051562e+06 9.172552111057640332e+02 3.553406046052749190e+01 -7.406225469366636283e+00 4.206108653000017322e-02
2.457545818115391769e+06 1.165464456020645457e+03 4.109435140311570933e+01 -7.666247582694929008e+00 3.828326197502540662e-02
2.457545818151732441e+06 1.241709872703492692e+03 4.138315236010946307e+01 -7.735050335408777400e+00 3.618505806484344223e-02
2.457545818188073114e+06 1.158724664991803593e+03 4.051031122934461592e+01 -7.659950628993478006e+00 3.795868565071042894e-02
2.457545818224413786e+06 1.099240484103887411e+03 4.016466946314246655e+01 -7.602731786777665590e+00 3.967138115228927703e-02
2.457545818260754459e+06 1.079110261013893023e+03 4.019029998903431533e+01 -7.582664555413002105e+00 4.043721748053354798e-02
2.457545818297094665e+06 1.111359315650133340e+03 nan -7.614636235505141570e+00 nan
2.457545818333435338e+06 1.136543676124279727e+03 4.038076010719183273e+01 -7.638965324603189444e+00 3.857573395532955945e-02
2.457545818369776011e+06 1.162679627642657124e+03 3.965046260552709612e+01 -7.663650157168492072e+00 3.702661700249226806e-02
2.457545818406116683e+06 1.099612375803496889e+03 4.006530749844261408e+01 -7.603099047628745666e+00 3.955985574605129507e-02
2.457545818442456890e+06 1.081308581814093714e+03 4.000044909067835164e+01 -7.584874124464054290e+00 4.016437890731539700e-02
2.457545818478797562e+06 1.073611627368448353e+03 3.982789496368452120e+01 -7.577118015805332618e+00 4.027782260878079446e-02
2.457545818515138235e+06 1.050697344979874515e+03 3.920630360816154791e+01 -7.553694087087031050e+00 4.051390467760311587e-02
