# jd flux flux_err
2.457545817677000072e+06 4.972744261270749121e+04 1.982587966358005076e+02
2.457545817702743690e+06 5.003350335607393936e+04 1.981947715885816876e+02
2.457545817728487775e+06 5.021151103004746983e+04 1.983366259121042958e+02
2.457545817754231393e+06 5.001138400716800970e+04 1.981309683901938286e+02
2.457545817779975012e+06 4.998630726743269770e+04 1.980801535747799278e+02
2.457545817805718631e+06 5.040281774828661582e+04 1.986814875232637405e+02
2.457545817831462715e+06 5.041017061450736946e+04 1.987967194841240541e+02
2.457545817857206333e+06 5.039492714588309173e+04 1.987060517615308299e+02
2.457545817882949952e+06 5.008151979258360370e+04 1.982733209179141625e+02
2.457545817908693571e+06 5.050205588806272863e+04 1.989495233019620173e+02
2.457545817934437655e+06 4.993423241008556215e+04 1.986361777458482152e+02
2.457545817960181274e+06 5.652480215079536720e+04 2.089940652990919148e+02
2.457545817985924892e+06 6.153973228236613795e+04 2.154116605193968326e+02
2.457545818011668511e+06 6.114611861697526911e+04 2.148334794739847382e+02
2.457545818037412595e+06 6.211317877283227426e+04 2.162713552506075416e+02
2.457545818063156214e+06 6.139277692718810431e+04 2.152625305542674425e+02
2.457545818088899832e+06 5.808906564975790388e+04 2.107221099032202574e+02
2.457545818114643451e+06 5.018323848560109036e+04 1.991626830682352534e+02
2.457545818140387535e+06 5.033230288469093648e+04 1.986071838920213395e+02
2.457545818166131154e+06 5.046047590425363160e+04 1.988306954315247594e+02
2.457545818191874772e+06 5.056707872822887293e+04 1.989662593264770862e+02
2.457545818217618391e+06 5.059295360050928866e+04 1.990193457692447510e+02
2.457545818243362475e+06 5.020880451458750758e+04 1.984627416423693376e+02
2.457545818269106094e+06 5.030865396873425925e+04 1.985939495864557784e+02
2.457545818294849712e+06 4.992946540571552032e+04 1.988081341197816130e+02
2.457545818320593331e+06 4.997573461766706168e+04 1.994261501710761308e+02
2.457545818346337415e+06 5.071754587289344636e+04 1.991975081283535189e+02
2.457545818372081034e+06 5.061532967531765462e+04 1.989934325029437616e+02
