# jd flux flux_err mag mag_err
2.457545820934912190e+06 3.886611416101539362e+04 1.692078562975559350e+02 -1.147392780496194931e+01 4.726887209135617607e-03
2.457545820966595318e+06 3.904008454339260061e+04 1.696048241027997392e+02 -1.147877687370904454e+01 4.716863292565281855e-03
2.457545820998278446e+06 3.974145850067585707e+04 1.708180182329040804e+02 -1.149810950388794240e+01 4.666762673368900216e-03
2.457545821029961109e+06 3.954741489472598914e+04 1.705794030828998586e+02 -1.149279525032705429e+01 4.683109669651921124e-03
2.457545821061644237e+06 3.805653243333026330e+04 1.681531792315935547e+02 -1.145107303622562611e+01 4.797353335823453108e-03
2.457545821093327366e+06 3.811917444957387488e+04 1.680552598780299149e+02 -1.145285871628265895e+01 4.786680732064277875e-03
2.457545821125010494e+06 3.826969891174855002e+04 1.682224292118889934e+02 -1.145713761352567417e+01 4.772596218060269103e-03
2.457545821156693622e+06 3.838566203405652777e+04 1.683962564893820684e+02 -1.146042258811320202e+01 4.763094911807622296e-03
2.457545821188376285e+06 3.836909800391768658e+04 1.683181942249939311e+02 -1.145995397437540220e+01 4.762942203623998783e-03
2.457545821220059413e+06 3.866736508889294782e+04 1.682837832561920095e+02 -1.146836144735733498e+01 4.725236240238706378e-03
2.457545821251742542e+06 3.811662305346182256e+04 1.671587441061087702e+02 -1.145278604325441485e+01 4.761464166728777460e-03
2.457545821283425670e+06 3.041709258557091380e+04 1.528628589007940093e+02 -1.120779424927703971e+01 5.456449197306900353e-03
2.457545821315108798e+06 3.899450678610702016e+04 1.687118500548568534e+02 -1.147750857907199595e+01 4.697513039037148029e-03
2.457545821346791461e+06 3.794093469402954361e+04 1.720323769205321014e+02 -1.144777006436916089e+01 4.922979215561891324e-03
2.457545821378474589e+06 1.343186509118397953e+05 2.978720252379920908e+02 -1.282034080281295729e+01 2.407793485762219597e-03
2.457545821410157718e+06 1.746943347644796886e+05 3.352217797329074074e+02 -1.310569705323553258e+01 2.083431587051161760e-03
2.457545821441840846e+06 1.381028510046280862e+05 3.014484408625546621e+02 -1.285050661068983047e+01 2.369933913754914898e-03
2.457545821473523974e+06 3.598700061915774859e+04 1.718688142831088896e+02 -1.139036412838336076e+01 5.185340350937810150e-03
2.457545821505206637e+06 3.394432500458214054e+04 1.701230866359739480e+02 -1.132691794247594963e+01 5.441541113550156517e-03
2.457545821536889765e+06 3.461001670637822826e+04 1.690385378900760713e+02 -1.134800452232417456e+01 5.302855057418922463e-03
2.457545821568572894e+06 3.799483816297427984e+04 1.676983259394770869e+02 -1.144931149748884991e+01 4.792145175734962431e-03
2.457545821600256022e+06 3.823968759221502842e+04 1.681032108904140330e+02 -1.145628583887866192e+01 4.772956885487617332e-03
2.457545821631939150e+06 3.834160764439371997e+04 1.682160519047646687e+02 -1.145917579668449449e+01 4.763464742767105006e-03
2.457545821663621813e+06 3.851619994501470501e+04 1.685952869492666935e+02 -1.146410858136483668e+01 4.752562483153007292e-03
2.457545821695304941e+06 3.863779344758068328e+04 1.687896524065300810e+02 -1.146753079119464935e+01 4.743067883845239301e-03
2.457545821726988070e+06 3.889227764788758213e+04 1.692527524611963372e+02 -1.147465844368404930e+01 4.724960700963225235e-03
2.457545821758671198e+06 3.849075352851212665e+04 1.685779694775334576e+02 -1.146339103326203457e+01 4.755215936340551237e-03
2.457545821790354326e+06 3.851077504753955145e+04 1.686210545852951554e+02 -1.146395564773071207e+01 4.753958433177138225e-03
2.457545821822036989e+06 3.815703372577201662e+04 1.679241346873373288e+02 -1.145393651475253805e+01 4.778200299995692159e-03
2.457545821853720117e+06 3.816242489661604486e+04 1.679472256541409649e+02 -1.145408990654767933e+01 4.778182237520660000e-03
2.457545821885403246e+06 3.846883123052616429e+04 1.685175691773562789e+02 -1.146277247916423825e+01 4.756221067965111550e-03
