# jd flux flux_err mag mag_err
2.457546874808134511e+06 5.975498046875000000e+03 6.354945755004882812e+01 -9.440935271956391261e+00 1.154685140872465342e-02
2.457546874814935029e+06 5.778928222656250000e+03 6.261882781982421875e+01 -9.404618250832029958e+00 1.176477081867020880e-02
2.457546874821735546e+06 5.265557617187500000e+03 6.008086013793945312e+01 -9.303610923250255738e+00 1.238846819817137311e-02
2.457546874828536063e+06 5.332836425781250000e+03 6.038512039184570312e+01 -9.317395656905452128e+00 1.229412181054058244e-02
2.457546874835336581e+06 5.142219238281250000e+03 5.950899124145507812e+01 -9.277876472067191571e+00 1.256486531525118251e-02
2.457546874842137098e+06 5.179386230468750000e+03 5.969886016845703125e+01 -9.285695744674974605e+00 1.251450221225041889e-02
2.457546874848937616e+06 5.207617675781250000e+03 5.982942581176757812e+01 -9.291597731050192266e+00 1.247388053907457980e-02
2.457546874855738133e+06 5.250809082031250000e+03 5.999799728393554688e+01 -9.300565569366622043e+00 1.240613104635299863e-02
2.457546874862538651e+06 4.947381835937500000e+03 5.843307495117187500e+01 -9.235938575607837819e+00 1.282357596428844101e-02
2.457546874869339168e+06 4.509041503906250000e+03 5.613955688476562500e+01 -9.135210582075755426e+00 1.351794221438435729e-02
2.457546874876139686e+06 4.768562500000000000e+03 5.748541641235351562e+01 -9.195968697911213852e+00 1.308868574450868655e-02
2.457546874882940203e+06 5.283570800781250000e+03 6.017719268798828125e+01 -9.307318828552768153e+00 1.236602813752309821e-02
2.457546874889740720e+06 5.113242187500000000e+03 5.930580520629882812e+01 -9.271740908671352699e+00 1.259292687174068739e-02
2.457546874896541238e+06 4.957584472656250000e+03 5.851249313354492188e+01 -9.238175307292156191e+00 1.281457827803311918e-02
2.457546874903341755e+06 5.346001953125000000e+03 6.049556732177734375e+01 -9.320072782717614857e+00 1.228627633133428168e-02
2.457546874910142273e+06 5.339211425781250000e+03 6.049056243896484375e+01 -9.318692796728079486e+00 1.230088453612260095e-02
2.457546874916942790e+06 5.225993652343750000e+03 5.991861343383789062e+01 -9.295422194709727748e+00 1.244854848235012017e-02
2.457546874923743308e+06 5.086420898437500000e+03 5.922598648071289062e+01 -9.266030737370359205e+00 1.264229285101490380e-02
2.457546874930543825e+06 5.219299316406250000e+03 5.984325408935546875e+01 -9.294030508730013906e+00 1.244883858082981506e-02
2.457546874937344342e+06 5.317588867187500000e+03 6.035355758666992188e+01 -9.314286891338966257e+00 1.232292929197612713e-02
2.457546874944144860e+06 5.081212402343750000e+03 5.914370727539062500e+01 -9.264918373635616433e+00 1.263767062907330402e-02
2.457546874950945377e+06 4.651994140625000000e+03 5.693370056152343750e+01 -9.169097897613172066e+00 1.328789206930589863e-02
2.457546874957745895e+06 4.576861328125000000e+03 5.649475097656250000e+01 -9.151419385425660025e+00 1.340189412083881391e-02
