# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 2.537164771139040909e+02 -1.032018416795428450e+01 1.055406800099281028e+01 5.629098874012016722e+02 9.032145709336076322e+01 1.216608319553971995e+02 4.011596331198569715e+03 8.437577322689052153e+02 -6.979999999999999716e+01 4.079759378290938213e+06 6.714413315866570429e+02 6.163213557960921207e+02
1.000000000000000000e+00 2.537225827644765275e+02 -1.033129115254865127e+01 6.870751671237694147e+00 5.572404635745502901e+02 8.980575061166238982e+01 1.223699350424751771e+02 3.851080781135049619e+03 1.025502451066441836e+03 -6.979999999999999716e+01 4.127075011350195855e+06 7.870264744633727787e+02 8.302009075858898086e+02
2.000000000000000000e+00 2.537552763694209261e+02 -1.034799599955434601e+01 6.298191871097504446e+00 5.795139824255751364e+02 8.985077929227441018e+01 1.229015884124431608e+02 3.762698811630095861e+03 1.718229997384450826e+03 -6.979999999999999716e+01 3.806436806272884831e+06 1.406143793864479449e+03 1.152043055407512384e+03
3.000000000000000000e+00 2.537435342477863855e+02 -1.034474263679256900e+01 6.189169665453184699e+00 5.301938682433153645e+02 9.010260314589164921e+01 1.213455481076771889e+02 3.744991877224409109e+03 1.487995789233966434e+03 -6.979999999999999716e+01 2.351939370448266622e+06 1.183771439554277094e+03 1.089319018139384980e+03
4.000000000000000000e+00 2.537538338045821149e+02 -1.034839565537420647e+01 4.050584017148137761e+00 5.209668393303722951e+02 9.004328205413780495e+01 1.219446915141210042e+02 3.745948297902813465e+03 1.695151232545654921e+03 -6.979999999999999716e+01 1.549344458467525430e+06 1.378818441661753923e+03 1.159726669585397076e+03
5.000000000000000000e+00 2.537134625714579386e+02 -1.038513458914766829e+01 1.090636117348723211e+01 5.622901244893345165e+02 9.040186583326823211e+01 1.217748855339862359e+02 2.818678583212641570e+03 1.221557291358443763e+03 -6.979999999999999716e+01 4.447651088138116524e+06 6.139903400262620607e+02 1.866808187567335835e+03
6.000000000000000000e+00 2.537496300880801243e+02 -1.038368761807034524e+01 1.210608864922384065e+01 5.691882384087007267e+02 8.995973716959939281e+01 1.226097244714225383e+02 3.080712008921027063e+03 1.854320162689223253e+03 -6.979999999999999716e+01 4.789252495385195129e+06 1.298931266479975193e+03 1.839177788002289617e+03
7.000000000000000000e+00 2.537425718958523078e+02 -1.039444257636847802e+01 5.932191989763118123e+00 5.344450804632458585e+02 9.037849693159877518e+01 1.215797078283673471e+02 2.840292555610451018e+03 1.800667894750134110e+03 -6.979999999999999716e+01 2.763824309948209208e+06 1.165187264033469546e+03 2.046193792501845110e+03
8.000000000000000000e+00 2.537527928671863151e+02 -1.038805386458960101e+01 7.421502431043769832e+00 5.425823511533291139e+02 8.992779366578007227e+01 1.225485343423924292e+02 3.022525584235547740e+03 1.939956185587791197e+03 -6.979999999999999716e+01 3.134417079959165771e+06 1.358793308367181226e+03 1.923265453157145885e+03
9.000000000000000000e+00 2.537290500855772279e+02 -1.037956356377965328e+01 4.033919608956759717e+00 5.203361306569760245e+02 9.003827336005289794e+01 1.215450610435304100e+02 3.021096953412688890e+03 1.461592639029651991e+03 -6.979999999999999716e+01 1.470246910651456797e+06 9.092173568001179547e+02 1.759637315558394903e+03
1.000000000000000000e+01 2.537249060945949282e+02 -1.038713870933900552e+01 5.096006530410307711e+00 5.271681788117963379e+02 9.002097669715510619e+01 1.218119758563056081e+02 2.856905249026774072e+03 1.438488839801090535e+03 -6.979999999999999716e+01 1.920250289922839496e+06 8.306920668103060734e+02 1.905457598109695255e+03
1.100000000000000000e+01 2.537373989963186887e+02 -1.039159269025498666e+01 4.385270778880343556e+00 5.230830102507420634e+02 9.004551504068533063e+01 1.217804853414346553e+02 2.857894557412143513e+03 1.690023230917722003e+03 -6.979999999999999716e+01 1.666659524933896959e+06 1.067246872657324047e+03 1.991289282067017666e+03
1.200000000000000000e+01 2.537503501214981156e+02 -1.041743969794092983e+01 9.968347094700799715e+00 5.682082574533336583e+02 9.018363692618639504e+01 1.217825523626630400e+02 2.475671464444078993e+03 2.092017942705317637e+03 -6.979999999999999716e+01 4.179113760165173560e+06 1.312308541744308513e+03 2.489016110326265334e+03
1.300000000000000000e+01 2.537275514981825779e+02 -1.042320784075666218e+01 8.305928003449304597e+00 5.476832206256643758e+02 9.019151922529873389e+01 1.221033787513358959e+02 2.222974623157568658e+03 1.724223283605153711e+03 -6.979999999999999716e+01 3.573603431954564992e+06 8.805637614292428452e+02 2.599916178129213222e+03
