# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 2.571251603126466421e+02 -1.311710238266688933e+01 2.599424901530802412e+00 1.466719353444069895e+02 9.006088711857186979e+01 2.215551313043509083e+02 5.669570136450844302e+02 2.069858029549779985e+02 -5.019999999999999574e+00 -1.852146153721815208e+05 1.774226880724505122e+02 1.920416829798952847e+02
1.000000000000000000e+00 2.571294925712024906e+02 -1.311709753792723809e+01 2.904675382750017576e+00 1.475118810856368725e+02 9.004881322809025335e+01 1.840449797420137656e+02 6.479902036105687557e+02 2.139441521550320715e+02 -5.019999999999999574e+00 -7.746035230525519000e+04 2.586588023715357281e+02 1.918973970719772808e+02
2.000000000000000000e+00 2.571680340319774132e+02 -1.312044215645467737e+01 2.482658132778094107e+00 1.449352527604523857e+02 9.007212406932244164e+01 1.841598468688294474e+02 1.361990320258749762e+03 3.409769765420581393e+02 -5.019999999999999574e+00 -6.666682447246852098e+04 9.813973793246428841e+02 2.559037220468818532e+02
3.000000000000000000e+00 2.571235207553831970e+02 -1.312145336373233384e+01 2.926021749425569141e+00 1.443250034087560607e+02 9.017962485034165354e+01 1.839696072409117562e+02 5.299877860528584961e+02 2.882441386241416126e+02 -5.019999999999999574e+00 -8.897980308698315639e+03 1.467344230847220388e+02 2.758371093420811917e+02
4.000000000000000000e+00 2.571722391526511728e+02 -1.312118965386073022e+01 9.071111270409907945e+00 1.851998370598051054e+02 8.961205265697326183e+01 1.832791048278083395e+02 1.439649929164467494e+03 3.625615313744759760e+02 -5.019999999999999574e+00 -3.464078842066642828e+05 1.060254876087124785e+03 2.702601992559089013e+02
5.000000000000000000e+00 2.572059458011528932e+02 -1.312946463072534442e+01 1.296068634930231944e+01 1.410538366174685052e+02 9.014653667078366084e+01 1.871764781505624740e+02 2.055197624799815458e+03 5.765262737757567493e+02 -5.019999999999999574e+00 3.984540232465285808e+05 1.692342352715680136e+03 4.293473774881289842e+02
6.000000000000000000e+00 2.572200545894808670e+02 -1.312588067115261836e+01 4.707157391528049573e+00 1.618266152117010108e+02 8.978754301417650652e+01 1.834577467377606297e+02 2.324849450576156869e+03 5.302125853891565157e+02 -5.019999999999999574e+00 -1.100564009604463354e+05 1.956868839740067870e+03 3.602641871890176617e+02
7.000000000000000000e+00 2.571235563038488863e+02 -1.313179625084523927e+01 3.694423305633489640e+00 1.525884077395155600e+02 8.996164943086132837e+01 1.859029310745264922e+02 5.120596373763523843e+02 4.862331964233734425e+02 -5.019999999999999574e+00 -7.383942567197035532e+04 1.475336975806838211e+02 4.749828824742246525e+02
8.000000000000000000e+00 2.571892890976448030e+02 -1.313150256752622091e+01 4.770562019726448000e+00 1.582210575376973338e+02 8.980013333485236160e+01 1.847467530297312237e+02 1.741008788861520088e+03 5.881498713270254939e+02 -5.019999999999999574e+00 -3.512750054564524908e+04 1.380038190692669787e+03 4.686957448483574353e+02
9.000000000000000000e+00 2.571926438453682522e+02 -1.314287176816188030e+01 5.780230873445900919e+00 1.182393421974221610e+02 9.188175573964781506e+01 1.858244161850967373e+02 1.784339420563953354e+03 8.113395244052394446e+02 -5.019999999999999574e+00 5.454726752252853476e+04 1.443024270430935985e+03 6.875781519364970791e+02
