# jd flux flux_err
2.457577815577299800e+06 1.407066755337952236e+04 1.491576757506643958e+02
2.457577815598361660e+06 1.446042726597850378e+04 1.499000672750473768e+02
2.457577815619423985e+06 1.528316157027715235e+04 1.508842584707867616e+02
2.457577815640485846e+06 1.621972541360294053e+04 1.524640571017205275e+02
2.457577815661547706e+06 1.797807712192449253e+04 1.551207290353638655e+02
2.457577815682610031e+06 1.923687984304298880e+04 1.570307969896985867e+02
2.457577815703671891e+06 1.927300778598698889e+04 1.569126109583719142e+02
2.457577815724733751e+06 1.981759928238121938e+04 1.579047168512053645e+02
2.457577815745796077e+06 1.995953519160067299e+04 1.582628571450364916e+02
2.457577815766857937e+06 1.943157984834558374e+04 1.573765164628607636e+02
2.457577815787919797e+06 1.913666475183821603e+04 1.566168670696438880e+02
2.457577815808982123e+06 1.889781333957864263e+04 1.562664750043615811e+02
2.457577815830043983e+06 1.930320419435805525e+04 1.572158578174858121e+02
2.457577815851105843e+06 1.963267588730200805e+04 1.573999290588834299e+02
2.457577815872168168e+06 2.027707599512158049e+04 1.585237149810056678e+02
2.457577815893230028e+06 1.978536794753961658e+04 1.575958334817620710e+02
2.457577815914291888e+06 1.938216719103508149e+04 1.570568041728306810e+02
2.457577815935354214e+06 1.979596457861988529e+04 1.578486851247429570e+02
2.457577815956416074e+06 1.930669443757067711e+04 1.566420580604701627e+02
2.457577815977477934e+06 1.989867990402293071e+04 1.579611469882122492e+02
2.457577815998540260e+06 1.956718152573531552e+04 1.571662021025239255e+02
2.457577816019602120e+06 1.728729590285627637e+04 1.528098986383661497e+02
2.457577816040663980e+06 1.595817337740386938e+04 1.502943002433976574e+02
2.457577816061726306e+06 1.564512301152434156e+04 1.498858715079454385e+02
2.457577816082788166e+06 1.593063532239820779e+04 1.504012302157187264e+02
2.457577816103850026e+06 1.530588659502263909e+04 1.490984493636947832e+02
2.457577816124912351e+06 1.516353545673071858e+04 1.485800303462603154e+02
2.457577816145974211e+06 1.516106669789311491e+04 1.486078175654066342e+02
2.457577816167036071e+06 1.501158225219175984e+04 1.482745276176608513e+02
2.457577816188098397e+06 1.544170338571119828e+04 1.488248749042819554e+02
2.457577816209160257e+06 1.569684132847852379e+04 1.494613602542880528e+02
2.457577816230222117e+06 1.569626682692309623e+04 1.496010144071143202e+02
2.457577816251284443e+06 1.614112193332863535e+04 1.500382671122845295e+02
2.457577816272346303e+06 1.585937839808401077e+04 1.495093745162089363e+02
