# jd flux flux_err mag mag_err
2.457577817607042845e+06 6.883656360865788884e+03 1.169249143580621819e+02 -9.594547954434851533e+00 1.844224200918061912e-02
2.457577817634596489e+06 7.042770087937802600e+03 1.168923769787355411e+02 -9.619358777572578845e+00 1.802056971847767336e-02
2.457577817662149668e+06 6.868285677555102666e+03 1.176985063585116933e+02 -9.592120876969692844e+00 1.860580387785788076e-02
2.457577817689703312e+06 7.130294445387982705e+03 1.182481274590490727e+02 -9.632768661013558997e+00 1.800580928189172286e-02
2.457577817717256956e+06 7.233343412684931536e+03 1.171036508023386062e+02 -9.648347710749723305e+00 1.757750331598547863e-02
2.457577817744810134e+06 6.809807574728260079e+03 1.166912899935774703e+02 -9.582837100481523152e+00 1.860498990717553841e-02
2.457577817772363778e+06 7.077256930291358003e+03 1.173600856148225517e+02 -9.624662405920838992e+00 1.800450946044595060e-02
2.457577817799917422e+06 7.031513903041972299e+03 1.174947108925357355e+02 -9.617622099517427969e+00 1.814242411570472779e-02
2.457577817827470601e+06 7.862056598165761898e+03 1.178767247408443950e+02 -9.738840414845574500e+00 1.627862551256413839e-02
2.457577817855024245e+06 9.972340815594796368e+03 1.235647129517168565e+02 -9.996992781429234753e+00 1.345312539162302895e-02
2.457577817882577889e+06 2.615416891228859458e+04 1.600775752904129945e+02 -1.104385231057011296e+01 6.645312538076920267e-03
2.457577817910131067e+06 3.811403366545897006e+04 1.820174676706900811e+02 -1.145271228310528500e+01 5.185062465006752552e-03
2.457577817937684711e+06 3.405530474411233445e+04 1.743242464411465562e+02 -1.133046192730741453e+01 5.557748161502874817e-03
2.457577817965238355e+06 3.684569021739121672e+04 1.791168043354383030e+02 -1.141596674105302789e+01 5.278073988891287746e-03
2.457577817992791533e+06 3.998897293931160675e+04 1.844832575864287776e+02 -1.150485062508014522e+01 5.008902138993951737e-03
2.457577818020345178e+06 4.078977862696259399e+04 1.855095518387705340e+02 -1.152637837083444516e+01 4.937882665543288224e-03
2.457577818047898822e+06 4.192269369904893392e+04 1.866062363641967181e+02 -1.155612295003030354e+01 4.832844390308328394e-03
2.457577818075452000e+06 4.933962159382551181e+04 1.975974817483715356e+02 -1.173298953595159588e+01 4.348219197942225500e-03
2.457577818103005644e+06 5.128537684933564015e+04 1.995477728290096593e+02 -1.177498387774249977e+01 4.224537522808035142e-03
2.457577818130558822e+06 5.113044380283818464e+04 1.988784451255409067e+02 -1.177169890584759671e+01 4.223125538343533263e-03
2.457577818158112466e+06 5.297664037024459685e+04 2.021634809602858525e+02 -1.181021103274523298e+01 4.143278552278782841e-03
2.457577818185666110e+06 4.732509134397633898e+04 1.964366127537509783e+02 -1.168772865221275481e+01 4.506680956642343354e-03
2.457577818213219289e+06 5.489318673573369597e+04 2.088461454242458331e+02 -1.184879610945409389e+01 4.130797051819038064e-03
2.457577818240772933e+06 5.067421020153991412e+04 2.028075618550000456e+02 -1.176196747146954635e+01 4.345332296895991660e-03
2.457577818268326577e+06 4.015978591108095134e+04 1.880590591509982517e+02 -1.150947847237651978e+01 5.084271199420569050e-03
2.457577818295879755e+06 2.442799875452902052e+04 1.634716212871406356e+02 -1.096971972295289177e+01 7.265747795381451157e-03
2.457577818323433399e+06 1.842783702256945980e+04 1.536938800898864201e+02 -1.066368590664645133e+01 9.055408573693026278e-03
2.457577818350987043e+06 2.120775194368950906e+04 1.597066444615065564e+02 -1.081623658758153894e+01 8.176250486993849251e-03
2.457577818378540222e+06 1.419306660911088693e+04 1.443784470579970218e+02 -1.038019060237280300e+01 1.104465013981707940e-02
2.457577818406093866e+06 5.699706781212267742e+03 1.252848605883443440e+02 -9.389631285419383744e+00 2.386557585445781351e-02
2.457577818433647510e+06 4.081385831823678018e+03 1.232062691004256862e+02 -9.027019131328788859e+00 3.277562576173397024e-02
2.457577818461200688e+06 5.148316632699272304e+03 1.253297767148837352e+02 -9.279163122778502526e+00 2.643107669527178932e-02
2.457577818488754332e+06 1.067830691896887947e+04 1.359195073209140503e+02 -1.007125599829549678e+01 1.381991049690293148e-02
2.457577818516307976e+06 2.175231866130737399e+04 1.570315800256661021e+02 -1.084376389209334057e+01 7.838036503223030568e-03
2.457577818543861154e+06 2.250927100317030272e+04 1.583325181465587832e+02 -1.088090357485945248e+01 7.637206386125631151e-03
2.457577818571414798e+06 2.056370854091184810e+04 1.575631436587124199e+02 -1.078275359944796818e+01 8.319151540961522429e-03
