filename,object,H,a (au),e,i (deg),JD of observation,RA (deg),Dec (deg),image ID,chip ID w/ trail,exposure time (s),time since last exposure (s),filter,g obs,r obs,i obs,"calculated rate of motion @ exp. time: dRA/dt, dDEC/dt [arcsec/min]",,tracking rates,,trail start location,,trail end location,,cross-track FWHM,"notes (e.g. image quality, confusion w/ star, etc.)"
1837290o31.flt,2015 TG24,26.7,0.75,0.44,3.98,2457308.7230423,311.288542,-39.999167,1837290,31,60,0,g.MP9402,1,0,0,-65.957,6.96056,,,689,1990,689,2030,,not actually sure if its the asteroid in question
1837291o31.flt,2015 TG24,26.7,0.75,0.44,3.98,2457308.7243586,311.242917,-39.991694,1837291,31,60,114,g.MP9402,1,0,0,-65.91933333,7.007715,,,,,,,,couldnt find it
1837292o31.flt,2015 TG24,26.7,0.75,0.44,3.98,2457308.7264517,311.169917,-39.979694,1837292,31,60,181,r.MP9602,0,1,0,-65.85883333,7.082553333,,,781,1282,788,1309,,
1837293o31.flt,2015 TG24,26.7,0.75,0.44,3.98,2457308.7277923,311.123042,-39.972,1837293,31,60,116,r.MP9602,0,1,0,-65.81966667,7.130391667,,,667,1731,671,1766,,
1837294o31.flt,2015 TG24,26.7,0.75,0.44,3.98,2457308.7299301,311.048792,-39.959806,1837294,31,60,185,i.MP9703,0,0,1,-65.7565,7.206518333,,,658,1621,660,1651,,
1837295o31.flt,2015 TG24,26.7,0.75,0.44,3.98,2457308.7312822,311.001583,-39.952056,1837295,31,60,117,i.MP9703,0,0,1,-65.71616667,7.254561667,,,650,1540,652,1571,,
1845926o22.flt,2015 VH1,27.4,1.66,0.39,1.14,2457332.7257375,38.719583,11.311611,1845926,22,60,0,g.MP9402,1,0,0,17.87958333,3.904445,,,,,,,,weird horizontal streak at y=3000
1845926o31.flt,2015 VH1,27.4,1.66,0.39,1.14,2457332.7257375,38.719583,11.311611,1845926,31,60,0,g.MP9402,1,0,0,17.87958333,3.904445,,,1055,1305,1053,1374,,
1845927o31.flt,2015 VH1,27.4,1.66,0.39,1.14,2457332.7270788,38.729375,11.320556,1845927,31,60,116,g.MP9402,1,0,0,17.86556667,3.90263,,,1057,1174,1055,1231,,
1845928o31.flt,2015 VH1,27.4,1.66,0.39,1.14,2457332.7332164,38.7745,11.361778,1845928,31,60,530,r.MP9602,0,1,0,17.80198333,3.894071667,,,1081,515,1079,580,,
1845929o31.flt,2015 VH1,27.4,1.66,0.39,1.14,2457332.7345429,38.784208,11.370639,1845929,31,60,115,r.MP9602,0,1,0,17.78836667,3.892165,,,1083,374,1082,446,,
1845930o31.flt,2015 VH1,27.4,1.66,0.39,1.14,2457332.7405688,38.828458,11.410972,1845930,31,60,521,i.MP9703,0,0,1,17.7271,3.883261667,,,,,,,,
1845931o31.flt,2015 VH1,27.4,1.66,0.39,1.14,2457332.7419084,38.838375,11.419972,1845931,31,60,116,i.MP9703,0,0,1,17.71361667,3.881228333,,,,,,,,
1846208o22.flt,2015 VH1,27.4,1.66,0.39,1.14,2457334.0602206,48.145042,12.683167,1846208,22,60,0,g.MP9402,1,0,0,15.49444167,2.431581667,,,1000,2453,1000,2505,,
1846209o22.flt,2015 VH1,27.4,1.66,0.39,1.14,2457334.0615246,48.153292,12.689972,1846209,22,60,113,g.MP9402,1,0,0,15.50120667,2.4287,,,1005,2355,1000,2407,,
1846210o22.flt,2015 VH1,27.4,1.66,0.39,1.14,2457334.0658526,48.180833,12.712778,1846210,22,60,374,r.MP9602,0,1,0,15.52416,2.419246667,,,1000,1969,1000,2020,,
1846211o22.flt,2015 VH1,27.4,1.66,0.39,1.14,2457334.0671749,48.189208,12.719722,1846211,22,60,114,r.MP9602,0,1,0,15.53132167,2.416393333,,,1003,1862,1003,1915,,
1846212o22.flt,2015 VH1,27.4,1.66,0.39,1.14,2457334.0715909,48.217417,12.743,1846212,22,60,382,i.MP9703,0,0,1,15.555735,2.406986667,,,1006,1486,1002,1541,,
1846213o22.flt,2015 VH1,27.4,1.66,0.39,1.14,2457334.0729028,48.225708,12.749861,1846213,22,60,113,i.MP9703,0,0,1,15.56313167,2.404226667,,,1001,1384,1003,1436,,
1846597o22.flt,2015 VH65,27.7,0.85,0.23,13.43,2457336.9798747,37.784333,11.558694,1846597,22,60,0,g.MP9402,1,0,0,-14.82693333,-39.42383333,,,1052,440,1052,494,,on 22
1846598o22.flt,2015 VH65,27.7,0.85,0.23,13.43,2457336.9812826,37.77575,11.542583,1846598,22,60,122,g.MP9402,1,0,0,-14.8191,-39.43633333,,,1047,326,1050,381,,
1846599o22.flt,2015 VH65,27.7,0.85,0.23,13.43,2457336.9850347,37.752917,11.499806,1846599,22,60,324,r.MP9602,0,1,0,-14.79736667,-39.46916667,,,1053,0,1052,50,,
1846601o31.flt,2015 VH65,27.7,0.85,0.23,13.43,2457336.9908162,37.71775,11.433806,1846601,31,60,500,i.MP9703,0,0,1,-14.76155,-39.51933333,,,1041,4421,1038,4476,,
1846602o31.flt,2015 VH65,27.7,0.85,0.23,13.43,2457336.9921454,37.70975,11.41875,1846602,31,60,115,i.MP9703,0,0,1,-14.75291667,-39.53066667,,,1037,4529,1041,4587,,
1846763o22.flt,2015 VR64,27.4,1.49,0.38,1.53,2457340.0277243,122.16375,-27.830278,1846763,22,60,0,g.MP9402,1,0,0,65.34296667,-7.173066667,,,1468,1330,1450,1362,,stars are horizontal but asteroid is diagonal
