             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          41160636  arif_lab BUSCO_CL chuangsc  R      23:02      1 node-0334
          41139996   atmo449 sys/dash    nkmrc  R   11:00:02      1 node-0006
          41131800   atmo449 sys/dash     ajt7  R   17:40:46      1 node-0006
          41123277   atmo449 sys/dash nicoleld  R 2-14:47:29      1 node-0008
          41126167   atmo449 sys/dash sidneyak  R 1-20:17:33      1 node-0006
          41081852   bioinfo    sgSQL  isambmi  R 6-13:27:06      1 node-0327
          41081853   bioinfo cromwell  isambmi  R 6-13:26:28      1 node-0327
          41160628    cmaiki     bash swhitner  R      59:37      1 node-0321
          41140316   coastal geo-domB  kaylaky  R    9:31:38      1 node-0329
          41106611 exclusive sys/dash  justynt  R 3-19:03:03      1 node-0065
          41127389 gito_eart Mc7apart jschierj  R 1-16:02:21      1 node-0303
          41127343 gito_eart Mc14apar jschierj  R 1-16:37:09      1 node-0305
          41127340 gito_eart Mc4apart jschierj  R 1-16:41:37      1 node-0304
          41127305       gpu sys/dash   sdubey  R 1-17:10:49      1 gpu-0012
          41160632       gpu     AF-m   gernot  R      39:18      1 gpu-0012
        41130270_2       gpu     popc   cakang  R   17:42:46      1 gpu-0013
        41130270_3       gpu     popc   cakang  R   17:42:46      1 gpu-0013
        41130270_4       gpu     popc   cakang  R   17:42:46      1 gpu-0013
        41130270_5       gpu     popc   cakang  R   17:42:46      1 gpu-0013
        41130270_1       gpu     popc   cakang  R   17:54:27      1 gpu-0013
          41129653 kill-shar    sgNAC   jkando  R   19:28:55      1 gpu-0010
          41112532 kill-shar  0.1-2.0     bloi  R   15:50:31      1 node-0025
          41112535 kill-shar  0.1-3.5     bloi  R   16:51:06      1 node-0256
          41134973 kill-shar  4.0-6.0     bloi  R   17:06:18      1 node-0009
          41134972 kill-shar  4.0-5.5     bloi  R   17:06:22      1 node-0003
     41143312_9344 kill-shar      pca      xxu  R    3:59:52      1 node-0268
     41143312_8754 kill-shar      pca      xxu  R    4:04:16      1 node-0266
        41136711_1      rsun   GdDOTA  mabelgb  R   15:59:53      1 gpu-0005
        41136711_2      rsun   GdDOTA  mabelgb  R   15:59:53      1 gpu-0005
        41136711_3      rsun   GdDOTA  mabelgb  R   15:59:53      1 gpu-0006
        41136711_4      rsun   GdDOTA  mabelgb  R   15:59:53      1 gpu-0006
        41136711_5      rsun   GdDOTA  mabelgb  R   15:59:53      1 gpu-0007
          41161312      rsun  B-N-C-2  mrinmoy  R      10:41      1 node-0337
          41136678      rsun    B-N-C  mrinmoy  R   16:30:39      1 node-0337
          41126108     sadow start_ju   psadow  R 1-22:26:07      1 gpu-0009
          41160640   sandbox     bash   wangyu  R      11:56      1 node-0005
          41160637   sandbox     bash victorgc  R      21:36      1 node-0005
          41042765 scope-sha snakejob jmeppley  R 8-20:14:57      1 node-0262
          41042774 scope-sha snakejob jmeppley  R 8-20:14:53      1 node-0239
          41042771 scope-sha snakejob jmeppley  R 8-20:14:56      1 node-0235
          41042777 scope-sha snakejob jmeppley  R 8-20:14:53      1 node-0241
          41042779 scope-sha snakejob jmeppley  R 8-20:14:53      1 node-0242
          41042783 scope-sha snakejob jmeppley  R 8-20:14:52      1 node-0246
          41042780 scope-sha snakejob jmeppley  R 8-20:14:53      1 node-0243
          41042781 scope-sha snakejob jmeppley  R 8-20:14:53      1 node-0244
          41042786 scope-sha snakejob jmeppley  R 8-20:14:53      1 node-0249
          41042790 scope-sha snakejob jmeppley  R 8-20:14:50      1 node-0253
          41042793 scope-sha snakejob jmeppley  R 8-20:14:50      1 node-0255
          41042795 scope-sha snakejob jmeppley  R 8-20:14:50      1 node-0257
          41042797 scope-sha snakejob jmeppley  R 8-20:14:50      1 node-0258
          41042798 scope-sha snakejob jmeppley  R 8-20:14:50      1 node-0259
          41042801 scope-sha snakejob jmeppley  R 8-20:14:50      1 lmem-0008
          41042782 scope-sha snakejob jmeppley  R 6-15:25:29      1 node-0231
          41042784 scope-sha snakejob jmeppley  R 6-15:25:29      1 node-0232
          41042785 scope-sha snakejob jmeppley  R 6-15:25:30      1 node-0233
          41042788 scope-sha snakejob jmeppley  R 6-15:25:30      1 node-0250
          41042789 scope-sha snakejob jmeppley  R 6-15:25:30      1 node-0251
          41042800 scope-sha snakejob jmeppley  R 6-15:25:30      1 node-0252
          40893941 scope-sha     HOLD jmeppley  R 6-15:25:30      1 node-0240
          41042767 scope-sha snakejob jmeppley  R 6-15:25:30      1 node-0245
          41042776 scope-sha snakejob jmeppley  R 6-15:25:30      1 node-0248
          41042769 scope-sha snakejob jmeppley  R 2-10:34:36      1 node-0237
          41124348    shared  laplace    uspal  R 2-11:12:44      1 node-0010
          41129030    shared  jupyter    ianmc  R 1-00:16:40      1 node-0286
