[2110980.9261821443, 2110980.9261821443]
[2241661.9703129353, 371030.22390400886]
[1955524.3239707686, 75492.07138941158]
[2041517.3811474643, 77601.65801585012]
[2072478.2089483668, 557038.8633881795]
[2602866.4343469897, 559562.1119082877]
[2080061.4598149231, 422761.5289980075]
[2185179.0699197324, 289214.93643181585]
[4218127.141799418, 916502.53870926]
[1869607.2118046493, 441881.6852587401]
[1792727.8070821604, 406858.9380429309]
[2214990.5642550113, 164819.34910311713]
[2238302.0607608445, 580355.3071923993]
[2167489.4756155377, 589423.4918259683]
[2224258.575353586, 416400.35878279037]
[2135347.8196214642, 50347.454574876]
[2034088.0764355117, 588619.9735996255]
[2172583.9330522297, 295178.2092939686]
